trial_id,parameters,auc,primary_metric
655,595,0.9450458351848693,0.835295896184628
635,281,0.9422599992808909,0.8298094279209411
656,205,0.9425080540205317,0.8273361935774518
629,199,0.9434175703432962,0.825945981901246
620,171,0.9380353065894873,0.809431851509187
641,121,0.9227134878986559,0.7870339631312718
634,91,0.9093545696359723,0.7149530901823481
626,79,0.9092404353630291,0.7138301571320157
622,45,0.8830800810840316,0.6232753121022189
652,37,0.5875907756138442,0.12357766348895358
632,25,0.5764287333571991,0.07244883458657984
