trial_id,parameters,auc,primary_metric
063,70513,0.9637747313360838,0.8807910116979752
087,67625,0.9649024538778899,0.8804242594658661
031,58069,0.9635341125769425,0.8802954577751171
001,37923,0.9646294664044829,0.8797887168509498
038,39719,0.9639548438318273,0.8790778887407367
072,33013,0.9630947348663559,0.8740579486667815
004,22513,0.9619964440825297,0.8722731684308871
082,21363,0.9622516278585255,0.8707199893572312
009,20755,0.9597279596434249,0.8707169658433638
071,24859,0.9610212770086535,0.868302387668901
069,11745,0.9607080200202804,0.8681926341155163
061,23209,0.961861824705756,0.8672707647373625
049,11729,0.960544010205722,0.8665366555703706
093,7215,0.960190672468027,0.8665076298372442
044,22513,0.9612526259019588,0.8660671038667719
000,22399,0.96031588718097,0.8647089414375598
041,14347,0.9596772110252826,0.8626209027607704
045,11761,0.9584862212220048,0.8624128850066971
005,7277,0.9584907010899204,0.8586056763449345
050,6237,0.9571720423552209,0.8533931384376293
036,4091,0.9456254364242616,0.8285833930477322
024,1231,0.9412264928313316,0.8191772414064177
021,2221,0.9253305190856678,0.8124348054822353
084,1337,0.9307615835029477,0.7809950988840211
057,1145,0.9341847971120458,0.7773792786500615
