model_name,parameters,auc,background_rejection,fpr_at_target,achieved_signal_efficiency,threshold_at_target
model_trial_000,2993,0.9124300581369768,0.11694788981331106,0.8830521101866889,0.9931883936684042,0.0625
model_trial_001,2729,0.9052660631806921,0.3405538012662055,0.6594461987337945,0.982969489742241,0.109375
model_trial_002,1973,0.8590673348887582,0.0,1.0,1.0,0.125
model_trial_003,1689,0.8648266251764456,0.0,1.0,1.0,0.0
model_trial_004,1675,0.8982435353533597,0.3503636210610316,0.6496363789389684,0.9813704509588255,0.0546875
model_trial_005,2041,0.9178863810295597,0.39977743211523653,0.6002225678847635,0.9802556070967433,-0.15625
model_trial_006,3563,0.9158757744918732,0.2860683102608782,0.7139316897391218,0.9849242025728085,0.1484375
model_trial_007,3181,0.897058963432456,0.2236963101735967,0.7763036898264033,0.9876291186456889,0.140625
model_trial_008,2969,0.6529295337103135,0.09026779841708721,0.9097322015829128,0.9865262302137631,-0.171875
model_trial_009,3313,0.8776279255414542,0.0,1.0,1.0,0.203125
model_trial_010,2659,0.8468265224559185,0.35251136997702626,0.6474886300229737,0.980500693414949,0.1953125
model_trial_011,3705,0.9124653418629145,0.3924489013438237,0.6075510986561763,0.980372172540768,0.046875
model_trial_012,3265,0.8700008400580913,0.32527641746752656,0.6747235825324734,0.9815079384056238,0.09375
model_trial_013,2637,0.9023460415366787,0.3630942546937198,0.6369057453062802,0.9801211085074841,-0.3125
model_trial_014,1555,0.804452271508594,0.2884810209444484,0.7115189790555516,0.9802496293816652,0.171875
model_trial_015,1961,0.8838590191329518,0.36348390435191913,0.6365160956480809,0.9830113337477883,0.0859375
model_trial_016,2659,0.912989358738009,0.23631160750745794,0.7636883924925421,0.9877666060924872,0.140625
model_trial_017,3073,0.9109359766579904,0.40650746101165525,0.5934925389883448,0.9806949691549902,0.0078125
model_trial_018,1345,0.9116616365557308,0.3139391710125592,0.6860608289874408,0.9851842331787097,-0.03125
model_trial_019,2779,0.871127289334588,0.393115981558661,0.606884018441339,0.9801599636554923,0.0234375
model_trial_020,2457,0.9048775891330212,0.0856169400968202,0.9143830599031798,0.995971020037301,0.125
model_trial_021,1553,0.9097664357600767,0.39804738763283154,0.6019526123671685,0.9805724259958873,0.0
model_trial_022,2411,0.8764583908392515,0.4132873650643234,0.5867126349356766,0.9802227296638133,0.046875
model_trial_023,2411,0.9136870821984382,0.18097200445135775,0.8190279955486423,0.9885676199129645,0.140625
model_trial_024,1653,0.8870034106316138,0.33548212131508315,0.6645178786849169,0.9847598154081584,0.109375
model_trial_025,2803,0.4979174010202152,0.0,1.0,1.0,-1.0
model_trial_026,1589,0.918709007665263,0.349222726861824,0.650777273138176,0.9831816986275166,0.0625
