trial_id,parameters,auc,primary_metric
020,12407,0.9728018490421977,0.8973238878760117
058,10389,0.9715145022120641,0.8936748089895113
032,8179,0.9712948759632656,0.8915529069574077
013,7517,0.9695488128170068,0.8886820805403624
085,5951,0.9683604097310816,0.8871815106079983
067,5241,0.9686088323073052,0.8857529003056771
079,4189,0.9687529006391368,0.8826634738360226
003,3039,0.9646837521730298,0.8789270153987561
000,2137,0.9659505661434259,0.8772758744757982
051,1897,0.9670595995380893,0.8769553820058595
006,1589,0.9594395701312489,0.8734157543213572
040,1565,0.9653707018991627,0.8726344783380349
069,1523,0.962952637265582,0.8674294992153981
105,697,0.9572140192764166,0.855263181764583
041,489,0.954730297730261,0.8549937866790026
123,405,0.9449028418363108,0.8334288763715414
