trial_id,parameters,auc,primary_metric
118,11269,0.9760756491728376,0.8912351356499497
063,8833,0.974853490389904,0.8855327884961345
042,8797,0.9747902206601907,0.8843294299769306
077,8185,0.9744194298845335,0.8816929258846046
093,6271,0.9738923668345383,0.8800783694794416
065,5141,0.9736754303750393,0.8787873290580848
099,5139,0.9732722176030902,0.8778077105650645
043,3975,0.971394071358433,0.8721930453134024
006,3261,0.9702735508398045,0.866079500273628
087,2637,0.9704038643597062,0.8600354960528026
089,2107,0.9665700259538165,0.8561502807332626
010,1589,0.9610101970485896,0.8532688720176815
020,1527,0.9616187773978504,0.8472641734771317
088,533,0.9566024276493683,0.8430493951460508
033,489,0.9556920642031816,0.8420607061114286
031,377,0.9486937157043482,0.7880184192464799
