trial_id,parameters,auc,primary_metric
063,8833,0.9560008525998472,0.857931735103903
102,7051,0.9577483385092124,0.8562077274967421
108,5305,0.9529830650670703,0.8525522992311203
006,3261,0.9538034419589335,0.8516004970656798
027,2957,0.9537776969907993,0.8484206675313917
020,1527,0.9467296473087758,0.8431298206149223
084,1489,0.9477816233965118,0.8386961398798456
029,1281,0.9377761780878121,0.8346234667005301
052,725,0.9450461359172722,0.8320202212607448
057,711,0.9399214309182362,0.8129475934341373
088,533,0.9395990879800336,0.8015386662070926
066,489,0.9294821258773487,0.7772770838813452
015,405,0.9162317710614107,0.771232777309133
031,377,0.8756881225260551,0.7317771307458103
