model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_1*_ff,dsp,bram,hls_source,fullPath
model1,model1_3w5i,528,19.0,0.8311355457461963,0.2800136662826804,4338,2772,5724.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_primary/model_trial_528.h5
model1,model1_3w5i,534,25.0,0.5,0.0,5339,3331,7004.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_3bit_normalised_selected/pareto_secondary/model_trial_534.h5
model1,model1_4w6i,647,325.0,0.9287623360759086,0.7553584224514046,17711,12281,23851.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_647.h5
model1,model1_4w6i,645,463.0,0.9353190089265164,0.7518481228514154,21752,14707,29105.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_645.h5
model1,model1_4w6i,648,211.0,0.934858840511775,0.7513038903552931,14719,9895,19666.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_648.h5
model1,model1_4w6i,631,193.0,0.9200855602150756,0.7284007728101445,12848,8613,17154.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_631.h5
model1,model1_4w6i,639,281.0,0.925249169754824,0.727690247051318,15439,10482,20680.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_639.h5
model1,model1_4w6i,636,235.0,0.9249380805820416,0.7170595722937283,13864,9625,18676.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_636.h5
model1,model1_4w6i,646,121.0,0.9123092667796532,0.6789481799958276,10603,7208,14207.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_646.h5
model1,model1_4w6i,638,121.0,0.9189085294798742,0.6710628558297882,10043,6634,13360.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_638.h5
