model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_0.25*_ff,dsp,bram,hls_source,fullPath
model1,model1_8w10i,1042,211.0,0.9452101569303348,0.8128263505280566,14687,9963,17177.75,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1042.h5
model1,model1_10w12i,1231,235.0,0.9464365090137458,0.8118618496043732,14655,9781,17100.25,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1231.h5
model1,model1_8w10i,1048,163.0,0.9452931797976464,0.809494438246241,12549,8322,14629.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1048.h5
model1,model1_10w12i,1232,155.0,0.9447221468172312,0.8030634242503953,12320,7961,14310.25,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1232.h5
model1,model1_6w8i,836,121.0,0.9388993287785602,0.7975938876643658,10051,6650,11713.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_836.h5
model1,model1_8w10i,1031,121.0,0.9418471349615152,0.7960277074810804,10011,6666,11677.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1031.h5
model1,model1_6w8i,849,85.0,0.9354657172485852,0.7884175230769697,9126,6117,10655.25,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_6bit_normalised_selected/pareto_primary/model_trial_849.h5
model1,model1_8w10i,1034,91.0,0.9343880440263256,0.7755554950852782,8508,5855,9971.75,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1034.h5
model1,model1_10w12i,1234,65.0,0.9182796353638978,0.7119377398024436,7377,5036,8636.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1234.h5
model1,model1_10w12i,1224,61.0,0.8907899117945108,0.6890164811740909,6373,4482,7493.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1224.h5
model1,model1_10w12i,1241,31.0,0.8332578157126982,0.6168482286744008,6352,3942,7337.5,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1241.h5
model1,model1_10w12i,1222,45.0,0.8622075434848769,0.5875503792998147,5636,3927,6617.75,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_secondary/model_trial_1222.h5
model1,model1_8w10i,1035,25.0,0.82340753744996,0.5565563386456471,5319,3371,6161.75,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1035.h5
model1,model1_8w10i,1028,19.0,0.8116697974599648,0.5298526641692443,4318,2812,5021.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_8bit_normalised_selected/pareto_primary/model_trial_1028.h5
model1,model1_10w12i,1228,19.0,0.8375222662251283,0.3630363335661439,4246,2824,4952.0,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_10bit_normalised_selected/pareto_primary/model_trial_1228.h5
