model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_0.5*_ff,dsp,bram,hls_source,fullPath
model1,model1_4w6i,639,281.0,0.925249169754824,0.727690247051318,6197,5003,8698.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_639.h5
model1,model1_4w6i,636,235.0,0.9249380805820416,0.7170595722937283,5361,4555,7638.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_636.h5
model1,model1_4w6i,646,121.0,0.9123092667796532,0.6789481799958276,4364,2987,5857.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_646.h5
model1,model1_4w6i,638,121.0,0.9189085294798742,0.6710628558297882,4406,2748,5780.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_638.h5
model1,model1_4w6i,637,91.0,0.887792023784351,0.6679335189770848,3414,2351,4589.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_637.h5
model1,model1_4w6i,625,99.0,0.8978741739196837,0.6348472067267137,2992,2583,4283.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_625.h5
model1,model1_4w6i,649,85.0,0.8405670320104542,0.5694092960957365,3825,2506,5078.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_649.h5
model1,model1_4w6i,642,55.0,0.8161392349696828,0.5399481769723137,3153,2004,4155.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_642.h5
model1,model1_4w6i,626,79.0,0.8573291703378914,0.5076630958967894,3070,1966,4053.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_626.h5
model1,model1_4w6i,624,61.0,0.8584960926266938,0.4889324274885787,2470,1715,3327.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_secondary/model_trial_624.h5
model1,model1_4w6i,622,45.0,0.8217202626205626,0.4172358431521946,2177,1464,2909.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_622.h5
model1,model1_4w6i,655,37.0,0.7815369484700827,0.3858940984032823,2664,1748,3538.0,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_655.h5
model1,model1_4w6i,627,31.0,0.8296201966523233,0.374831061162662,1748,1211,2353.5,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model1_fin_results/model1_4bit_normalised_selected/pareto_primary/model_trial_627.h5
