model,trial_id,nodes,parameters,val_accuracy
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,080,141,5881,0.8915509581565857
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,030,181,8329,0.8911435604095459
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,136,277,14857,0.8910886645317078
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,055,109,3705,0.8910596370697021
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,093,165,7785,0.8908124566078186
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,061,149,6153,0.8906980156898499
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,051,197,9961,0.8903257250785828
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,082,157,7513,0.8901075124740601
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,138,253,14041,0.8899992108345032
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,114,181,8329,0.8896055221557617
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,056,261,14313,0.8891310095787048
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,137,189,8601,0.8887602090835571
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,148,173,8057,0.8885831832885742
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,019,213,10505,0.8885465860366821
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,025,205,10233,0.8883375525474548
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,149,213,11593,0.8879088163375854
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,141,125,4249,0.8878950476646423
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,125,149,6153,0.8877836465835571
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,122,117,3977,0.887710452079773
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,144,93,3161,0.8866026997566223
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,015,181,9417,0.8862166404724121
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,062,205,10233,0.8855285048484802
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,095,245,12681,0.8852508068084717
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,131,149,7241,0.8843978643417358
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,104,93,3161,0.8827926516532898
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,041,101,3433,0.8821914792060852
