model,trial_id,nodes,parameters,val_accuracy,spatial_units,z_global_units,dense2_units,dense3_units,dropout_rate,learning_rate
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,000,277,14857,0.904758632183075,192,28,32,24,0.1,0.0017377012853110221
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,001,197,9961,0.8953579664230347,128,12,32,24,0.2,0.000263474572751995
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,002,197,9961,0.8751420974731445,128,4,32,32,0.15000000000000002,0.00021601136044030822
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,003,181,8329,0.9042932391166687,96,20,32,32,0.0,0.0058263756897235135
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,004,133,5609,0.8966793417930603,64,20,32,16,0.05,0.000464153439647295
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,005,149,6153,0.900104820728302,64,28,32,24,0.2,0.0044890809309126225
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,006,237,12409,0.9040185809135437,160,28,32,16,0.25,0.001473509849088392
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,007,197,9961,0.8936063051223755,128,20,32,16,0.1,0.0003498923554592848
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,008,245,12681,0.9011164307594299,160,20,32,32,0.0,0.0012334741931129647
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,009,277,14857,0.9026804566383362,192,28,32,24,0.2,0.004475458275879791
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,010,189,9689,0.8947674632072449,128,4,32,24,0.05,0.000575732702957742
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,011,253,12953,0.9048181176185608,160,28,32,32,0.25,0.0023057788252851554
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,012,253,14041,0.8609426617622375,192,12,32,16,0.15000000000000002,0.00011451864543384385
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,013,221,11865,0.8947476148605347,160,12,32,16,0.05,0.00026425375244298215
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,014,117,5065,0.8492897748947144,64,4,32,16,0.15000000000000002,0.00010295925479564696
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,015,181,9417,0.8862166404724121,128,4,32,16,0.1,0.0009689679055404804
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,016,197,9961,0.896580159664154,128,4,32,32,0.0,0.003364458958042958
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,017,197,9961,0.8802551627159119,128,4,32,32,0.2,0.0004605666456567159
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,018,133,5609,0.8985942602157593,64,12,32,24,0.15000000000000002,0.0010832260345031396
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,019,213,10505,0.8885465860366821,128,20,32,32,0.2,0.00012991121600668937
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,020,181,8329,0.8969753384590149,96,28,32,24,0.15000000000000002,0.00031021969453869444
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,021,109,3705,0.896767795085907,32,20,32,24,0.2,0.00263349573424098
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,022,165,7785,0.9018335938453674,96,20,32,16,0.25,0.003218438555994657
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,023,213,10505,0.905680239200592,128,20,32,32,0.15000000000000002,0.0020571513013852606
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,024,157,7513,0.8934460878372192,96,4,32,24,0.05,0.007764669056757976
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,025,205,10233,0.8883375525474548,128,28,32,16,0.0,0.00010450278707454006
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,026,149,6153,0.9016947746276855,64,28,32,24,0.1,0.004767295172393763
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,027,269,14585,0.9076516032218933,192,28,32,16,0.15000000000000002,0.0026798596778915378
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,028,165,7785,0.9016855955123901,96,12,32,24,0.2,0.0015225969110395504
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,029,109,3705,0.8948696851730347,32,12,32,32,0.0,0.0011196725758620485
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,030,181,8329,0.8911435604095459,96,20,32,32,0.05,0.00018980757724363517
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,031,181,9417,0.8956005573272705,128,4,32,16,0.2,0.0029912317267680685
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,032,141,5881,0.9022760987281799,64,20,32,24,0.25,0.0011567819399700755
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,033,157,7513,0.8978221416473389,96,12,32,16,0.0,0.0005131161690040967
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,034,237,12409,0.8750032186508179,160,12,32,32,0.1,0.00014268240389777708
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,035,237,12409,0.9004985094070435,160,28,32,16,0.25,0.0005804429242741638
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,036,125,4249,0.8938916325569153,32,28,32,32,0.25,0.0012963466988990479
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,037,197,9961,0.8976741433143616,128,12,32,24,0.05,0.007836255783976532
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,038,133,5609,0.878262460231781,64,4,32,32,0.25,0.00020200820998132453
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,039,181,8329,0.9024744629859924,96,20,32,32,0.25,0.002606977587599251
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,040,213,10505,0.9022913575172424,128,20,32,32,0.1,0.0006041820751401902
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,041,101,3433,0.8821914792060852,32,12,32,24,0.25,0.0002461390263263757
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,042,173,8057,0.9032862186431885,96,28,32,16,0.1,0.0030932505442956165
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,043,261,14313,0.9002711176872253,192,12,32,24,0.0,0.0013407608528649103
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,044,261,14313,0.8699252605438232,192,4,32,32,0.1,0.00012673108836085793
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,045,181,9417,0.8926815986633301,128,4,32,16,0.25,0.003373201432675782
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,046,221,11865,0.8954921960830688,160,12,32,16,0.0,0.0005794258624245173
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,047,237,12409,0.8917630910873413,160,28,32,16,0.1,0.00015409404207370289
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,048,117,3977,0.8933743238449097,32,28,32,24,0.05,0.0007236440598404395
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,049,149,6153,0.8792786598205566,64,28,32,24,0.2,0.00010424326825359434
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,050,117,5065,0.8670505881309509,64,4,32,16,0.0,0.0002832574472375902
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,051,197,9961,0.8903257250785828,128,12,32,24,0.15000000000000002,0.00021720625272752132
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,053,221,10777,0.9045572280883789,128,28,32,32,0.05,0.006091359237918639
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,054,237,12409,0.8981090188026428,160,12,32,32,0.25,0.006610542448699214
model2.5_quantized_4w0i_hyperparameter_results_20251205_174921,055,109,3705,0.8910596370697021,32,20,32,24,0.05,0.00036716160089469166
