trial_id,parameters,auc,primary_metric,bkg_rej_@95%,bkg_rej_@98%,bkg_rej_@99%
046,463,0.9377595363837665,0.8177480264013232,0.8561502807332626,0.8225590416670446,0.781708345805328
038,281,0.9378258667515313,0.8161201665351439,0.8464357306774788,0.8200646427264838,0.7871567177942862
059,595,0.9368329721574975,0.8115981991951406,0.8431552181314079,0.8159738284639643,0.7805049872861242
043,391,0.9391344572264638,0.8113294088123335,0.8516089629045084,0.8176035024384639,0.7692303040747897
041,325,0.9334866824223458,0.8002294847025315,0.8405005729558779,0.8032115764298953,0.7696566195300855
034,155,0.9342170677091315,0.7978143018252952,0.8408482770506227,0.8008381180440284,0.7657139574470658
026,199,0.929253319789547,0.7957005632806334,0.8309674337321348,0.8015970200247323,0.7574295294505369
044,265,0.9311817767999726,0.7860180624718435,0.8220752794482692,0.7892580599320919,0.7566494628727615
050,501,0.9230399446233851,0.7857154087337221,0.8175581497304537,0.7886866158111634,0.7593948134643119
042,163,0.92150816219992,0.7827499463326287,0.8223473956963303,0.7885898633674083,0.74251151202905
051,415,0.9328356877565978,0.7812545163738394,0.8421544350413164,0.7857628779014395,0.7350252916935003
054,151,0.9164002300416997,0.7763921013723729,0.8173706918706782,0.7857719484430415,0.7230733413758802
024,121,0.9116805666126284,0.772036124943687,0.8045509930731297,0.7756341064458292,0.7431857556214682
037,121,0.9126370502300305,0.7641768029969069,0.8027520023220587,0.7689128351187182,0.7283130909079915
047,121,0.9153705636369446,0.7544888598631557,0.8052464012626194,0.7576804811015265,0.717939414829126
049,85,0.8956444256689208,0.7492167587326638,0.7802298475241957,0.7628355722453521,0.6860443670424894
039,331,0.9198202621648878,0.7450464260554331,0.7927744065598157,0.7488185619563343,0.7079799601500872
032,193,0.9170673335500956,0.7251834517039012,0.7898415981084898,0.7287152182523485,0.6804931955820415
029,171,0.8864080439642211,0.7148046356514615,0.7480082602398856,0.7186559876156873,0.6847230914824591
023,145,0.9035067064534068,0.712791882469969,0.7585331120121183,0.7269525096676857,0.6403590725068861
031,91,0.8956386575387912,0.6758865698537526,0.7455289788686617,0.6793382132847152,0.6289846133379291
030,235,0.8875726358442931,0.6612715085217739,0.7125666306868517,0.6640392331159427,0.625936911359644
025,79,0.8836307629770018,0.6561787017636156,0.7182780483822688,0.6582310629767704,0.6179457642082475
020,61,0.8723434797617768,0.6317535473376449,0.6679637541157583,0.6360173065933767,0.5987252865535269
021,99,0.8860708497296874,0.6025838949510341,0.687785911030081,0.6039438714885665,0.5552229690301475
022,31,0.8468344670050554,0.5808696230585261,0.6401655676193758,0.5802939460181834,0.5532365204193008
036,65,0.8476364120822615,0.500038700977502,0.5838647158955195,0.49740128983101584,0.4673566325311951
048,55,0.8419163307988857,0.43858940984032824,0.5181577125303485,0.4451791583142096,0.3757411388367333
040,31,0.8272157071746689,0.4076869816563413,0.47816267109309096,0.41143372004075696,0.35933555259251193
028,45,0.8434752429792348,0.36531303950825567,0.36531303950825567,0.36531303950825567,0.36531303950825567
057,67,0.6338970291013137,0.14929627714737514,0.20199189093580783,0.14429719931910467,0.14044524265210545
045,211,0.6844204800024648,0.08290233143154313,0.1477530756694816,0.0756966931828833,0.0756966931828833
055,267,0.5924036211247021,0.06199533774161654,0.1033920802077759,0.06309468738378365,0.03744924276095196
027,19,0.5535950003821551,0.015080682467550146,0.0797209901403213,0.00841443909282491,0.006092380442702883
058,37,0.4628153459439823,0.014717558452081848,0.029152720708953583,0.015150827989272586,0.005983533943478392
035,25,0.5102130373797455,0.006460342080358994,0.06433130455552838,3.023513867350669e-05,3.023513867350669e-05
053,337,0.6125046738432635,0.005864709848491723,0.058647098484917226,0.0,0.0
052,105,0.49831552991140543,0.003110893418112659,0.03110893418112659,0.0,0.0
