trial_id,parameters,auc,primary_metric
076,3759,0.9644068629487748,0.8856718701340323
028,4609,0.9661997421047352,0.8850481192231988
090,3857,0.9651923570301766,0.8789037343419775
111,3565,0.9657065395011858,0.878472581264494
014,3703,0.9643054684096297,0.8782621446993266
007,3261,0.9652438201768804,0.8780586622160542
008,3381,0.9653549217577535,0.8779712826652879
096,2317,0.9655130250652368,0.8769172857311309
119,2713,0.9644845856645923,0.876746457197626
017,2369,0.9640061674405976,0.8745326403439551
003,1829,0.9622594649283094,0.8702676716826763
031,2167,0.9566527496822037,0.8661182012511301
022,1525,0.9613294458812107,0.8651038123486353
071,1589,0.9589211742527335,0.863928270157011
068,1339,0.9578604389281005,0.8608633341496821
013,1525,0.9572393597865735,0.8600370078097362
099,1339,0.9585596685820192,0.8578467743642306
059,885,0.9431348588292886,0.8549617374320087
105,819,0.9419539609991816,0.8283445354522119
006,1073,0.9432963239505957,0.8119404609649242
0,391,0.9317288852365306,0.7990524307539737
065,391,0.9317288852365306,0.7990524307539737
049,363,0.9329285053019323,0.7985550627227951
055,711,0.9243370948800878,0.7947115718946244
032,683,0.9337954740277257,0.7846674588272998
084,391,0.9200655166659815,0.7651485603538721
095,377,0.8968803167067969,0.7629689092069021
