trial_id,parameters,auc,primary_metric
076,3759,0.9644068629487748,0.8856718701340323
111,3565,0.9657065395011858,0.878472581264494
007,3261,0.9652438201768804,0.8780586622160542
096,2317,0.9655130250652368,0.8769172857311309
003,1829,0.9622594649283094,0.8702676716826763
022,1525,0.9613294458812107,0.8651038123486353
068,1339,0.9578604389281005,0.8608633341496821
059,885,0.9431348588292886,0.8549617374320087
105,819,0.9419539609991816,0.8283445354522119
0,391,0.9317288852365306,0.7990524307539737
065,391,0.9317288852365306,0.7990524307539737
049,363,0.9329285053019323,0.7985550627227951
