trial_id,parameters,auc,primary_metric
028,4609,0.9661997421047352,0.8850481192231988
090,3857,0.9651923570301766,0.8789037343419775
014,3703,0.9643054684096297,0.8782621446993266
008,3381,0.9653549217577535,0.8779712826652879
119,2713,0.9644845856645923,0.876746457197626
017,2369,0.9640061674405976,0.8745326403439551
031,2167,0.9566527496822037,0.8661182012511301
071,1589,0.9589211742527335,0.863928270157011
013,1525,0.9572393597865735,0.8600370078097362
099,1339,0.9585596685820192,0.8578467743642306
006,1073,0.9432963239505957,0.8119404609649242
055,711,0.9243370948800878,0.7947115718946244
032,683,0.9337954740277257,0.7846674588272998
084,391,0.9200655166659815,0.7651485603538721
095,377,0.8968803167067969,0.7629689092069021
