model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_ff,dsp,bram,hls_source,fullPath,areaScorePostScheduling,areaScorePostDSP,areaScorePostAssignment,designLatency,clockPeriod,numClocks,hlsDir,h5Path
model2_5,model25_8bit,43,3975.0,0.9737060779477676,0.8814963974832271,111326,60593,171919,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_8bit_normalised_selected/pareto_primary/model_trial_043.h5,2127846.3,2181427.3,2151033.2,250.0,10.0,25,./hlsVerification/m2.5_b8___model_trial_043.h/hlsCatapultModel2_20260625_112504/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_8bit_normalised_selected__model_trial_043.h5
model2_5,model25_10bit,43,3975.0,0.9743088946965792,0.8801055811042477,110613,60918,171531,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_10bit_normalised_selected/pareto_primary/model_trial_043.h5,2768610.0,2825100.6,2804884.1,260.0,10.0,26,./hlsVerification/m2.5_b10___model_trial_043.h/hlsCatapultModel2_20260625_113336/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_10bit_normalised_selected__model_trial_043.h5
model2_5,model25_10bit,87,2637.0,0.971225250748732,0.8707205940600047,91727,50035,141762,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_10bit_normalised_selected/pareto_primary/model_trial_087.h5,1868596.3,1914930.6,1899706.6,260.0,10.0,26,./hlsVerification/m2.5_b10___model_trial_087.h/hlsCatapultModel2_20260625_114209/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_10bit_normalised_selected__model_trial_087.h5
model2_5,model25_10bit,81,1563.0,0.9678845831517812,0.8635427721389244,62196,39542,101738,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_10bit_normalised_selected/pareto_primary/model_trial_081.h5,1118835.0,1158890.7,1147559.2,250.0,10.0,25,./hlsVerification/m2.5_b10___model_trial_081.h/hlsCatapultModel2_20260625_114819/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_10bit_normalised_selected__model_trial_081.h5
model2_5,model25_10bit,20,1527.0,0.9651972923481152,0.8555879071539362,61416,38779,100195,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_10bit_normalised_selected/pareto_primary/model_trial_020.h5,1098128.7,1137326.0,1126944.3,250.0,10.0,25,./hlsVerification/m2.5_b10___model_trial_020.h/hlsCatapultModel2_20260625_115246/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_10bit_normalised_selected__model_trial_020.h5
model2_5,model25_10bit,29,1281.0,0.962915477671228,0.8521380778312939,56310,34984,91294,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_10bit_normalised_selected/pareto_primary/model_trial_029.h5,955932.3,990144.8,981778.2,250.0,10.0,25,./hlsVerification/m2.5_b10___model_trial_029.h/hlsCatapultModel2_20260625_115708/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_10bit_normalised_selected__model_trial_029.h5
model2_5,model25_10bit,57,711.0,0.9563345365466742,0.8460910500966012,41792,28243,70035,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_10bit_normalised_selected/pareto_primary/model_trial_057.h5,560291.8,588659.5,586221.4,250.0,10.0,25,./hlsVerification/m2.5_b10___model_trial_057.h/hlsCatapultModel2_20260625_120103/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_10bit_normalised_selected__model_trial_057.h5
model2_5,model25_6bit,88,533.0,0.9566024276493684,0.8430493951460508,37725,28468,66193,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_6bit_normalised_selected/pareto_primary/model_trial_088.h5,218464.9,244326.8,238078.7,240.0,10.0,24,./hlsVerification/m2.5_b6___model_trial_088.h/hlsCatapultModel2_20260625_120405/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_6bit_normalised_selected__model_trial_088.h5
model2_5,model25_8bit,88,533.0,0.957596956187444,0.8422239758602653,37364,28132,65496,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_8bit_normalised_selected/pareto_primary/model_trial_088.h5,303273.0,331145.5,324792.4,240.0,10.0,24,./hlsVerification/m2.5_b8___model_trial_088.h/hlsCatapultModel2_20260625_120650/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_8bit_normalised_selected__model_trial_088.h5
model2_5,model25_6bit,33,489.0,0.9556920642031816,0.8420607061114286,35783,26311,62094,0,0,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Results_June2026_99SigEff/model2.5_fin_results/model2_5_6bit_normalised_selected/pareto_primary/model_trial_033.h5,201740.8,225534.6,220133.4,240.0,10.0,24,./hlsVerification/m2.5_b6___model_trial_033.h/hlsCatapultModel2_20260625_120934/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_6bit_normalised_selected__model_trial_033.h5
