areaScorePostScheduling,areaScorePostDSP,areaScorePostAssignment,designLatency,clockPeriod,numClocks,hlsDir,h5Path
1868596.3,1914930.6,1899706.6,260.0,10.0,26,./hlsVerification/m2.5_b10___model_trial_087.h/hlsCatapultModel2_20260716_075622/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_10bit_normalised_selected__model_trial_087.h5
201740.8,225534.6,220133.4,240.0,10.0,24,./hlsVerification/m2.5_b6___model_trial_033.h/hlsCatapultModel2_20260625_120934/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_6bit_normalised_selected__model_trial_033.h5
218464.9,244326.8,238078.7,240.0,10.0,24,./hlsVerification/m2.5_b6___model_trial_088.h/hlsCatapultModel2_20260625_120405/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_6bit_normalised_selected__model_trial_088.h5
2127846.3,2181427.3,2151033.2,250.0,10.0,25,./hlsVerification/m2.5_b8___model_trial_043.h/hlsCatapultModel2_20260625_112504/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_8bit_normalised_selected__model_trial_043.h5
232252.9,255254.8,253475.6,240.0,10.0,24,./hlsVerification/m2.5_b8___model_trial_051.h/hlsCatapultModel2_20260625_121452/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_8bit_normalised_selected__model_trial_051.h5
4557027.0,4640054.0,4574275.9,260.0,10.0,26,./hlsVerification/m2.5_b8___model_trial_063.h/hlsCatapultModel2_20260625_105434/Catapult/myproject.v1,./CrossParetoModels_June2026/model2_5_8bit_normalised_selected_pareto_secondary__model_trial_063.h5
2699869.3,2764081.1,2717136.7,260.0,10.0,26,./hlsVerification/m2.5_b8___model_trial_065.h/hlsCatapultModel2_20260625_111429/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_8bit_normalised_selected__model_trial_065.h5
4290801.6,4370154.8,4322300.2,260.0,10.0,26,./hlsVerification/m2.5_b8___model_trial_077.h/hlsCatapultModel2_20260625_103617/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_8bit_normalised_selected__model_trial_077.h5
303273.0,331145.5,324792.4,240.0,10.0,24,./hlsVerification/m2.5_b8___model_trial_088.h/hlsCatapultModel2_20260625_120650/Catapult/myproject.v1,./CrossParetoModels_June2026/model2.5_fin_results_model2_5_8bit_normalised_selected__model_trial_088.h5
13828038.3,14292257.3,14209001.5,19460.0,10.0,1946,./hlsVerification/m3_b10___model_trial_016.h/hlsCatapultModel2_20260630_110229/Catapult/myproject.v1,./CrossParetoModels_June2026/model3_10bit_normalised_selected_pareto_primary__model_trial_016.h5
8223734.3,8477490.1,8393619.1,19460.0,10.0,1946,./hlsVerification/m3_b10___model_trial_046.h/hlsCatapultModel2_20260716_065743/Catapult/myproject.v1,./CrossParetoModels_June2026/model3_10bit_normalised_selected_pareto_primary__model_trial_046.h5
9114410.8,9457117.8,9386879.4,19460.0,10.0,1946,./hlsVerification/m3_b10___model_trial_088.h/hlsCatapultModel2_20260629_102120/Catapult/myproject.v1,./CrossParetoModels_June2026/model3_10bit_normalised_selected_pareto_primary__model_trial_088.h5
9781195.8,10235557.3,10169109.2,19460.0,10.0,1946,./hlsVerification/m3_b10___model_trial_090.h/hlsCatapultModel2_20260629_123134/Catapult/myproject.v1,./CrossParetoModels_June2026/model3_10bit_normalised_selected_pareto_primary__model_trial_090.h5
22527540.1,52337229.1,52255155.1,19460.0,10.0,1946,./hlsVerification/m3_b10___model_trial_110.h/hlsCatapultModel2_20260701_095205/Catapult/myproject.v1,./CrossParetoModels_June2026/model3_10bit_normalised_selected_pareto_primary__model_trial_110.h5
8221796.5,8661784.5,8566514.4,19460.0,10.0,1946,./hlsVerification/m3_b8___model_trial_090.h/hlsCatapultModel2_20260630_034423/Catapult/myproject.v1,./CrossParetoModels_June2026/model3_8bit_normalised_selected_pareto_primary__model_trial_090.h5
5476024.4,5797015.5,5722623.0,19450.0,10.0,1945,./hlsVerification/m3_b8___model_trial_100.h/hlsCatapultModel2_20260629_085855/Catapult/myproject.v1,./CrossParetoModels_June2026/model3_8bit_normalised_selected_pareto_primary__model_trial_100.h5
