trial_id,parameters,auc,primary_metric,bkg_rej_@99%
084,49505,0.980866404724509,0.9123332154162925,0.9123332154162925
114,59083,0.9808090718155367,0.9116801364209457,0.9116801364209457
095,57553,0.9805389735653626,0.9116015250603947,0.9116015250603947
086,67577,0.9800708426713023,0.9100625565019154,0.9100625565019154
048,77133,0.9804315048523946,0.910050462446446,0.910050462446446
033,46735,0.9803456123386637,0.9098297459341297,0.9098297459341297
117,77133,0.9800988628875344,0.9091313142307728,0.9091313142307728
014,36393,0.980637767441589,0.9088682685243136,0.9088682685243136
019,59073,0.9806285743015051,0.908366365222334,0.908366365222334
055,64177,0.9800549387978481,0.9082514716953749,0.9082514716953749
081,46233,0.9794424770881589,0.9080942489742729,0.9080942489742729
045,52213,0.9792876100706942,0.9080579668078648,0.9080579668078648
075,23473,0.979806643605753,0.9080277316691913,0.9080277316691913
115,59269,0.9796340447761325,0.9075772281029567,0.9075772281029567
066,57149,0.9795698037292998,0.9073172059103649,0.9073172059103649
076,58405,0.9797021754382915,0.9064736455413753,0.9064736455413753
059,39201,0.9794256224479834,0.906392010666957,0.906392010666957
004,40249,0.9787741682550424,0.9058205665460285,0.9058205665460285
110,39201,0.9791178087051347,0.9052491224251,0.9052491224251
016,23979,0.9791697439670641,0.9044781263889267,0.9044781263889267
067,46217,0.977922654571224,0.9043088096123553,0.9043088096123553
116,40249,0.9794637147817526,0.9041515868912533,0.9041515868912533
025,29325,0.9782506105059915,0.9028454289005596,0.9028454289005596
088,15773,0.9787836150572446,0.9027970526786822,0.9027970526786822
052,24365,0.9779776726533852,0.9027033237487944,0.9027033237487944
090,16901,0.9787330895818689,0.9026277359021108,0.9026277359021108
000,26205,0.9781330179886759,0.9024856307503455,0.9024856307503455
007,39613,0.9780292838534566,0.9023011964044373,0.9023011964044373
009,71025,0.9776120558792145,0.9013185543975497,0.9013185543975497
006,22223,0.9782277590668009,0.901085743829764,0.901085743829764
078,26189,0.9767066256621025,0.900762227845958,0.900762227845958
083,48293,0.9772480945456429,0.9005747699861826,0.9005747699861826
056,15217,0.9777427377933388,0.8997916798945398,0.8997916798945398
111,22901,0.9773299061096039,0.8993321057867032,0.8993321057867032
064,25181,0.9776582818283015,0.8992504709122848,0.8992504709122848
099,15541,0.9776071490648972,0.8991083657605196,0.8991083657605196
027,21701,0.9773234005556853,0.8989148608730094,0.8989148608730094
031,40327,0.9754681743901935,0.8982799229608667,0.8982799229608667
109,57077,0.9775006975966286,0.8981499118645708,0.8981499118645708
101,16095,0.9773729234541171,0.8978868661581116,0.8978868661581116
047,47951,0.9768616378761733,0.8976389380209893,0.8976389380209893
100,11225,0.9770190572018724,0.897288210412377,0.897288210412377
098,48273,0.9758798756877696,0.8968498009016118,0.8968498009016118
085,12081,0.976585197236573,0.8968256127906731,0.8968256127906731
102,5333,0.9760966569268583,0.8967107192637139,0.8967107192637139
079,35513,0.9754676522519347,0.8966260608754282,0.8966260608754282
074,10115,0.9764809151699687,0.8965293084316731,0.8965293084316731
022,24365,0.9755938496313382,0.8964839557236629,0.8964839557236629
018,17647,0.9765492642029602,0.8964174384185813,0.8964174384185813
119,18383,0.9770666057902959,0.8963418505718976,0.8963418505718976
105,78125,0.9769510412626758,0.8960032170187548,0.8960032170187548
113,37923,0.9758660761458144,0.8958701824085916,0.8958701824085916
080,56481,0.9756277964388202,0.8956585364378774,0.8956585364378774
065,20681,0.9754708854520803,0.8951777977329693,0.8951777977329693
106,12427,0.9774943648516283,0.8951263979972244,0.8951263979972244
063,25869,0.9750386146276643,0.8943856370997245,0.8943856370997245
026,19037,0.976332837467378,0.8941498030180716,0.8941498030180716
012,19037,0.97686061865231,0.8935209121336635,0.8935209121336635
094,58069,0.975628121469692,0.8934120656344391,0.8934120656344391
093,49461,0.9743969756997105,0.8929524915266024,0.8929524915266024
044,12005,0.9755019641169422,0.8927408455558882,0.8927408455558882
068,15509,0.974653299588566,0.8925443171545107,0.8925443171545107
087,15615,0.9769224799027235,0.8918640265343577,0.8918640265343577
073,9839,0.9750355225241012,0.8915193459534803,0.8915193459534803
015,20529,0.9775202125626107,0.8914770167593373,0.8914770167593373
