trial_id,parameters,auc,primary_metric
20,12407,0.955630466711824,0.8476118775718766
28,1785,0.9492669003379415,0.8462630880356533
08,10781,0.9482724534575304,0.8459465261337421
21,10021,0.9497207828951342,0.845488463782839
07,8351,0.9497561033568531,0.8440465500195016
06,1589,0.9385452102582963,0.8437293834148171
17,6865,0.945611875364738,0.8419306950151327
00,2137,0.9415486517621117,0.8415367311582175
18,1545,0.9432162865359495,0.8329052037697171
25,819,0.9417656217714151,0.8282574582528324
09,1127,0.878974844976391,0.6600291466736812
19,683,0.8646175372924678,0.6463595381280215
22,841,0.5772258135390602,0.006818326122252771
