trial_id,parameters,auc,primary_metric
112,10525,0.968636467290421,0.8858106494205435
063,8833,0.965568665281443,0.8796290753187539
038,5803,0.9659241303372804,0.8775198720448931
013,5143,0.9650452824438867,0.8761502202629852
099,5139,0.962962252292172,0.8705899782609353
024,4669,0.9616677745059397,0.8669611569173461
006,3261,0.9593304781470993,0.8651479556510986
064,2965,0.9582842983320197,0.864613096047965
010,1589,0.9552845086147255,0.863373455362353
020,1527,0.9562217325371922,0.8592085650100835
022,1311,0.9566358188419204,0.8572553750517776
096,1171,0.9521871335500691,0.8570364726477818
033,489,0.9472780789651645,0.8408304383188053
015,405,0.9019022491336076,0.78346651911919
051,391,0.886439981334958,0.7755657750324271
031,377,0.8893477285119726,0.741871131791946
