model,trial_id,nodes,parameters,val_accuracy
model2_quantized_4w0i_hyperparameter_search,027,269,14585,0.9076516032218933
model2_quantized_4w0i_hyperparameter_search,134,269,14585,0.9066506624221802
model2_quantized_4w0i_hyperparameter_search,098,285,15129,0.9065636992454529
model2_quantized_4w0i_hyperparameter_search,101,269,14585,0.90582674741745
model2_quantized_4w0i_hyperparameter_search,140,237,12409,0.9056954979896545
model2_quantized_4w0i_hyperparameter_search,023,213,10505,0.905680239200592
model2_quantized_4w0i_hyperparameter_search,118,237,12409,0.905674159526825
model2_quantized_4w0i_hyperparameter_search,108,189,8601,0.9055215716362
model2_quantized_4w0i_hyperparameter_search,068,213,10505,0.9054009914398193
model2_quantized_4w0i_hyperparameter_search,119,285,15129,0.9053674340248108
model2_quantized_4w0i_hyperparameter_search,128,269,14585,0.904880702495575
model2_quantized_4w0i_hyperparameter_search,011,253,12953,0.9048181176185608
model2_quantized_4w0i_hyperparameter_search,000,277,14857,0.904758632183075
model2_quantized_4w0i_hyperparameter_search,130,285,15129,0.9046274423599243
model2_quantized_4w0i_hyperparameter_search,078,213,10505,0.9045618176460266
model2_quantized_4w0i_hyperparameter_search,053,221,10777,0.9045572280883789
model2_quantized_4w0i_hyperparameter_search,003,181,8329,0.9042932391166687
model2_quantized_4w0i_hyperparameter_search,006,237,12409,0.9040185809135437
model2_quantized_4w0i_hyperparameter_search,111,221,10777,0.9035364389419556
model2_quantized_4w0i_hyperparameter_search,087,149,6153,0.9033411145210266
model2_quantized_4w0i_hyperparameter_search,092,181,8329,0.9033334851264954
model2_quantized_4w0i_hyperparameter_search,115,213,10505,0.9033258557319641
model2_quantized_4w0i_hyperparameter_search,042,173,8057,0.9032862186431885
model2_quantized_4w0i_hyperparameter_search,067,221,11865,0.9031137824058533
model2_quantized_4w0i_hyperparameter_search,147,181,8329,0.9027460813522339
model2_quantized_4w0i_hyperparameter_search,009,277,14857,0.9026804566383362
model2_quantized_4w0i_hyperparameter_search,057,221,10777,0.902569055557251
model2_quantized_4w0i_hyperparameter_search,039,181,8329,0.9024744629859924
model2_quantized_4w0i_hyperparameter_search,094,237,12409,0.9024012088775635
model2_quantized_4w0i_hyperparameter_search,040,213,10505,0.9022913575172424
model2_quantized_4w0i_hyperparameter_search,032,141,5881,0.9022760987281799
model2_quantized_4w0i_hyperparameter_search,143,221,11865,0.9022440314292908
model2_quantized_4w0i_hyperparameter_search,110,117,3977,0.9021433591842651
model2_quantized_4w0i_hyperparameter_search,123,205,10233,0.9021098017692566
model2_quantized_4w0i_hyperparameter_search,074,189,9689,0.9018564820289612
model2_quantized_4w0i_hyperparameter_search,022,165,7785,0.9018335938453674
model2_quantized_4w0i_hyperparameter_search,135,237,12409,0.9017542600631714
model2_quantized_4w0i_hyperparameter_search,026,149,6153,0.9016947746276855
model2_quantized_4w0i_hyperparameter_search,028,165,7785,0.9016855955123901
model2_quantized_4w0i_hyperparameter_search,084,189,9689,0.9016611576080322
model2_quantized_4w0i_hyperparameter_search,090,213,10505,0.9016367793083191
model2_quantized_4w0i_hyperparameter_search,120,269,14585,0.9014811515808105
model2_quantized_4w0i_hyperparameter_search,133,285,15129,0.9013773798942566
model2_quantized_4w0i_hyperparameter_search,064,109,3705,0.9013682007789612
model2_quantized_4w0i_hyperparameter_search,109,165,7785,0.9011866450309753
model2_quantized_4w0i_hyperparameter_search,091,269,14585,0.9011561274528503
model2_quantized_4w0i_hyperparameter_search,008,245,12681,0.9011164307594299
model2_quantized_4w0i_hyperparameter_search,069,149,6153,0.9008601307868958
model2_quantized_4w0i_hyperparameter_search,075,253,14041,0.9008296132087708
model2_quantized_4w0i_hyperparameter_search,086,269,14585,0.9005274772644043
model2_quantized_4w0i_hyperparameter_search,035,237,12409,0.9004985094070435
model2_quantized_4w0i_hyperparameter_search,043,261,14313,0.9002711176872253
model2_quantized_4w0i_hyperparameter_search,116,133,5609,0.9002055525779724
model2_quantized_4w0i_hyperparameter_search,005,149,6153,0.900104820728302
model2_quantized_4w0i_hyperparameter_search,145,237,12409,0.899158775806427
model2_quantized_4w0i_hyperparameter_search,105,173,8057,0.8989787697792053
model2_quantized_4w0i_hyperparameter_search,081,101,3433,0.8989314436912537
model2_quantized_4w0i_hyperparameter_search,077,205,10233,0.8988932967185974
model2_quantized_4w0i_hyperparameter_search,097,173,8057,0.8987605571746826
model2_quantized_4w0i_hyperparameter_search,018,133,5609,0.8985942602157593
model2_quantized_4w0i_hyperparameter_search,054,237,12409,0.8981090188026428
model2_quantized_4w0i_hyperparameter_search,088,269,14585,0.8980357646942139
model2_quantized_4w0i_hyperparameter_search,079,109,3705,0.8979915380477905
model2_quantized_4w0i_hyperparameter_search,083,245,12681,0.8979244232177734
model2_quantized_4w0i_hyperparameter_search,127,149,6153,0.8978862762451172
model2_quantized_4w0i_hyperparameter_search,033,157,7513,0.8978221416473389
model2_quantized_4w0i_hyperparameter_search,103,165,7785,0.8977962136268616
model2_quantized_4w0i_hyperparameter_search,132,245,12681,0.8977962136268616
model2_quantized_4w0i_hyperparameter_search,037,197,9961,0.8976741433143616
model2_quantized_4w0i_hyperparameter_search,102,197,9961,0.8976283669471741
model2_quantized_4w0i_hyperparameter_search,020,181,8329,0.8969753384590149
model2_quantized_4w0i_hyperparameter_search,021,109,3705,0.896767795085907
model2_quantized_4w0i_hyperparameter_search,058,213,11593,0.8966900110244751
model2_quantized_4w0i_hyperparameter_search,004,133,5609,0.8966793417930603
model2_quantized_4w0i_hyperparameter_search,016,197,9961,0.896580159664154
model2_quantized_4w0i_hyperparameter_search,065,133,5609,0.896462619304657
model2_quantized_4w0i_hyperparameter_search,106,253,14041,0.8964489102363586
model2_quantized_4w0i_hyperparameter_search,100,261,14313,0.8963314294815063
model2_quantized_4w0i_hyperparameter_search,107,125,5337,0.8961162567138672
model2_quantized_4w0i_hyperparameter_search,089,197,9961,0.895890474319458
model2_quantized_4w0i_hyperparameter_search,099,261,14313,0.8957851529121399
model2_quantized_4w0i_hyperparameter_search,031,181,9417,0.8956005573272705
model2_quantized_4w0i_hyperparameter_search,046,221,11865,0.8954921960830688
model2_quantized_4w0i_hyperparameter_search,001,197,9961,0.8953579664230347
model2_quantized_4w0i_hyperparameter_search,029,109,3705,0.8948696851730347
model2_quantized_4w0i_hyperparameter_search,070,101,3433,0.8948467969894409
model2_quantized_4w0i_hyperparameter_search,117,197,9961,0.8948162794113159
model2_quantized_4w0i_hyperparameter_search,010,189,9689,0.8947674632072449
model2_quantized_4w0i_hyperparameter_search,013,221,11865,0.8947476148605347
model2_quantized_4w0i_hyperparameter_search,146,253,14041,0.8941082954406738
model2_quantized_4w0i_hyperparameter_search,036,125,4249,0.8938916325569153
model2_quantized_4w0i_hyperparameter_search,096,109,3705,0.8938336372375488
model2_quantized_4w0i_hyperparameter_search,007,197,9961,0.8936063051223755
model2_quantized_4w0i_hyperparameter_search,024,157,7513,0.8934460878372192
model2_quantized_4w0i_hyperparameter_search,048,117,3977,0.8933743238449097
model2_quantized_4w0i_hyperparameter_search,060,261,14313,0.8929913640022278
model2_quantized_4w0i_hyperparameter_search,045,181,9417,0.8926815986633301
model2_quantized_4w0i_hyperparameter_search,063,221,10777,0.8923627138137817
model2_quantized_4w0i_hyperparameter_search,126,109,3705,0.8917920589447021
model2_quantized_4w0i_hyperparameter_search,047,237,12409,0.8917630910873413
model2_quantized_4w0i_hyperparameter_search,080,141,5881,0.8915509581565857
