model,trial_id,nodes,parameters,val_accuracy,spatial_units,z_global_units,dense2_units,dense3_units,dropout_rate,learning_rate
model2_quantized_4w0i_hyperparameter_search,100,261,14313,0.8963314294815063,192,20,32,16,0.1,0.0001671064584501386
model2_quantized_4w0i_hyperparameter_search,101,269,14585,0.90582674741745,192,20,32,24,0.2,0.0037339329785232387
model2_quantized_4w0i_hyperparameter_search,102,197,9961,0.8976283669471741,128,12,32,24,0.1,0.00047875503773115347
model2_quantized_4w0i_hyperparameter_search,103,165,7785,0.8977962136268616,96,12,32,24,0.25,0.004299211781488068
model2_quantized_4w0i_hyperparameter_search,104,93,3161,0.8827926516532898,32,12,32,16,0.1,0.00027363407710605464
model2_quantized_4w0i_hyperparameter_search,105,173,8057,0.8989787697792053,96,20,32,24,0.1,0.007795489030652708
model2_quantized_4w0i_hyperparameter_search,106,253,14041,0.8964489102363586,192,4,32,24,0.15000000000000002,0.0004846170152731575
model2_quantized_4w0i_hyperparameter_search,107,125,5337,0.8961162567138672,64,12,32,16,0.1,0.0006199627420337139
model2_quantized_4w0i_hyperparameter_search,108,189,8601,0.9055215716362,96,28,32,32,0.05,0.002579876453443278
model2_quantized_4w0i_hyperparameter_search,109,165,7785,0.9011866450309753,96,20,32,16,0.15000000000000002,0.0017849165322769414
model2_quantized_4w0i_hyperparameter_search,110,117,3977,0.9021433591842651,32,20,32,32,0.0,0.006006969118465886
model2_quantized_4w0i_hyperparameter_search,111,221,10777,0.9035364389419556,128,28,32,32,0.0,0.008118715787580498
model2_quantized_4w0i_hyperparameter_search,112,165,7785,0.8599340319633484,96,4,32,32,0.05,0.00019367160344936564
model2_quantized_4w0i_hyperparameter_search,113,133,5609,0.8691180944442749,64,4,32,32,0.15000000000000002,0.00019787164170253032
model2_quantized_4w0i_hyperparameter_search,114,181,8329,0.8896055221557617,96,20,32,32,0.1,0.00015594455412571505
model2_quantized_4w0i_hyperparameter_search,115,213,10505,0.9033258557319641,128,28,32,24,0.25,0.0012129560775108322
model2_quantized_4w0i_hyperparameter_search,116,133,5609,0.9002055525779724,64,12,32,24,0.05,0.006990703300813505
model2_quantized_4w0i_hyperparameter_search,117,197,9961,0.8948162794113159,128,12,32,24,0.2,0.0003047566454213899
model2_quantized_4w0i_hyperparameter_search,118,237,12409,0.905674159526825,160,20,32,24,0.0,0.0017779306516158035
model2_quantized_4w0i_hyperparameter_search,119,285,15129,0.9053674340248108,192,28,32,32,0.0,0.0012625225902271942
model2_quantized_4w0i_hyperparameter_search,120,269,14585,0.9014811515808105,192,12,32,32,0.15000000000000002,0.00492210572872919
model2_quantized_4w0i_hyperparameter_search,121,245,13769,0.8570318818092346,192,4,32,16,0.05,0.00016379559434627597
model2_quantized_4w0i_hyperparameter_search,122,117,3977,0.887710452079773,32,20,32,32,0.25,0.0004147014701918324
model2_quantized_4w0i_hyperparameter_search,123,205,10233,0.9021098017692566,128,28,32,16,0.2,0.008128524746629794
model2_quantized_4w0i_hyperparameter_search,124,197,9961,0.8543052077293396,128,20,32,16,0.25,0.0001194639466704474
model2_quantized_4w0i_hyperparameter_search,125,149,6153,0.8877836465835571,64,28,32,24,0.2,0.00015821813975456654
model2_quantized_4w0i_hyperparameter_search,126,109,3705,0.8917920589447021,32,28,32,16,0.0,0.00038809367036793515
model2_quantized_4w0i_hyperparameter_search,127,149,6153,0.8978862762451172,64,20,32,32,0.1,0.0068419641998615265
model2_quantized_4w0i_hyperparameter_search,128,269,14585,0.904880702495575,192,12,32,32,0.15000000000000002,0.0028652697828724623
model2_quantized_4w0i_hyperparameter_search,129,197,9961,0.8778992891311646,128,20,32,16,0.25,0.00010301017394224362
model2_quantized_4w0i_hyperparameter_search,130,285,15129,0.9046274423599243,192,28,32,32,0.0,0.004712335776716502
model2_quantized_4w0i_hyperparameter_search,131,149,7241,0.8843978643417358,96,4,32,16,0.15000000000000002,0.0008640493682592615
model2_quantized_4w0i_hyperparameter_search,132,245,12681,0.8977962136268616,160,20,32,32,0.1,0.00032747642598351744
model2_quantized_4w0i_hyperparameter_search,133,285,15129,0.9013773798942566,192,28,32,32,0.15000000000000002,0.00038599229411126896
model2_quantized_4w0i_hyperparameter_search,134,269,14585,0.9066506624221802,192,28,32,16,0.15000000000000002,0.004035439859879942
model2_quantized_4w0i_hyperparameter_search,135,237,12409,0.9017542600631714,160,20,32,24,0.15000000000000002,0.008620552497440865
model2_quantized_4w0i_hyperparameter_search,136,277,14857,0.8910886645317078,192,20,32,32,0.25,0.00010928245164324666
model2_quantized_4w0i_hyperparameter_search,137,189,8601,0.8887602090835571,96,28,32,32,0.15000000000000002,0.00013521425127519483
model2_quantized_4w0i_hyperparameter_search,138,253,14041,0.8899992108345032,192,12,32,16,0.0,0.00012326736443998143
model2_quantized_4w0i_hyperparameter_search,139,197,9961,0.8791962265968323,128,4,32,32,0.15000000000000002,0.007704100384917633
model2_quantized_4w0i_hyperparameter_search,140,237,12409,0.9056954979896545,160,28,32,16,0.05,0.001610075186688361
model2_quantized_4w0i_hyperparameter_search,141,125,4249,0.8878950476646423,32,28,32,32,0.15000000000000002,0.000318789400975165
model2_quantized_4w0i_hyperparameter_search,142,125,5337,0.8072330951690674,64,4,32,24,0.0,0.00012840079280248366
model2_quantized_4w0i_hyperparameter_search,143,221,11865,0.9022440314292908,160,12,32,16,0.1,0.0017991073735913667
model2_quantized_4w0i_hyperparameter_search,144,93,3161,0.8866026997566223,32,12,32,16,0.2,0.0004027083684614831
model2_quantized_4w0i_hyperparameter_search,145,237,12409,0.899158775806427,160,28,32,16,0.15000000000000002,0.007711862216981024
model2_quantized_4w0i_hyperparameter_search,146,253,14041,0.8941082954406738,192,4,32,24,0.05,0.001958975633214816
model2_quantized_4w0i_hyperparameter_search,147,181,8329,0.9027460813522339,96,28,32,24,0.05,0.0059237449094478485
model2_quantized_4w0i_hyperparameter_search,148,173,8057,0.8885831832885742,96,12,32,32,0.15000000000000002,0.00027191496988780196
model2_quantized_4w0i_hyperparameter_search,149,213,11593,0.8879088163375854,160,4,32,16,0.25,0.0023085942870075898
