trial_id,parameters,auc,primary_metric,bkg_rej_@95%,bkg_rej_@98%,bkg_rej_@99%,model_name,val_accuracy,h5_file,output_dir,tarball,luts,luts_used,luts_available,luts_percent,registers,registers_used,registers_available,registers_percent,bram,bram_used,bram_available,bram_percent,dsp,dsp_used,dsp_available,dsp_percent,latency_min,latency_max,interval_min,interval_max,estimated_fmax,run_name,global_id,luts_plus_ff
031,4939,0.9681399670976124,0.8870992710308067,0.9153990584777816,0.8905911271962049,0.860727880728425,model_trial_031,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_031.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_031,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_031.tar.gz,223543,223543,53200,420.19,157927,157927,106400,148.43,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_031,381470
039,3225,0.9683458172893183,0.8868836944920647,0.9159644555709756,0.8910990775259191,0.8575894733341194,model_trial_039,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_039.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_039,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_039.tar.gz,156263,156263,53200,293.73,106319,106319,106400,99.92,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_039,262582
109,4609,0.9665978990811236,0.8858560021285538,0.9126839430249049,0.889744543313348,0.8588321375335988,model_trial_109,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_109.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_109,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_109.tar.gz,207170,207170,53200,389.42,147956,147956,106400,139.06,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_109,355126
103,3703,0.9672889092111994,0.8845613334905561,0.912206227833864,0.8879667171593483,0.8588200434781295,model_trial_103,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_103.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_103,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_103.tar.gz,172034,172034,53200,323.37,120765,120765,106400,113.5,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_103,292799
003,2905,0.966492560026557,0.8832391508763655,0.910600741970303,0.8865154305030221,0.8580913766360989,model_trial_003,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_003.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_003,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_003.tar.gz,142796,142796,53200,268.41,98082,98082,106400,92.18,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_003,240878
005,3261,0.9654868404621098,0.8814927692665863,0.9102923435558335,0.884429205934553,0.8568154537840788,model_trial_005,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_005.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_005,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_005.tar.gz,149257,149257,53200,280.56,104913,104913,106400,98.6,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_005,254170
069,2667,0.9655222548312856,0.8761069840146821,0.905230981341896,0.879401102373156,0.8500155710964168,model_trial_069,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_069.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_069,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_069.tar.gz,120153,120153,53200,225.85,85380,85380,106400,80.24,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_069,205533
108,2271,0.9640868936272452,0.8748625057068824,0.9058931308788448,0.8777895694818605,0.8491024699084783,model_trial_108,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_108.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_108,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_108.tar.gz,107962,107962,53200,202.94,75077,75077,106400,70.56,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_108,183039
081,1683,0.9646937402789308,0.874379952893654,0.8995316577019481,0.8774811710673911,0.8509498368814269,model_trial_081,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_081.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_081,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_081.tar.gz,77755,77755,53200,146.16,55570,55570,106400,52.23,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_081,133325
026,1727,0.964854876132218,0.8728627536350195,0.9029210167472432,0.8754221581237283,0.8488757063684272,model_trial_026,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_026.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_026,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_026.tar.gz,76069,76069,53200,142.99,55875,55875,106400,52.51,0,0,140,0.0,220,220,220,100.0,,,,,143.88,model2_5_10bit,model2_5_10bit_026,131944
