Signal Type: Mean Signal AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),binary_type,dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
3.568652868270874,0.42481987679023836,50176,bwn,0.341887629976369,,,,,0,2,7,7,,,,,19,1,True,,,,,False
4.190171241760254,0.5171290326491327,51438,bwn,0.43567642214519076,4,1,1,2,2,1,7,,,,8,7,16,3,True,2,1,1,2,True
4.13494348526001,0.4989811340599771,51438,bwn,0.43567642214519076,4,1,1,2,2,1,7,,,,8,7,16,3,True,2,1,1,2,True
3.846099853515625,0.44737067707433076,51438,bwn,0.43567642214519076,4,1,1,2,2,1,7,,,,8,7,16,3,True,2,1,1,2,True

Signal Type: SUEP AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),binary_type,dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
3.745753765106201,0.3283128219215845,84489,bnn,0.47159349216248936,3,,1,,1,1,7,,,,3,,4,3,True,1,,1,,False
3.785651922225952,0.3687822627431706,84489,bnn,0.47159349216248936,3,,1,,1,1,7,,,,3,,4,3,True,1,,1,,False
11.742887496948242,0.06601886427307159,50024,ban,0.33783988545861626,4,1,3,4,2,2,4,2,,,3,5,16,13,True,2,1,2,2,True
9.419795989990234,0.04158764503200216,50024,ban,0.33783988545861626,4,1,3,4,2,2,4,2,,,3,5,16,13,True,2,1,2,2,True
20.514188766479492,0.09168779974122443,50024,ban,0.33783988545861626,4,1,3,4,2,2,4,2,,,3,5,16,13,True,2,1,2,2,True
13.439013481140137,0.08357791171613656,50024,ban,0.33783988545861626,4,1,3,4,2,2,4,2,,,3,5,16,13,True,2,1,2,2,True
8.437363624572754,0.0,50024,ban,0.33783988545861626,4,1,3,4,2,2,4,2,,,3,5,16,13,True,2,1,2,2,True
3.144010066986084,0.11475574675189126,56728,bwn,0.18170389089279781,3,,1,,1,2,5,5,,,8,,26,7,True,1,,1,,False
3.2124834060668945,0.15173356925237713,56728,bwn,0.18170389089279781,3,,1,,1,2,5,5,,,8,,26,7,True,1,,1,,False
3.4056644439697266,0.09228930499858738,50176,bwn,0.08949161820742663,,,,,0,2,7,7,,,,,12,3,True,,,,,True
3.4630112648010254,0.10986997755136584,50176,bwn,0.08949161820742663,,,,,0,2,7,7,,,,,12,3,True,,,,,True
3.4557666778564453,0.09866155705814923,50176,bwn,0.08949161820742663,,,,,0,2,7,7,,,,,12,3,True,,,,,True
3.3989124298095703,0.08995865029126406,50176,bwn,0.08949161820742663,,,,,0,2,7,7,,,,,12,3,True,,,,,True
6.610587120056152,0.3034914563838876,51004,ban,0.04757417816143067,4,,3,,1,3,3,1,1,,3,,29,4,True,3,,1,,True
4.120628833770752,0.24706147108776397,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
3.9078805446624756,0.21427777638939996,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
4.187667369842529,0.2815012274685415,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
4.059046268463135,0.2191047849321276,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
3.72845721244812,0.16196389971707154,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
5.850240707397461,0.2904693328705157,50076,bnn,0.38493742335646414,4,,1,,1,1,6,,,,7,,16,3,False,2,,1,,True
5.735569477081299,0.45405015662678466,57230,bnn,0.4971335184042618,1,,2,,1,1,6,,,,7,,13,1,True,1,,2,,False
3.4837646484375,0.20054261496839676,57230,bnn,0.4971335184042618,1,,2,,1,1,6,,,,7,,13,1,True,1,,2,,False
3.6494710445404053,0.28110089993497034,81573,bwn,0.13120966300531728,1,,1,,1,1,6,,,,5,,12,1,True,1,,1,,True
