Signal Type: Mean Signal AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),binary_type,dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
3.1484196186065674,0.3865465159652065,58016,bnn,0.04248877760291653,2,,2,,1,1,5,,,,8,,19,1,False,1,,1,,True
3.145591974258423,0.34319746471034246,58016,bnn,0.04248877760291653,2,,2,,1,1,5,,,,8,,19,1,False,1,,1,,True
3.650846004486084,0.5773341305543838,58016,bnn,0.04248877760291653,2,,2,,1,1,5,,,,8,,19,1,False,1,,1,,True
3.246549129486084,0.41169378361070696,58016,bnn,0.04248877760291653,2,,2,,1,1,5,,,,8,,19,1,False,1,,1,,True
3.742802143096924,0.6792883293499047,58016,bnn,0.04248877760291653,2,,2,,1,1,5,,,,8,,19,1,False,1,,1,,True
3.3664016723632812,0.5301173857843815,58016,bnn,0.04248877760291653,2,,2,,1,1,5,,,,8,,19,1,False,1,,1,,True
3.179802894592285,0.4065897855400258,66114,bwn,0.04188129106581551,1,,1,,1,1,7,,,,2,,9,1,False,1,,1,,True
2.9683921337127686,0.3790956105982476,66114,bwn,0.04188129106581551,1,,1,,1,1,7,,,,2,,9,1,False,1,,1,,True
2.9968016147613525,0.3890838271577889,66114,bwn,0.04188129106581551,1,,1,,1,1,7,,,,2,,9,1,False,1,,1,,True
3.3423447608947754,0.4341910708277733,66114,bwn,0.04188129106581551,1,,1,,1,1,7,,,,2,,9,1,False,1,,1,,True
3.09625244140625,0.3920111185642485,66114,bwn,0.04188129106581551,1,,1,,1,1,7,,,,2,,9,1,False,1,,1,,True
5.5677642822265625,0.5444230902150752,53392,bwn,0.1290075877775218,4,,3,,1,4,8,2,2,1,8,,7,4,False,3,,3,,True
4.483756065368652,0.4312467166691828,51306,bwn,0.3722970397149932,3,,2,,1,1,7,,,,7,,7,2,False,2,,2,,True
5.238278388977051,0.443080267750521,51306,bwn,0.3722970397149932,3,,2,,1,1,7,,,,7,,7,2,False,2,,2,,True
4.181621074676514,0.40916372465825857,51306,bwn,0.3722970397149932,3,,2,,1,1,7,,,,7,,7,2,False,2,,2,,True
4.590572357177734,0.43250258816368115,51306,bwn,0.3722970397149932,3,,2,,1,1,7,,,,7,,7,2,False,2,,2,,True
3.9951140880584717,0.3851399321092311,51306,bwn,0.3722970397149932,3,,2,,1,1,7,,,,7,,7,2,False,2,,2,,True
6.6882452964782715,0.38303542998525686,50040,ban,0.4179036539256223,2,,4,,1,1,3,,,,3,,22,20,True,1,,3,,False
5.267139911651611,0.2526411755010652,50040,ban,0.4179036539256223,2,,4,,1,1,3,,,,3,,22,20,True,1,,3,,False
5.930820465087891,0.34837327236119614,50040,ban,0.4179036539256223,2,,4,,1,1,3,,,,3,,22,20,True,1,,3,,False
5.329164981842041,0.26218411223144067,50040,ban,0.4179036539256223,2,,4,,1,1,3,,,,3,,22,20,True,1,,3,,False
5.77170991897583,0.28755623543445497,50040,ban,0.4179036539256223,2,,4,,1,1,3,,,,3,,22,20,True,1,,3,,False
5.925571918487549,0.32218573173739395,50040,ban,0.4179036539256223,2,,4,,1,1,3,,,,3,,22,20,True,1,,3,,False
3.5980312824249268,0.49396384485970624,57600,bwn,0.34350462664725,,,,,0,3,7,7,6,,,,4,2,True,,,,,True
3.5763375759124756,0.47831795838595903,57600,bwn,0.34350462664725,,,,,0,3,7,7,6,,,,4,2,True,,,,,True
3.3343474864959717,0.22666575518831564,53440,bwn,0.00469813483842757,,,,,0,4,7,7,5,4,,,18,12,True,,,,,False
3.319322109222412,0.22584901520764594,53440,bwn,0.00469813483842757,,,,,0,4,7,7,5,4,,,18,12,True,,,,,False
3.344412326812744,0.23764791585204006,53440,bwn,0.00469813483842757,,,,,0,4,7,7,5,4,,,18,12,True,,,,,False
6.251025676727295,0.5112046461280777,52488,bwn,0.009356204507216637,1,,4,,1,3,7,7,7,,2,,21,17,False,1,,3,,True
3.511387348175049,0.27941536339343886,50176,bwn,0.14637308498342677,,,,,0,2,7,7,,,,,17,7,False,,,,,True
3.397061824798584,0.27442940075219824,50176,bwn,0.021549264172508464,,,,,0,2,7,7,,,,,12,2,True,,,,,False
3.36072039604187,0.26884830695697187,50176,bwn,0.021549264172508464,,,,,0,2,7,7,,,,,12,2,True,,,,,False
3.5298445224761963,0.2916395893590803,50176,bwn,0.021549264172508464,,,,,0,2,7,7,,,,,12,2,True,,,,,False
9.878504753112793,0.7200625411100549,65584,ban,0.24265291963375113,,,,,0,2,3,2,,,,,13,13,True,,,,,True
6.133613109588623,0.39017499855967364,51252,bwn,0.38462688744740037,1,,4,,1,2,6,1,,,7,,30,6,True,1,,2,,True
5.283618450164795,0.29320850352531713,50880,bwn,0.30976601694747574,,,,,0,3,7,7,4,,,,21,15,False,,,,,False
4.718963146209717,0.2917588716710322,50880,bwn,0.30976601694747574,,,,,0,3,7,7,4,,,,21,15,False,,,,,False
3.0421998500823975,0.29474458121382796,59536,bwn,0.11507677712143799,2,,2,,1,2,6,5,,,4,,8,3,True,1,,1,,True
3.116446018218994,0.3372973664156059,59536,bwn,0.11507677712143799,2,,2,,1,2,6,5,,,4,,8,3,True,1,,1,,True
3.097294330596924,0.33093805815067817,59536,bwn,0.11507677712143799,2,,2,,1,2,6,5,,,4,,8,3,True,1,,1,,True
8.324353218078613,0.5775785991572775,56310,bwn,0.417175439860131,1,2,2,3,2,1,6,,,,3,8,12,2,False,1,2,1,1,True
5.036174297332764,0.5241752087512872,56310,bwn,0.417175439860131,1,2,2,3,2,1,6,,,,3,8,12,2,False,1,2,1,1,True
3.271824836730957,0.4141922822965345,88863,bnn,0.21413159127085762,3,,3,,1,1,6,,,,7,,14,1,True,1,,1,,True
3.940700054168701,0.43711765395937724,51768,bwn,0.08054885360087183,4,,2,,1,1,7,,,,7,,6,3,False,2,,2,,True
3.5311124324798584,0.40553548870991263,51768,bwn,0.08054885360087183,4,,2,,1,1,7,,,,7,,6,3,False,2,,2,,True
3.5930161476135254,0.4291031092043223,51768,bwn,0.08054885360087183,4,,2,,1,1,7,,,,7,,6,3,False,2,,2,,True
4.040700435638428,0.4372285308777147,51768,bwn,0.08054885360087183,4,,2,,1,1,7,,,,7,,6,3,False,2,,2,,True
3.4773504734039307,0.38927604375797026,51768,bwn,0.08054885360087183,4,,2,,1,1,7,,,,7,,6,3,False,2,,2,,True
24.935718536376953,0.6247178473509882,50176,bnn,0.15545914817818812,,,,,0,2,7,7,,,,,28,15,True,,,,,False
10.019488334655762,0.5591547014223501,50176,bnn,0.15545914817818812,,,,,0,2,7,7,,,,,28,15,True,,,,,False
57.69150924682617,0.696754416438403,50176,bnn,0.15545914817818812,,,,,0,2,7,7,,,,,28,15,True,,,,,False
15.447994232177734,0.6630353485179059,53120,bnn,0.18099997599072376,,,,,0,3,7,7,5,,,,25,7,True,,,,,False
3.3145081996917725,0.43943242192981363,73088,bwn,0.09797266721401648,,,,,0,2,8,5,,,,,9,1,True,,,,,False

Signal Type: SUEP AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),binary_type,dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
3.1484196186065674,0.1663935038359584,58016,bnn,0.04248877760291653,2,,2,,1,1,5,,,,8,,19,1,False,1,,1,,True
3.145591974258423,0.10822052973733234,58016,bnn,0.04248877760291653,2,,2,,1,1,5,,,,8,,19,1,False,1,,1,,True
