Signal Type: Mean Signal AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,q_bias_conv_bits,q_bias_conv_ints,q_bias_dense_bits,q_bias_dense_ints,q_kernel_conv_bits,q_kernel_conv_ints,q_kernel_dense_bits,q_kernel_dense_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
3.3167922496795654,0.11125140181988308,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
3.3773746490478516,0.14002892931623584,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
4.201663494110107,0.24544900870614897,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
3.4441142082214355,0.16382596418693665,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
4.549588203430176,0.253399320825125,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
3.8950607776641846,0.24305988966794756,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
4.631657600402832,0.3594149324387284,77056,0.007930348143124155,,,,,0,2,3,3,,,,,28,21,,,20,15,,,17,1,False,,,,,
4.6266255378723145,0.35433139345448367,77056,0.007930348143124155,,,,,0,2,3,3,,,,,28,21,,,20,15,,,17,1,False,,,,,
4.522525787353516,0.252750881460047,77056,0.007930348143124155,,,,,0,2,3,3,,,,,28,21,,,20,15,,,17,1,False,,,,,
4.59954309463501,0.3203702595015226,77056,0.007930348143124155,,,,,0,2,3,3,,,,,28,21,,,20,15,,,17,1,False,,,,,
4.938552379608154,0.43121404651893985,64512,0.01350809865292607,,,,,0,2,4,4,,,,,10,2,,,5,5,,,10,1,False,,,,,
12.273171424865723,0.10533163258735087,50008,0.18397007612798266,4,1,2,4,2,4,3,3,2,1,2,6,25,25,,,24,17,25,13,15,6,False,2,1,1,4,False
15.344639778137207,0.10889978472750024,50008,0.18397007612798266,4,1,2,4,2,4,3,3,2,1,2,6,25,25,,,24,17,25,13,15,6,False,2,1,1,4,False
11.32709789276123,0.06645235796920466,50008,0.18397007612798266,4,1,2,4,2,4,3,3,2,1,2,6,25,25,,,24,17,25,13,15,6,False,2,1,1,4,False
11.767000198364258,0.07517312174052557,50008,0.18397007612798266,4,1,2,4,2,4,3,3,2,1,2,6,25,25,,,24,17,25,13,15,6,False,2,1,1,4,False
12.887648582458496,0.26660670172522805,50168,0.15003404014469313,4,,1,,1,4,2,1,1,1,3,,10,7,1,1,14,4,23,16,24,14,False,2,,1,,True
11.598085403442383,0.5854994128910685,57504,0.3231396123076062,,,,,0,1,2,,,,,,6,3,,,30,7,,,27,10,False,,,,,
11.878826141357422,0.6175591250935866,57504,0.3231396123076062,,,,,0,1,2,,,,,,6,3,,,30,7,,,27,10,False,,,,,
12.001777648925781,0.6225940867011944,57504,0.3231396123076062,,,,,0,1,2,,,,,,6,3,,,30,7,,,27,10,False,,,,,
4.23444938659668,0.4243936695965248,96192,0.07736094846235897,4,,4,,1,1,5,,,,3,,7,1,,,12,12,28,13,29,20,True,2,,4,,False
5.1359076499938965,0.4650297084658928,50448,0.033103317131582044,,,,,0,1,2,,,,,,22,7,,,31,24,,,19,6,True,,,,,
4.946931838989258,0.43933176641375643,50448,0.033103317131582044,,,,,0,1,2,,,,,,22,7,,,31,24,,,19,6,True,,,,,
7.4745073318481445,0.5761135859190709,89784,0.04632097980316435,,,,,0,4,3,1,1,1,,,5,5,,,22,1,,,22,16,True,,,,,
4.769012928009033,0.2794936247397179,50496,0.019099125889800783,,,,,0,1,3,,,,,,28,22,,,1,1,,,24,14,True,,,,,
4.7448601722717285,0.27074431778302155,50496,0.019099125889800783,,,,,0,1,3,,,,,,28,22,,,1,1,,,24,14,True,,,,,
14.720100402832031,0.27184303293824974,50200,0.172691997797828,,,,,0,4,2,1,1,1,,,13,9,,,19,16,,,30,11,False,,,,,
17.508676528930664,0.2908685481253195,50200,0.172691997797828,,,,,0,4,2,1,1,1,,,13,9,,,19,16,,,30,11,False,,,,,
4.73290491104126,0.3483030398211149,60448,0.03522106767749955,4,,1,,1,2,3,2,,,3,,4,4,1,1,10,1,3,2,13,2,True,2,,1,,True
4.610776424407959,0.31995839926888364,60448,0.03522106767749955,4,,1,,1,2,3,2,,,3,,4,4,1,1,10,1,3,2,13,2,True,2,,1,,True
6.164080619812012,0.5475372718959526,54480,0.1644614894865417,,,,,0,1,2,,,,,,23,3,,,28,20,,,26,18,False,,,,,
6.8870038986206055,0.48032412440889205,53712,0.019830282109757458,,,,,0,3,3,2,2,,,,7,3,,,12,12,,,14,1,True,,,,,
3.8523759841918945,0.22065474908209834,50052,0.031395356971571586,3,1,4,2,2,3,3,3,1,,7,4,16,4,6,3,15,6,27,22,18,11,True,2,1,2,1,True
6.020172595977783,0.2532052075390069,50052,0.031395356971571586,3,1,4,2,2,3,3,3,1,,7,4,16,4,6,3,15,6,27,22,18,11,True,2,1,2,1,True
3.696948766708374,0.15834108274118178,50052,0.031395356971571586,3,1,4,2,2,3,3,3,1,,7,4,16,4,6,3,15,6,27,22,18,11,True,2,1,2,1,True
15.526651382446289,0.0,50002,0.15094715330751496,1,3,2,2,2,4,1,1,1,1,5,4,29,21,,,17,11,13,9,15,15,True,1,1,1,1,False
16.702964782714844,0.024330317673418197,50002,0.15094715330751496,1,3,2,2,2,4,1,1,1,1,5,4,29,21,,,17,11,13,9,15,15,True,1,1,1,1,False
7.6293864250183105,0.5736167125856836,57792,0.4982528918300209,4,,2,,1,1,4,,,,3,,6,4,,,15,14,24,8,7,1,False,2,,2,,False
4.715739727020264,0.23195143685669084,52512,0.017357146706418802,,,,,0,1,3,,,,,,7,4,,,7,6,,,19,3,True,,,,,
4.871287822723389,0.28852515936159007,52512,0.017357146706418802,,,,,0,1,3,,,,,,7,4,,,7,6,,,19,3,True,,,,,
4.445003032684326,0.24639005284048818,69192,0.01944116147878383,,,,,0,3,3,3,1,,,,14,9,,,12,7,,,21,7,False,,,,,
12.460312843322754,0.6259185014367421,64704,0.20690037539607298,,,,,0,1,4,,,,,,31,9,,,2,2,,,14,8,False,,,,,
15.249128341674805,0.6269399949436634,64704,0.20690037539607298,,,,,0,1,4,,,,,,31,9,,,2,2,,,14,8,False,,,,,

Signal Type: H to Long Lived AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,q_bias_conv_bits,q_bias_conv_ints,q_bias_dense_bits,q_bias_dense_ints,q_kernel_conv_bits,q_kernel_conv_ints,q_kernel_dense_bits,q_kernel_dense_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
27.431772232055664,0.6952570539999268,64704,0.0,,,,,0,1,4,,,,,,10,6,,,8,3,,,8,1,False,,,,,
3.72735333442688,0.19491358553705102,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
3.8363876342773438,0.21431446649751357,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
3.764493227005005,0.21132264778300078,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
3.3167922496795654,0.1167908393967722,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
3.3773746490478516,0.15611700910391887,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
4.201663494110107,0.2668082515385542,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
3.4441142082214355,0.17557932360978076,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
3.8950607776641846,0.25469954062095534,64896,0.0,2,,2,,1,1,4,,,,4,,10,6,,,8,3,12,3,8,1,False,2,,2,,False
4.631657600402832,0.37610120165580707,77056,0.007930348143124155,,,,,0,2,3,3,,,,,28,21,,,20,15,,,17,1,False,,,,,
4.6266255378723145,0.37035282510584605,77056,0.007930348143124155,,,,,0,2,3,3,,,,,28,21,,,20,15,,,17,1,False,,,,,
4.59954309463501,0.3441165836084553,77056,0.007930348143124155,,,,,0,2,3,3,,,,,28,21,,,20,15,,,17,1,False,,,,,
4.938552379608154,0.4541815860959126,64512,0.01350809865292607,,,,,0,2,4,4,,,,,10,2,,,5,5,,,10,1,False,,,,,
12.273171424865723,0.1407301163191062,50008,0.18397007612798266,4,1,2,4,2,4,3,3,2,1,2,6,25,25,,,24,17,25,13,15,6,False,2,1,1,4,False
15.344639778137207,0.1435532987365547,50008,0.18397007612798266,4,1,2,4,2,4,3,3,2,1,2,6,25,25,,,24,17,25,13,15,6,False,2,1,1,4,False
11.32709789276123,0.09099519840355494,50008,0.18397007612798266,4,1,2,4,2,4,3,3,2,1,2,6,25,25,,,24,17,25,13,15,6,False,2,1,1,4,False
11.767000198364258,0.11862074698804852,50008,0.18397007612798266,4,1,2,4,2,4,3,3,2,1,2,6,25,25,,,24,17,25,13,15,6,False,2,1,1,4,False
12.887648582458496,0.28734601112152647,50168,0.15003404014469313,4,,1,,1,4,2,1,1,1,3,,10,7,1,1,14,4,23,16,24,14,False,2,,1,,True
5.817086219787598,0.4539732739352968,61488,0.13367140028716962,,,,,0,2,3,2,,,,,22,9,,,11,9,,,19,2,False,,,,,
11.598085403442383,0.5665677137625719,57504,0.3231396123076062,,,,,0,1,2,,,,,,6,3,,,30,7,,,27,10,False,,,,,
11.878826141357422,0.5981968148605586,57504,0.3231396123076062,,,,,0,1,2,,,,,,6,3,,,30,7,,,27,10,False,,,,,
12.001777648925781,0.6040935596585819,57504,0.3231396123076062,,,,,0,1,2,,,,,,6,3,,,30,7,,,27,10,False,,,,,
4.23444938659668,0.46789994724519474,96192,0.07736094846235897,4,,4,,1,1,5,,,,3,,7,1,,,12,12,28,13,29,20,True,2,,4,,False
5.1359076499938965,0.4465572023472757,50448,0.033103317131582044,,,,,0,1,2,,,,,,22,7,,,31,24,,,19,6,True,,,,,
4.946931838989258,0.4225165391041883,50448,0.033103317131582044,,,,,0,1,2,,,,,,22,7,,,31,24,,,19,6,True,,,,,
7.4745073318481445,0.5549157792763083,89784,0.04632097980316435,,,,,0,4,3,1,1,1,,,5,5,,,22,1,,,22,16,True,,,,,
4.7448601722717285,0.2855989945182194,50496,0.019099125889800783,,,,,0,1,3,,,,,,28,22,,,1,1,,,24,14,True,,,,,
4.7116498947143555,0.3062203105056447,70656,0.06683298264860804,,,,,0,1,3,,,,,,28,15,,,26,7,,,9,1,True,,,,,
4.73290491104126,0.3360559568371601,60448,0.03522106767749955,4,,1,,1,2,3,2,,,3,,4,4,1,1,10,1,3,2,13,2,True,2,,1,,True
