Signal Type: Mean Signal AUC (0.3-3 kHz)
Validation Loss,Adjusted ROC AUC,Model Size (b),binary_type,dropout,kernel_height_0,kernel_height_1,kernel_width_0,kernel_width_1,n_conv_layers,n_dense_layers,n_dense_units_0,n_dense_units_1,n_dense_units_2,n_dense_units_3,n_filters_0,n_filters_1,q_activation_bits,q_activation_ints,shortcut,stride_height_0,stride_height_1,stride_width_0,stride_width_1,use_bias_conv
3.1484196186065674,0.3865465159652065,58016,bnn,0.04248877760291653,2,,2,,1,1,5,,,,8,,19,1,False,1,,1,,True
3.145591974258423,0.34319746471034246,58016,bnn,0.04248877760291653,2,,2,,1,1,5,,,,8,,19,1,False,1,,1,,True
3.650846004486084,0.5773341305543838,58016,bnn,0.04248877760291653,2,,2,,1,1,5,,,,8,,19,1,False,1,,1,,True
3.246549129486084,0.41169378361070696,58016,bnn,0.04248877760291653,2,,2,,1,1,5,,,,8,,19,1,False,1,,1,,True
3.742802143096924,0.6792883293499047,58016,bnn,0.04248877760291653,2,,2,,1,1,5,,,,8,,19,1,False,1,,1,,True
3.3664016723632812,0.5301173857843815,58016,bnn,0.04248877760291653,2,,2,,1,1,5,,,,8,,19,1,False,1,,1,,True
2.9683921337127686,0.3790956105982476,66114,bwn,0.04188129106581551,1,,1,,1,1,7,,,,2,,9,1,False,1,,1,,True
2.9968016147613525,0.3890838271577889,66114,bwn,0.04188129106581551,1,,1,,1,1,7,,,,2,,9,1,False,1,,1,,True
3.3423447608947754,0.4341910708277733,66114,bwn,0.04188129106581551,1,,1,,1,1,7,,,,2,,9,1,False,1,,1,,True
3.09625244140625,0.3920111185642485,66114,bwn,0.04188129106581551,1,,1,,1,1,7,,,,2,,9,1,False,1,,1,,True
6.6882452964782715,0.38303542998525686,50040,ban,0.4179036539256223,2,,4,,1,1,3,,,,3,,22,20,True,1,,3,,False
5.267139911651611,0.2526411755010652,50040,ban,0.4179036539256223,2,,4,,1,1,3,,,,3,,22,20,True,1,,3,,False
5.930820465087891,0.34837327236119614,50040,ban,0.4179036539256223,2,,4,,1,1,3,,,,3,,22,20,True,1,,3,,False
5.329164981842041,0.26218411223144067,50040,ban,0.4179036539256223,2,,4,,1,1,3,,,,3,,22,20,True,1,,3,,False
5.77170991897583,0.28755623543445497,50040,ban,0.4179036539256223,2,,4,,1,1,3,,,,3,,22,20,True,1,,3,,False
5.925571918487549,0.32218573173739395,50040,ban,0.4179036539256223,2,,4,,1,1,3,,,,3,,22,20,True,1,,3,,False
3.5980312824249268,0.49396384485970624,57600,bwn,0.34350462664725,,,,,0,3,7,7,6,,,,4,2,True,,,,,True
3.5763375759124756,0.47831795838595903,57600,bwn,0.34350462664725,,,,,0,3,7,7,6,,,,4,2,True,,,,,True
3.511387348175049,0.27941536339343886,50176,bwn,0.14637308498342677,,,,,0,2,7,7,,,,,17,7,False,,,,,True
3.397061824798584,0.27442940075219824,50176,bwn,0.021549264172508464,,,,,0,2,7,7,,,,,12,2,True,,,,,False
3.36072039604187,0.26884830695697187,50176,bwn,0.021549264172508464,,,,,0,2,7,7,,,,,12,2,True,,,,,False
3.5298445224761963,0.2916395893590803,50176,bwn,0.021549264172508464,,,,,0,2,7,7,,,,,12,2,True,,,,,False
9.878504753112793,0.7200625411100549,65584,ban,0.24265291963375113,,,,,0,2,3,2,,,,,13,13,True,,,,,True
3.0421998500823975,0.29474458121382796,59536,bwn,0.11507677712143799,2,,2,,1,2,6,5,,,4,,8,3,True,1,,1,,True
3.116446018218994,0.3372973664156059,59536,bwn,0.11507677712143799,2,,2,,1,2,6,5,,,4,,8,3,True,1,,1,,True
3.097294330596924,0.33093805815067817,59536,bwn,0.11507677712143799,2,,2,,1,2,6,5,,,4,,8,3,True,1,,1,,True
3.5311124324798584,0.40553548870991263,51768,bwn,0.08054885360087183,4,,2,,1,1,7,,,,7,,6,3,False,2,,2,,True
3.4773504734039307,0.38927604375797026,51768,bwn,0.08054885360087183,4,,2,,1,1,7,,,,7,,6,3,False,2,,2,,True
57.69150924682617,0.696754416438403,50176,bnn,0.15545914817818812,,,,,0,2,7,7,,,,,28,15,True,,,,,False
15.447994232177734,0.6630353485179059,53120,bnn,0.18099997599072376,,,,,0,3,7,7,5,,,,25,7,True,,,,,False
3.3145081996917725,0.43943242192981363,73088,bwn,0.09797266721401648,,,,,0,2,8,5,,,,,9,1,True,,,,,False
3.144010066986084,0.3255906066385514,56728,bwn,0.463626733066809,2,,2,,1,3,2,1,1,,1,,3,2,False,2,,2,,False
3.2124834060668945,0.3561060201621695,56728,bwn,0.463626733066809,2,,2,,1,3,2,1,1,,1,,3,2,False,2,,2,,False
4.187667369842529,0.5098861445457044,50076,bnn,0.4799452802265767,2,,1,,1,4,9,8,1,1,7,,24,17,False,1,,1,,False
5.735569477081299,0.5872397138550449,57230,bwn,0.03149947316983909,,,,,0,0,,,,,,,15,9,False,,,,,False
3.4837646484375,0.42279856897098583,57230,bwn,0.03149947316983909,,,,,0,0,,,,,,,15,9,False,,,,,False
3.141505002975464,0.43839982785110604,81573,bwn,0.4835478502349338,2,,1,,1,1,2,,,,8,,28,18,False,2,,1,,False
2.8292713165283203,0.34209501625943756,82696,bwn,0.0524786371475624,4,2,2,4,2,4,1,1,1,1,2,8,27,27,True,2,1,1,4,False
3.0771124362945557,0.3708374915855939,64852,ban,0.4053123198377858,2,2,2,4,2,1,4,,,,1,4,26,26,False,1,1,2,4,False
3.07419490814209,0.32094592959487667,64852,ban,0.4053123198377858,2,2,2,4,2,1,4,,,,1,4,26,26,False,1,1,2,4,False
3.144632577896118,0.4216368709029873,64852,ban,0.4053123198377858,2,2,2,4,2,1,4,,,,1,4,26,26,False,1,1,2,4,False
3.3403689861297607,0.2485426686676246,52072,ban,0.06096676322666089,2,,2,,1,3,5,1,1,,1,,7,5,False,1,,1,,False
3.3664021492004395,0.29357658235540907,52664,ban,0.12672382576438213,1,,3,,1,0,,,,,7,,19,7,False,1,,2,,False
3.469683885574341,0.29476195223090873,52664,ban,0.12672382576438213,1,,3,,1,0,,,,,7,,19,7,False,1,,2,,False
3.559548854827881,0.43951761072325085,51486,bnn,0.042374156283170206,3,1,2,3,2,2,2,1,,,6,8,27,17,True,1,1,2,3,True
7.196218013763428,0.6258731465406133,51486,bnn,0.042374156283170206,3,1,2,3,2,2,2,1,,,6,8,27,17,True,1,1,2,3,True
3.6871302127838135,0.5442854186789736,51486,bnn,0.042374156283170206,3,1,2,3,2,2,2,1,,,6,8,27,17,True,1,1,2,3,True
19.517051696777344,0.6755272521675117,53120,bnn,0.028007795443580674,2,2,2,1,2,2,6,2,,,2,2,28,22,True,1,1,1,1,False
3.1698172092437744,0.2566105971929079,52288,bwn,0.041052086692943246,,,,,0,1,1,,,,,,24,22,True,,,,,False
7.909700393676758,0.6494748470239686,50176,bwn,0.3510220793338682,4,3,1,1,2,4,1,1,1,1,5,1,19,4,False,2,3,1,1,False
3.5529274940490723,0.3566886026698858,50176,bnn,0.07157798893670819,,,,,0,1,11,,,,,,29,13,False,,,,,True
3.568652868270874,0.42481987679023836,50176,bnn,0.07157798893670819,,,,,0,1,11,,,,,,29,13,False,,,,,True
4.190171241760254,0.5171290326491327,51438,bnn,0.07171775342792253,,,,,0,2,3,2,,,,,25,20,False,,,,,False
3.846099853515625,0.44737067707433076,51438,bnn,0.07171775342792253,,,,,0,2,3,2,,,,,25,20,False,,,,,False
27.431772232055664,0.7317149040479356,64704,bnn,0.0,,,,,0,1,8,,,,,,10,6,False,,,,,True
11.878826141357422,0.6773276393624628,57504,bnn,0.35776106152610365,,,,,0,2,4,3,,,,,17,14,True,,,,,False
12.001777648925781,0.6826929203651465,57504,bnn,0.35776106152610365,,,,,0,2,4,3,,,,,17,14,True,,,,,False
5.1359076499938965,0.5555799987815998,50448,ban,0.2664624336698025,2,1,4,4,2,4,11,3,2,1,4,7,10,3,False,1,1,2,4,False
