trial_id,parameters,auc,primary_metric
852,501,0.9462170878804075,0.834814855128333
848,325,0.9459519949548214,0.8326572756325947
844,463,0.9453927641922844,0.8322926398601926
855,415,0.9457238933763477,0.830477322134238
846,211,0.9432016116686245,0.8296482746318117
853,267,0.9435744956321258,0.829645553469331
841,265,0.9443396288079657,0.8290529447513311
830,193,0.942909866211555,0.8266906733667734
840,163,0.9431137918146119,0.8253349297486553
829,199,0.9423803923155735,0.8140381748860891
838,65,0.9397098539577329,0.8138256218612147
820,171,0.942817347849116,0.8090052337025043
821,145,0.9402394193614917,0.8038066039589891
836,91,0.9236097431721106,0.792310297181178
859,67,0.9303591925138055,0.7776051351359522
822,45,0.8952553763354645,0.6389888160222046
832,43,0.863438204643016,0.5872428879395055
827,31,0.8585702297140108,0.5439207718426201
843,31,0.7560465446929263,0.5223171605576569
828,19,0.5097136414182923,0.021299445789908132
834,25,0.5,0.0
