trial_id,model_name,auc,bkg_rej_95,bkg_rej_98,bkg_rej_99,weighted_bkg_rej,roc_csv,roc_plot
134,model_trial_134,0.9698922212066663,0.9175548238651996,0.8951143039417551,0.869807492872066,0.8922969937201617,roc_analysis/model_trial_134_roc_data.csv,roc_analysis/model_trial_134_roc.png
101,model_trial_101,0.9694431988185926,0.9166054405108529,0.8939895567831022,0.8669412017258217,0.890841474144421,roc_analysis/model_trial_101_roc_data.csv,roc_analysis/model_trial_101_roc.png
098,model_trial_098,0.9699873676477901,0.9172010727427201,0.8932820545381431,0.8690788260300356,0.8908333106569793,roc_analysis/model_trial_098_roc_data.csv,roc_analysis/model_trial_098_roc.png
128,model_trial_128,0.9676440756920598,0.9134942447413535,0.892477799849429,0.8650333644755261,0.8890905572638408,roc_analysis/model_trial_128_roc_data.csv,roc_analysis/model_trial_128_roc.png
119,model_trial_119,0.9682609558150158,0.9131102584802006,0.8916342394804394,0.8666086152004137,0.8887767165244104,roc_analysis/model_trial_119_roc_data.csv,roc_analysis/model_trial_119_roc.png
118,model_trial_118,0.968136062686548,0.9133400455341188,0.8911928064558068,0.8653871155980057,0.8882463921920778,roc_analysis/model_trial_118_roc_data.csv,roc_analysis/model_trial_118_roc.png
088,model_trial_088,0.9674854279178717,0.9126355668030272,0.891631215966572,0.8640809576073121,0.8882215993783655,roc_analysis/model_trial_088_roc_data.csv,roc_analysis/model_trial_088_roc.png
027,model_trial_027,0.9678593248614995,0.9133914452698637,0.891011395623766,0.8641021222043834,0.8878675459044991,roc_analysis/model_trial_027_roc_data.csv,roc_analysis/model_trial_027_roc.png
000,model_trial_000,0.9674674365655256,0.9127111546497108,0.890137600116103,0.8645707668538222,0.8872815889170075,roc_analysis/model_trial_000_roc_data.csv,roc_analysis/model_trial_000_roc.png
075,model_trial_075,0.9669975700998548,0.9124178738045782,0.8897657079104193,0.8621126500796696,0.8865003129336853,roc_analysis/model_trial_075_roc_data.csv,roc_analysis/model_trial_075_roc.png
111,model_trial_111,0.9680162556901606,0.9134307509501393,0.889841295757103,0.8605555404379862,0.8863430902125833,roc_analysis/model_trial_111_roc_data.csv,roc_analysis/model_trial_111_roc.png
011,model_trial_011,0.9667754787220346,0.9120429580850272,0.8889463356523685,0.8642472508700161,0.8863161809391639,roc_analysis/model_trial_011_roc_data.csv,roc_analysis/model_trial_011_roc.png
143,model_trial_143,0.9672936603023164,0.9123574035272313,0.8885079261416032,0.8618435573454758,0.8855600001209406,roc_analysis/model_trial_143_roc_data.csv,roc_analysis/model_trial_143_roc.png
009,model_trial_009,0.9667285731288698,0.9118645707668538,0.8889281945691644,0.8593763700297211,0.8853114672810447,roc_analysis/model_trial_009_roc_data.csv,roc_analysis/model_trial_009_roc.png
146,model_trial_146,0.9671718817886905,0.9115047726166396,0.8870203573188689,0.8611541961837208,0.8842955666216163,roc_analysis/model_trial_146_roc_data.csv,roc_analysis/model_trial_146_roc.png
067,model_trial_067,0.9665638915046155,0.9100746505573848,0.887343873302675,0.8598631557623639,0.8841208075200837,roc_analysis/model_trial_067_roc_data.csv,roc_analysis/model_trial_067_roc.png
155,model_trial_155,0.965952664482582,0.9103346727499766,0.8875585427872565,0.8579341539149969,0.8839112780090767,roc_analysis/model_trial_155_roc_data.csv,roc_analysis/model_trial_155_roc.png
054,model_trial_054,0.9664268613641303,0.9098478870173338,0.8867180059321342,0.8596968624996598,0.8836267653541593,roc_analysis/model_trial_054_roc_data.csv,roc_analysis/model_trial_054_roc.png
145,model_trial_145,0.9648506388924667,0.9109121638986397,0.8864579837395424,0.8585600212855377,0.8833238092646511,roc_analysis/model_trial_145_roc_data.csv,roc_analysis/model_trial_145_roc.png
086,model_trial_086,0.9637536030815865,0.9100988386683235,0.8860135272010425,0.856878947575293,0.8825951424226207,roc_analysis/model_trial_086_roc_data.csv,roc_analysis/model_trial_086_roc.png
043,model_trial_043,0.9662415924096999,0.9094639007561808,0.8854753417326549,0.8575410971122419,0.8822873487109248,roc_analysis/model_trial_043_roc_data.csv,roc_analysis/model_trial_043_roc.png
130,model_trial_130,0.9655268508711128,0.9088954801491197,0.8852213665677977,0.8578253074157725,0.8821095660955249,roc_analysis/model_trial_130_roc_data.csv,roc_analysis/model_trial_130_roc.png
068,model_trial_068,0.9655540828406299,0.9086263874149259,0.8850520497912264,0.8578101898464358,0.8819611115646382,roc_analysis/model_trial_068_roc_data.csv,roc_analysis/model_trial_068_roc.png
006,model_trial_006,0.9647061346234339,0.9060322125167427,0.8842145364499714,0.858275810982007,0.8812085589630556,roc_analysis/model_trial_006_roc_data.csv,roc_analysis/model_trial_006_roc.png
140,model_trial_140,0.9623830080793777,0.9085205644295687,0.8839424202019103,0.8544933951339568,0.8805104296110854,roc_analysis/model_trial_140_roc_data.csv,roc_analysis/model_trial_140_roc.png
120,model_trial_120,0.9653901701193885,0.9068787963995997,0.8829234960286145,0.8546566648827935,0.8796656598365488,roc_analysis/model_trial_120_roc_data.csv,roc_analysis/model_trial_120_roc.png
091,model_trial_091,0.9644140219834085,0.9073837232154465,0.8826271916696146,0.8547352762433444,0.8795244617389438,roc_analysis/model_trial_091_roc_data.csv,roc_analysis/model_trial_091_roc.png
078,model_trial_078,0.9637554230579233,0.9064282928333651,0.8828237200709921,0.8528304625069163,0.8791855258344143,roc_analysis/model_trial_078_roc_data.csv,roc_analysis/model_trial_078_roc.png
