trial_id,parameters,auc,primary_metric
074,8191,0.976550031172517,0.9090424229230727
102,7051,0.975445708261823,0.9042051030867053
013,5143,0.973721446765831,0.9027955409217484
006,3261,0.9718354271179572,0.88787117412114
106,3061,0.9700296628853258,0.8840996429230124
064,2965,0.96943407061155,0.8833866983530919
009,2771,0.9657755136346834,0.8734532458933122
010,1589,0.9629025366111776,0.8730740972543471
020,1527,0.961968760333356,0.8708720721047587
056,1339,0.9605580389284947,0.8668015153851503
022,1311,0.9603732269964488,0.8660674062181586
096,1171,0.9593805857171515,0.864937821437318
066,489,0.9559858383492817,0.8572336057519327
015,405,0.9103427763670152,0.797792834876837
017,391,0.890676500263889,0.7449786993448044
