trial_id,parameters,auc,primary_metric
087,72503,0.9683188563738825,0.8908931762315526
081,60503,0.9685331679954065,0.8906896937482803
073,41743,0.9685330676750916,0.8898978354664224
092,38221,0.9681596935279206,0.8892837597999643
049,20121,0.9683591751257006,0.8887392249524553
043,14341,0.9676921564973957,0.887838217819986
069,14307,0.9675564864129639,0.8873880166051381
093,13649,0.9656654979841923,0.885042072195464
055,12835,0.9657106725537108,0.883549665750542
058,6657,0.9658544439377765,0.8817131834275158
085,4485,0.9640993374874203,0.8777339368267013
