trial_id,parameters,auc,primary_metric
031,78077,0.9685725025678227,0.8915142059799056
046,61867,0.9686037899133828,0.8910649118192181
091,59447,0.9685400531466226,0.8909563676713803
038,44513,0.9685692805844647,0.8904623255054559
079,41913,0.9684120651081094,0.8901826504727264
004,33669,0.9680695285471436,0.889930187064803
032,25913,0.9680653692809771,0.8891540510550552
009,23289,0.9681250975591463,0.8891108148067521
064,19061,0.9679470404780064,0.8890966042915754
050,13391,0.967361376619819,0.8880023946229829
021,6391,0.9659740120220752,0.8850163723275916
084,4611,0.9659951780361002,0.8836367429499214
024,4397,0.9644937211026688,0.8788145406828908
057,4291,0.9636363802794602,0.8779685615028073
