trial_id,parameters,auc,primary_metric,bkg_rej_@95%,bkg_rej_@98%,bkg_rej_@99%
098,17739,0.9722561382932382,0.9007047810824784,0.923432534823321,0.9036406130476717,0.8790654923338805
027,12407,0.9722950632655073,0.8982732712303585,0.9226161860791374,0.9008952624561213,0.8769248445157993
101,15349,0.9716807803499311,0.8975449067397148,0.9216547086693213,0.9009224740809274,0.8736685200806673
000,9175,0.9712237965978183,0.8961172034915539,0.9207537015368521,0.8991809300933359,0.8730759113626675
119,17739,0.9718338026400795,0.895957561959358,0.9215488856839642,0.8986457681388156,0.8737531784689531
075,10363,0.9698129652922074,0.8954320752492131,0.9201580693049849,0.8985308746118564,0.8722232804520758
088,11035,0.9710332425801641,0.8953480215637009,0.9203908798727706,0.8983222521550095,0.872416785339586
022,5337,0.9706170070219378,0.8953359275082315,0.9199857290145461,0.8989269549284787,0.8704424307842088
006,7729,0.9711336559017976,0.8947034084071827,0.9202215630961992,0.8977598785756831,0.8712466854729229
009,9599,0.9704746843540829,0.893871337390889,0.919417308407485,0.8974938093553566,0.8684197000069541
011,10781,0.9706460631455194,0.8933833422526992,0.9190696043127402,0.8960939224347753,0.8710531805854127
054,9843,0.9700381530107389,0.8924478670621423,0.9189184286193729,0.895646442382408,0.868017572662597
052,7557,0.9704151701776023,0.8923505099156137,0.9182018558328118,0.895576901563459,0.8681324661895562
067,9561,0.9700374108332994,0.8914615968386139,0.918247208540822,0.8946849649725919,0.8667870025185871
111,10367,0.9688613735608309,0.8904009481739488,0.9160793490979346,0.8936599937715615,0.8661550881203117
068,4823,0.9695737092036276,0.890030265373812,0.9167324280932815,0.8931459964141125,0.865774125373026
118,9901,0.9700297275669719,0.890003053749006,0.9159765496264448,0.8929645855820718,0.8666509443945565
086,10565,0.9685751670073655,0.889831015809954,0.915680245267445,0.8934997475365921,0.8640658400379754
058,5463,0.9695931943175968,0.8894228414378622,0.9173462014083528,0.8927347985281534,0.8638693116365979
074,5885,0.9676478983494723,0.8892589669862521,0.9147338854269655,0.8925775758070514,0.8649063768930976
043,8179,0.9693304515421043,0.8890406692850297,0.9160158553067204,0.8920696254773373,0.8649517296011078
035,8797,0.9690532462320685,0.8890361340142287,0.9162940185825162,0.892774104208429,0.8623242960503839
016,6155,0.9688966552757252,0.8879921146758339,0.9145434040533227,0.8911232656368578,0.863757441623506
091,12513,0.9683733345235903,0.8875258888374891,0.9143589697074146,0.8906546209874191,0.8631587858777714
031,4939,0.9681399670976123,0.8870992710308067,0.9153990584777817,0.8905911271962049,0.860727880728425
039,3225,0.9683458172893185,0.8868836944920647,0.9159644555709755,0.8910990775259191,0.8575894733341194
105,6089,0.9683752968306305,0.886572574915115,0.9138026431558228,0.8901255060606336,0.8605222817854454
115,5357,0.9678309104990557,0.8865223845849168,0.9139719599323942,0.8903069168926743,0.8595517338340273
109,4609,0.9665978990811236,0.8858560021285538,0.9126839430249047,0.889744543313348,0.8588321375335988
037,7061,0.9685119563143381,0.8858130682316374,0.9136061147544453,0.8885381612802767,0.8623787192999961
057,5459,0.9667844306829039,0.8857232698697772,0.9120036524047518,0.8889463356523685,0.8613023483632207
060,8071,0.9687975484401578,0.88520171372766,0.9132432930903638,0.8884716439751951,0.8597361681799354
078,5357,0.9671802010660665,0.88506837676611,0.9122999567637518,0.8880816106863074,0.8609062680465984
103,3703,0.9672889092111994,0.8845613334905561,0.912206227833864,0.8879667171593483,0.8588200434781295
084,5037,0.965617986999889,0.8836086242709551,0.9115591958662519,0.8870324513743382,0.8576499436114664
003,2905,0.966492560026557,0.8832391508763655,0.910600741970303,0.8865154305030221,0.8580913766360989
028,5003,0.9682580770498146,0.8829821521976411,0.911961323210609,0.8859167747572874,0.8582213877323949
005,3261,0.9654868404621098,0.8814927692665863,0.9102923435558337,0.884429205934553,0.8568154537840788
046,8717,0.9664588607243019,0.8812037213408679,0.9086173168733238,0.8846227108220632,0.8555304603904565
094,7927,0.9665420235409206,0.8808874617903435,0.9083542711668647,0.8841359250894204,0.8557844355553137
077,9049,0.9666184686810966,0.8793321662569805,0.908033778696926,0.8829325665702166,0.8523799589406817
090,5305,0.965429077370596,0.8779059747657532,0.9066641269150181,0.8808826241681558,0.8531086257827122
007,7373,0.9647346275216735,0.8767809252557137,0.9068818199134671,0.8803051330194926,0.8493957507536108
069,2667,0.9655222548312857,0.8761069840146821,0.905230981341896,0.879401102373156,0.8500155710964168
042,3333,0.9637663667619006,0.8753121022189569,0.9029754399968556,0.8775174532337993,0.853761704778059
108,2271,0.9640868936272453,0.8748625057068824,0.9058931308788448,0.8777895694818605,0.8491024699084783
081,1683,0.9646937402789308,0.874379952893654,0.8995316577019481,0.8774811710673911,0.8509498368814269
092,3321,0.9620627534702397,0.8729918576771551,0.9016511409229578,0.8764048001306158,0.846716917467142
099,7541,0.964538364501992,0.8729056875319359,0.9059022014204469,0.8767101750312178,0.8430917243401936
026,1727,0.9648548761322181,0.8728627536350195,0.9029210167472433,0.8754221581237283,0.8488757063684272
087,2265,0.9635955536960441,0.8716748150365392,0.8978717485887749,0.8739497068703306,0.8506142268421514
010,5671,0.9652320047584795,0.8707753196610036,0.90151205928506,0.8737410844134836,0.8450267732152954
045,3555,0.9664702395747289,0.8707335951696342,0.9062075763210488,0.8752981940551671,0.8370205084945622
083,7917,0.9650030621997632,0.8698129351970272,0.9025763361663658,0.873429662485147,0.840772689203939
032,2473,0.9613507233774881,0.866853217472282,0.896580708167418,0.8700433269537191,0.8408240889396839
056,11237,0.9607778481608522,0.8654693551751975,0.8927892217777657,0.8684136529792194,0.8415043795598368
097,3911,0.9628033444795742,0.8644852014113762,0.8950266220396019,0.8674370580000665,0.8388829930368475
089,6139,0.9606283843988244,0.8636386175285193,0.8950024339286632,0.8673403055563115,0.8350008012311748
082,2535,0.9593241533736057,0.8634550902367712,0.8939139689364185,0.8677001037065256,0.8333681037428078
065,1545,0.9565977421586322,0.8632764005672111,0.8910597718456436,0.8662639346195361,0.8389283457448578
033,3651,0.9620228520569641,0.8622387306079379,0.8930190088316841,0.8652782690987812,0.8362102067781134
001,6639,0.961032697170134,0.8621383499475419,0.8956887715765508,0.8656985375263424,0.8329024826072364
020,4669,0.9610191404940248,0.8619445427086451,0.893768840270786,0.8644588968407303,0.8372321544652764
079,1523,0.9609946834132979,0.861602885641635,0.8924354706552862,0.8652601280155772,0.8333862448260119
047,7659,0.9537095913310151,0.86049869837728,0.8913228175521027,0.8638814056920672,0.833247163188114
021,1599,0.957248915296542,0.8597476575326313,0.8886591018349705,0.8630076101844041,0.8338821011002567
100,15349,0.9622312042641936,0.8585303908496377,0.8915102754118782,0.8622668492869042,0.8289628440380842
117,5621,0.9601863890812967,0.8579350609691572,0.8893363689412561,0.8613839832376391,0.8301631790434207
085,7051,0.9588976377621872,0.8557411993070106,0.8885563023634808,0.8590740186429865,0.8276687801028599
004,2139,0.9568950740146762,0.8539936082916844,0.8840089375069918,0.8575743557647827,0.8264533275281867
064,863,0.9574646024691922,0.8534345605776121,0.8858623515076752,0.857253863294844,0.8238531056022689
025,7581,0.959618090551644,0.8533601821364754,0.888157198532991,0.857262933836446,0.8223020429883201
070,1489,0.9591467429718037,0.8498541154559005,0.8852878838728794,0.8529665206309469,0.8212438131347489
029,819,0.9525116755911116,0.8494864561696313,0.878832681766095,0.853072343616304,0.8222627373080447
114,6089,0.9603156691300947,0.8483239150876365,0.888532114252542,0.8512552117820289,0.8179602770748108
017,8191,0.9603434681278746,0.846253110439891,0.8861193501863996,0.8493292334485292,0.8155535600364031
076,2205,0.9567548854937663,0.8462346670053003,0.8795885602329315,0.8493806331842741,0.8185468387650761
110,489,0.9530093835631703,0.8459011734257318,0.8749988661822997,0.8507744730771207,0.814295778267587
030,4053,0.9562985663294565,0.8447144442327985,0.8816415261488597,0.8483375209000397,0.8135701349394239
019,6947,0.9548477749395495,0.8432716234153008,0.8772755721244115,0.84655969474604,0.8147613994031584
036,419,0.9486566287357221,0.8417417253984236,0.8730577702794634,0.8451839959363974,0.8140357560749952
013,5667,0.9580943844940003,0.8415754321357194,0.8792892323600642,0.8451144551174484,0.8103319515874959
102,3615,0.9527601837513325,0.8382178199860313,0.8744606807139121,0.8414801914488981,0.8086780895020576
050,2205,0.9532426906360673,0.8353451794606657,0.8741825174381163,0.839663059614623,0.8008139299330896
062,9671,0.9554115745638295,0.8326802543379865,0.8726344783380349,0.8357990088921543,0.8017875013983752
