model_name,val_accuracy,h5_file,output_dir,tarball,luts,luts_used,luts_available,luts_percent,registers,registers_used,registers_available,registers_percent,bram,bram_used,bram_available,bram_percent,dsp,dsp_used,dsp_available,dsp_percent,latency_min,latency_max,interval_min,interval_max,estimated_fmax
model_trial_068,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_068.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_068,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_068.tar.gz,223291,223291,53200,419.72,156882,156882,106400,147.45,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_052,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_052.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_052,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_052.tar.gz,337061,337061,53200,633.57,238699,238699,106400,224.34,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_069,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_069.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_069,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_069.tar.gz,120153,120153,53200,225.85,85380,85380,106400,80.24,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_071,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_071.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_071,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_071.tar.gz,7230,7230,53200,13.59,8591,8591,106400,8.07,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_070,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_070.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_070,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_070.tar.gz,62917,62917,53200,118.27,47507,47507,106400,44.65,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_072,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_072.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_072,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_072.tar.gz,7412,7412,53200,13.93,8482,8482,106400,7.97,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_079,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_079.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_079,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_079.tar.gz,65289,65289,53200,122.72,48460,48460,106400,45.55,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_081,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_081.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_081,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_081.tar.gz,77755,77755,53200,146.16,55570,55570,106400,52.23,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_096,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_096.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_096,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_096.tar.gz,8956,8956,53200,16.83,10204,10204,106400,9.59,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_027,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_027.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_027,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_027.tar.gz,524689,524689,53200,986.26,385422,385422,106400,362.24,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_103,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_103.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_103,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_103.tar.gz,172034,172034,53200,323.37,120765,120765,106400,113.5,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_108,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_108.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_108,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_108.tar.gz,107962,107962,53200,202.94,75077,75077,106400,70.56,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_109,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_109.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_109,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_109.tar.gz,207170,207170,53200,389.42,147956,147956,106400,139.06,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_110,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_110.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_110,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_110.tar.gz,12977,12977,53200,24.39,13083,13083,106400,12.3,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_075,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_075.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_075,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_075.tar.gz,445501,445501,53200,837.41,321870,321870,106400,302.51,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_101,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_101.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_101,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_101.tar.gz,615984,615984,53200,1157.86,457779,457779,106400,430.24,0,0,140,0.0,220,220,220,100.0,,,,,143.88
model_trial_098,,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/model_trial_098.h5,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_098,/home/youeric/PixelML/SmartpixReal/Muon_Collider_Smart_Pixels/eric/model2_5_10bit/hls_outputs/hls_model_trial_098.tar.gz,687188,687188,53200,1291.71,499105,499105,106400,469.08,0,0,140,0.0,220,220,220,100.0,,,,,143.88
