trial_id,parameters,auc,primary_metric
057,145833,0.9757030536965174,0.91420567755434
024,136003,0.9756204223243429,0.9136206276210086
026,100867,0.9745282757895515,0.9107957586147468
081,77827,0.9745476688335329,0.9098445611520797
018,70464,0.9739921931260092,0.90963805515494
086,53949,0.9726083356026871,0.9074620322246109
051,40245,0.9700287087910486,0.9046214409462389
032,39773,0.9706763935857492,0.901432238518962
063,39389,0.9694163463138192,0.8986620951136992
038,20413,0.962697253296897,0.8756011501446751
