fpr,tpr,thresholds
0.0,0.0,inf
0.0,3.0235138673463526e-06,0.984375
0.0,9.070541602039058e-06,0.98046875
0.0,1.5117569336731762e-05,0.9765625
0.0,2.7211624806117174e-05,0.97265625
2.1164597071424467e-05,0.0009826420068875647,0.96875
4.837622187754164e-05,0.0024732343434893164,0.96484375
0.00011489352695916139,0.005136950060621453,0.9609375
0.00018745785977547386,0.008366062870947358,0.95703125
0.00031746895607136704,0.014071433538629925,0.953125
0.0004656211355713383,0.019144889808037104,0.94921875
0.0006742435924182366,0.026020360342382712,0.9453125
0.00099473606235695,0.03301072440368748,0.94140625
0.0013938398928466686,0.04163076243949193,0.9375
0.0017173558766527283,0.05096132623412277,0.93359375
0.002152741873550603,0.06130779068818199,0.9296875
0.002624410036856634,0.07438146465058762,0.92578125
0.003198877671652441,0.08763957295890137,0.921875
0.003791486389652326,0.1018289235383578,0.91796875
0.004619929189305227,0.12109475390108877,0.9140625
0.005282078726254078,0.13610952376633076,0.91015625
0.006134709636845749,0.15158084422554205,0.90625
0.007053857852519041,0.16725474011386554,0.90234375
0.008508168022712636,0.1918963781327383,0.8984375
0.0096147740981614,0.2118878518236324,0.89453125
0.010872555866977484,0.23114763515862866,0.890625
0.012075914386181332,0.24975736301214546,0.88671875
0.01354534212571166,0.27128478174765147,0.8828125
0.014727536047844084,0.2879382961289952,0.87890625
0.015864377261966312,0.3055049116982775,0.875
0.017046571184098736,0.3207736567283766,0.87109375
0.018370870257996438,0.3372185486528734,0.8671875
0.01954701715239417,0.3516497803417175,0.86328125
0.0211797146407612,0.3704378955134078,0.859375
0.022328649910352813,0.3858336281259354,0.85546875
0.023912971176842303,0.40443730895171753,0.8515625
0.02522517619527062,0.4199872407714798,0.84765625
0.026827638544964186,0.4393105178976903,0.84375
0.028206360868474122,0.4549934843276159,0.83984375
0.029769517537892188,0.47217309012187786,0.8359375
0.031257086360626594,0.48691574373905866,0.83203125
0.03289280736286097,0.5031429426651065,0.828125
0.03438037618559538,0.517114600246114,0.82421875
0.03602214421556445,0.5326131323301314,0.8203125
0.03768507684260494,0.5464094261068329,0.81640625
0.03941452677472705,0.5615723481515748,0.8125
0.040871860458788,0.5741290012426642,0.80859375
0.04252572254422645,0.5886811734862022,0.8046875
0.0439770092005527,0.6012650382020978,0.80078125
0.04564296534146054,0.6147317689672583,0.796875
0.04711844010872556,0.6264660262864296,0.79296875
0.0488630076101844,0.6394701594298863,0.7890625
0.050253823989163726,0.6503155036720576,0.78515625
0.05192280364393891,0.6625063115851981,0.78125
0.053352925703193735,0.6734211966463184,0.77734375
0.054955388052887306,0.6851856891041631,0.7734375
0.05639458065374417,0.695293295962702,0.76953125
0.0580726308501214,0.7071363997810975,0.765625
0.05946949425683541,0.7169779374193099,0.76171875
0.061111262286804476,0.7278807284249609,0.7578125
0.06253836083219196,0.7373171152049489,0.75390625
0.06409547047387533,0.7474368161189572,0.75
0.06546814576965057,0.7561808182233227,0.74609375
0.0671008432580176,0.7656292990587802,0.7421875
0.06837071908230308,0.773974197332656,0.73828125
0.06978572357222117,0.7826426115903381,0.734375
0.07108885804904744,0.7903344308688672,0.73046875
0.07262177957979205,0.7983890718114779,0.7265625
0.07389165540407751,0.8051798839575378,0.72265625
0.07524618961664868,0.8128233270141894,0.71875
0.0764676892190566,0.8189429190816984,0.71484375
0.07791897587538285,0.8257307077138909,0.7109375
0.07904674654790304,0.8314965486589204,0.70703125
0.08039221021887216,0.8377915045307355,0.703125
0.08159254522420867,0.843085677312459,0.69921875
0.08295312646451453,0.8488273301465498,0.6953125
0.08408694416476942,0.8538010104583345,0.69140625
0.08541124323866711,0.8592584529888946,0.6875
0.08646342606450365,0.863687900804557,0.68359375
0.08764561998663607,0.8685738992141887,0.6796875
0.08871292038180933,0.8728703124196879,0.67578125
0.08988604376233972,0.8774055832207075,0.671875
0.0908172860334824,0.8814722093722883,0.66796875
0.09201459752495154,0.885895610160216,0.6640625
0.09305166278145134,0.889702214119205,0.66015625
0.09423083318971642,0.8936116175496839,0.65625
0.0952799925016856,0.8968981771234894,0.65234375
0.09640473966033845,0.9006957105408764,0.6484375
0.09730877030667501,0.9039036587541309,0.64453125
0.09842747043759316,0.9074683816037322,0.640625
0.09935266568100115,0.9104102605966602,0.63671875
0.10044717770098052,0.9137905491003534,0.6328125
0.10136632591665382,0.9165963699692509,0.62890625
0.10253642578331686,0.9196501189752707,0.625
0.10351302076246972,0.9222049881931783,0.62109375
0.10459241521311237,0.9249533622985961,0.6171875
0.10541481098503058,0.9272089036436365,0.61328125
0.10643071164445896,0.9298726193607687,0.609375
0.10728031904118328,0.9320707139423295,0.60546875
0.10832947835315247,0.9347072180346555,0.6015625
0.10926979116589718,0.9368569363943388,0.59765625
0.1102887153391929,0.9392666769466138,0.59375
0.11125019274900905,0.9413226663764094,0.58984375
0.11214212933987622,0.9435570431243783,0.5859375
0.1131126772912944,0.9454346452360004,0.58203125
0.11403484902083504,0.9472971297782857,0.578125
0.11492073858396752,0.9489630859191935,0.57421875
0.11576732246682449,0.9507046299067851,0.5703125
0.11662600040515086,0.9522496454929991,0.56640625
0.1175481721346915,0.9539609543419171,0.5625
0.11836452087887502,0.9553971234289066,0.55859375
0.11926855152521157,0.956945162528988,0.5546875
0.12006978270005836,0.9582150383532734,0.55078125
0.1209345076661194,0.9596149252738547,0.546875
0.12175387992417028,0.9608485189317321,0.54296875
0.1226881457091803,0.962209100172038,0.5390625
0.12339564795413935,0.9632975651642827,0.53515625
0.12425130237859836,0.9645281353082926,0.53125
0.12493764002648598,0.9655561300231904,0.52734375
0.12586888229762866,0.9666778536679759,0.5234375
0.1265370788623122,0.9676998013551389,0.51953125
0.12739273328677123,0.968800360402853,0.515625
0.1280820944485262,0.9697406732155976,0.51171875
0.12890146670657704,0.9706900565699444,0.5078125
0.12966036868728098,0.9714761701754545,0.50390625
0.13056439933361755,0.9722622837809646,0.5
0.13132632482818882,0.973130032260893,0.49609375
0.1321668616833111,0.97397661614375,0.4921875
0.13291366960854567,0.9745964364865559,0.48828125
0.13357279563162716,0.9753644090088619,0.484375
0.13427425084885153,0.9759298061020557,0.48046875
0.1350482703988922,0.9765949791528719,0.4765625
0.1356892553387696,0.9772661992314228,0.47265625
0.13645420434720823,0.9778406668662186,0.46875
0.1371435655089632,0.9784000169316777,0.46484375
0.1379568907392794,0.9789986726774123,0.4609375
0.13867951055357516,0.9794340586743101,0.45703125
0.13945655361748316,0.9799027033237488,0.453125
0.14019731451498302,0.9803834420286569,0.44921875
0.1409199343292788,0.9808188280255548,0.4453125
0.14154277818595215,0.9811544380648302,0.44140625
0.14239540909654383,0.9815686594646567,0.4375
0.14309384079990084,0.9819889278922178,0.43359375
0.1438557662944721,0.982409196319779,0.4296875
0.14454815097009444,0.9827689944699931,0.42578125
0.14529495889532898,0.9831166985647379,0.421875
0.14592384977973702,0.9834281204930746,0.41796875
0.14674322203778786,0.983815130268095,0.4140625
0.14743863022727755,0.9841537638212378,0.41015625
0.14822172031892025,0.9845075149437172,0.40625
0.14895341067481807,0.984767537136309,0.40234375
0.14964277183657304,0.984985230134758,0.3984375
0.15028980380418513,0.9852331582718804,0.39453125
0.15097614145207278,0.9854901569506048,0.390625
0.15160200882261346,0.9857592496847987,0.38671875
0.1523155580953072,0.9859769426832476,0.3828125
0.152968637090654,0.9861674240568904,0.37890625
0.1536973039326845,0.9864093051662781,0.375
0.15434735941416394,0.9866118805953904,0.37109375
0.15506393220072504,0.9868386441354413,0.3671875
0.15569887011286776,0.9870170314536147,0.36328125
0.15646684263517374,0.9872105363411249,0.359375
0.15715922731079607,0.9873707825760942,0.35546875
