model_type,weight_bits,integer_bits,test_accuracy,test_loss,roc_auc
non_quantized,N/A,N/A,0.9445345401763916,0.11706049740314484,0.99070156238594
quantized,8,0,0.9331289529800415,0.13919547200202942,0.9870052058057768
quantized,6,0,0.9264836311340332,0.1563498079776764,0.9839696673021026
quantized,4,0,0.9155692458152771,0.18438968062400818,0.9787552673212219
