model_type,weight_bits,integer_bits,test_accuracy,test_loss,roc_auc
non_quantized,N/A,N/A,0.9563283324241638,0.09445038437843323,0.993787785780235
quantized,16,0,0.9560195803642273,0.0967925414443016,0.9935901481287295
quantized,8,0,0.9549000859260559,0.09810841828584671,0.993394633681497
quantized,6,0,0.9536074995994568,0.10158553719520569,0.9930516727540188
quantized,4,0,0.9440745711326599,0.11774451285600662,0.990953272950886
quantized,3,0,0.9377411007881165,0.13181018829345703,0.9886472349490489
quantized,2,0,0.9167479872703552,0.17081838846206665,0.9811816301313483
