bit_width,slope,intercept,r_squared,r_value,p_value,std_err,n_models
10,5.586796985832056,17507.36155349992,0.9680702033287352,0.9839055865929084,1.7370034696706416e-22,0.19174697643005154,30
3,5.666042384728478,12096.264415876509,0.9715230450217025,0.9856586858652961,2.810596160136164e-19,0.20227216450934843,25
4,5.315977006955571,13519.342944255564,0.9718076422147339,0.985803044332251,2.5036598653563585e-19,0.18879683956772222,25
6,5.2924730814948635,15897.668776563147,0.9693018356567539,0.9845312771348373,1.9669611453043143e-20,0.18837156209740638,27
8,5.590293544114518,16932.68034554014,0.9699585662906204,0.9848647451760167,1.2593252048272874e-23,0.18269192433858905,31
