evalFolderName,test_loss,test_accuracy,roc_auc,fpr,tpr,thresholds,bkg_rej_at_95pct,fpr_at_95pct,bkg_rej_at_98pct,fpr_at_98pct,bkg_rej_at_99pct,fpr_at_99pct,numBackPixesPostFilter,numBackPixesTotal,numBackPixesRejRatio
b0.5299mdl_al_1028,0.5348836779594421,0.7837976217269897,0.8116697974599648,deld,deld,deld,0.6155511412253092,0.38444885877469076,0.5637734662470029,0.4362265337529971,0.5298526641692443,0.4701473358307558,743548.0,2000084.0,0.371758371591568
b0.5299mdl_al_1028,0.5348836779594421,0.7837976217269897,0.8116697974599648,deld,deld,deld,0.6155511412253092,0.38444885877469076,0.5637734662470029,0.4362265337529971,0.5298526641692443,0.4701473358307558,829169.0,2000084.0,0.41456708312034607
b0.5299mdl_al_1028,0.5348836779594421,0.7837976217269897,0.8116697974599648,deld,deld,deld,0.6155511412253092,0.38444885877469076,0.5637734662470029,0.4362265337529971,0.5298526641692443,0.4701473358307558,884758.0,2000084.0,0.44236043095588684
b0.6890mdl_al_1224,0.39631161093711853,0.8430025577545166,0.8907899117945108,deld,deld,deld,0.7379490296032243,0.2620509703967757,0.7136036959433514,0.28639630405664857,0.6890164811740909,0.3109835188259091,447133.0,2000084.0,0.22355711460113525
b0.6890mdl_al_1224,0.39631161093711853,0.8430025577545166,0.8907899117945108,deld,deld,deld,0.7379490296032243,0.2620509703967757,0.7136036959433514,0.28639630405664857,0.6890164811740909,0.3109835188259091,406975.0,2000084.0,0.20347894728183746
b0.6890mdl_al_1224,0.39631161093711853,0.8430025577545166,0.8907899117945108,deld,deld,deld,0.7379490296032243,0.2620509703967757,0.7136036959433514,0.28639630405664857,0.6890164811740909,0.3109835188259091,366598.0,2000084.0,0.18329130113124847
b0.7976mdl_ial_836,0.2894372344017029,0.9066293835639954,0.9388993287785602,deld,deld,deld,0.8565372905082829,0.14346270949171708,0.8329055061211038,0.1670944938788962,0.7975938876643658,0.20240611233563421,257257.0,2000084.0,0.1286230981349945
b0.7976mdl_ial_836,0.2894372344017029,0.9066293835639954,0.9388993287785602,deld,deld,deld,0.8565372905082829,0.14346270949171708,0.8329055061211038,0.1670944938788962,0.7975938876643658,0.20240611233563421,205896.0,2000084.0,0.10294367372989655
b0.7976mdl_ial_836,0.2894372344017029,0.9066293835639954,0.9388993287785602,deld,deld,deld,0.8565372905082829,0.14346270949171708,0.8329055061211038,0.1670944938788962,0.7975938876643658,0.20240611233563421,174158.0,2000084.0,0.08707534521818161
b0.8198mdl_al_1046,0.2656205892562866,0.9139508008956909,0.9483342619652743,deld,deld,deld,0.8690546379190969,0.13094536208090318,0.8465536477183053,0.15344635228169473,0.8197864794506879,0.180213520549312,164776.0,2000084.0,0.08238454163074493
b0.8198mdl_al_1046,0.2656205892562866,0.9139508008956909,0.9483342619652743,deld,deld,deld,0.8690546379190969,0.13094536208090318,0.8465536477183053,0.15344635228169473,0.8197864794506879,0.180213520549312,232556.0,2000084.0,0.11627312004566193
