cota cotb p flp ylocal zglobal pt t hit_pdg
0.16110 -0.18162 0.00036 1 -0.60000 61.25000 0.00035 0.43637 -13
0.23094 -0.12974 0.00006 1 -6.52500 64.92500 0.00006 0.39164 -13
1.29080 0.14717 0.00040 1 -0.32500 -31.95000 0.00024 0.45663 13
-1.11849 0.39618 0.00020 1 0.32500 -31.67500 0.00014 0.46312 13
0.93711 -1.79301 0.00068 1 -5.12500 5.60000 0.00062 0.30312 -13
-0.41384 -0.26067 0.00047 1 -4.82500 15.05000 0.00043 0.27167 13
-0.39500 -2.56867 0.00015 1 -5.37500 15.15000 0.00014 0.28035 13
-0.94464 0.92674 0.00012 1 0.47500 50.87500 0.00010 0.28118 13
-1.97665 -0.28024 0.00037 1 -7.62500 12.47500 0.00017 0.41496 13
0.79385 -1.20294 0.00015 1 -7.62500 12.52500 0.00013 0.41573 13
-0.96005 -0.40158 0.00092 1 -2.42500 20.00000 0.00069 0.26094 13
4.83961 5.46463 0.00027 1 -2.82500 20.27500 0.00020 0.26612 13
1.83670 0.03331 0.00018 1 -5.85000 -12.25000 0.00009 0.36184 13
-0.73479 -2.43042 0.00006 1 -4.95000 50.57500 0.00006 0.40577 -13
-0.89093 0.00740 0.00013 1 -0.72500 -17.70000 0.00010 0.27325 13
-0.50047 0.26052 0.00013 1 0.47500 -63.60000 0.00012 3.70496 13
-0.43657 -0.53590 0.00010 1 0.42500 0.62500 0.00009 0.38691 13
0.21364 -0.97674 0.00012 1 -7.50000 -14.35000 0.00012 0.48583 -13
-0.30446 -0.52514 0.00009 1 -6.72500 -6.70000 0.00009 0.35382 13
4.04749 5.49480 0.00020 1 3.00000 -8.25000 0.00016 0.79872 13
-0.88291 0.87289 0.00017 1 2.67500 -7.90000 0.00014 0.80306 13
-0.43242 -0.01187 0.00041 1 -5.05000 -25.00000 0.00038 0.38243 13
0.23096 -0.18430 0.00026 1 -6.07500 -25.42500 0.00025 0.39393 13
-0.68938 -0.37598 0.00049 1 -2.85000 17.85000 0.00041 0.99329 13
0.28606 0.72485 0.00052 1 -3.67500 17.77500 0.00050 0.99785 13
-0.42550 -0.31165 0.00049 1 3.10000 43.22500 0.00045 0.26307 -13
0.69857 0.39344 0.00024 1 2.40000 42.62500 0.00020 0.26905 -13
0.55071 0.27241 0.00095 1 2.80000 -58.40000 0.00084 0.26043 13
-0.35229 -0.51072 0.00093 1 1.12500 -57.42500 0.00089 0.27314 13
-1.17843 -1.18943 0.00040 1 1.82500 -46.80000 0.00032 0.32135 13
0.74529 0.29078 0.00032 1 1.30000 -47.52500 0.00026 0.32701 13
2.58620 -2.90232 0.00011 1 0.67500 -62.82500 0.00009 0.48619 13
0.68225 -0.84583 0.00071 1 -3.80000 -25.35000 0.00063 0.33004 -13
-2.36089 -0.52064 0.00086 1 -5.25000 -19.27500 0.00037 0.35553 -13
-1.43571 -0.42967 0.00077 1 -5.25000 -19.12500 0.00046 0.35638 -13
0.26932 -0.11304 0.00061 1 -3.92500 -18.55000 0.00058 0.36564 -13
-0.75598 -0.05731 0.00050 1 -4.97500 -17.92500 0.00040 0.37412 -13
-0.35971 -0.33324 0.00023 1 -1.32500 61.67500 0.00022 4.22424 13
-0.84510 1.65286 0.00028 1 3.00000 -22.10000 0.00026 0.31875 13
0.46098 -1.13031 0.00011 1 2.70000 -20.45000 0.00010 0.44692 13
3.44106 0.57535 0.00070 1 -2.97500 -29.15000 0.00022 0.33845 13
-0.17916 -0.59528 0.00053 1 -3.12500 -29.27500 0.00053 0.33949 13
-0.03767 -0.07508 0.00056 1 -4.25000 -29.67500 0.00056 0.34763 13
0.37293 -2.42868 0.00064 1 -8.47500 55.62500 0.00064 0.25902 13
0.90578 -2.39579 0.00023 1 3.52500 54.02500 0.00021 0.28026 13
1.00702 -0.96654 0.00056 1 -3.47500 -55.67500 0.00046 0.30861 -13
0.00965 -0.24888 0.00022 1 -6.35000 -16.10000 0.00022 0.26097 13
-1.35839 -1.46939 0.00047 1 -5.12500 -7.32500 0.00038 1.11650 -13
-2.63835 2.07383 0.00033 1 -5.27500 -6.37500 0.00021 1.12363 -13
-2.93946 9.65447 0.00019 1 -5.32500 -6.37500 0.00018 1.12400 -13
-2.63212 -5.63790 0.00031 1 0.12500 59.57500 0.00029 0.26276 13
-0.05670 -0.48764 0.00011 1 -6.52500 -22.62500 0.00011 0.39196 13
-0.78603 0.71206 0.00114 1 2.35000 62.65000 0.00096 0.26071 -13
0.45480 -0.74073 0.00082 1 3.77500 63.05000 0.00077 0.27119 -13
-0.62754 0.52719 0.00080 1 2.47500 63.67500 0.00070 0.27802 -13
-0.05727 0.09794 0.00016 1 -2.67500 21.17500 0.00016 0.64664 -13
-1.05130 -0.05292 0.00054 1 -5.10000 64.55000 0.00038 0.27376 13
0.36376 1.93754 0.00028 1 1.60000 64.57500 0.00028 0.36189 -13
-1.94453 -0.56375 0.00012 1 -2.97500 -64.45000 0.00006 0.47281 13
0.28071 -0.15664 0.00029 1 -6.97500 65.00000 0.00028 0.41252 -13
0.78627 0.50931 0.00016 1 -6.95000 64.97500 0.00013 0.41259 -13
0.19069 -0.32313 0.00039 1 -6.25000 25.82500 0.00038 0.73408 13
0.15439 -1.23526 0.00016 1 -6.25000 25.82500 0.00016 0.73477 13
0.76883 0.00143 0.00021 1 -4.35000 -4.97500 0.00017 0.46033 -13
0.26500 -0.11734 0.00058 1 -1.47500 2.85000 0.00056 0.25974 -13
-0.18702 -0.06383 0.00056 1 -2.52500 3.22500 0.00055 0.26778 -13
-5.74249 -4.06303 0.00038 1 -1.02500 -57.40000 0.00023 0.26013 13
1.24487 -1.10989 0.00053 1 -0.17500 -56.20000 0.00041 0.27502 13
-2.28879 0.67721 0.00028 1 -0.22500 -54.95000 0.00013 0.28293 13
-0.34439 -0.16607 0.00032 1 -2.70000 33.47500 0.00030 0.26101 13
-2.20962 -0.07138 0.00035 1 -5.90000 31.07500 0.00014 0.27471 13
-0.09469 -2.15722 0.00020 1 -6.22500 34.50000 0.00020 0.29329 13
-3.09363 -1.45299 0.00014 1 -1.77500 57.65000 0.00007 0.29138 -13
-0.90701 -0.69710 0.00008 1 -0.62500 -46.57500 0.00006 0.45707 13
-0.06519 -0.81346 0.00088 1 -0.15000 -63.90000 0.00088 0.25919 13
-0.09557 -0.53781 0.00061 1 -0.15000 -63.82500 0.00061 0.26047 13
-0.21913 -0.20099 0.00055 1 -1.35000 -64.07500 0.00053 0.26832 13
1.71933 -1.20598 0.00048 1 0.55000 -27.10000 0.00032 0.40375 13
-1.38731 -0.14479 0.00030 1 0.45000 -26.22500 0.00018 0.40884 13
-0.73276 -1.89966 0.00015 1 4.40000 34.67500 0.00014 0.50960 13
0.42449 0.79269 0.00072 1 -7.47500 -58.02500 0.00068 0.26087 -13
-1.76084 -4.52496 0.00065 1 -0.62500 37.92500 0.00061 0.32376 -13
-0.15357 4.74001 0.00056 1 -0.92500 37.95000 0.00056 0.32485 -13
-1.83864 -1.24968 0.00041 1 -1.77500 60.67500 0.00027 0.61181 -13
-5.57601 -2.45577 0.00019 1 -2.05000 64.15000 0.00008 0.65198 -13
0.97176 0.15493 0.00012 1 -2.42500 63.10000 0.00008 0.66983 -13
-0.49178 0.15747 0.00006 1 -1.52500 56.57500 0.00006 0.59810 -13
