model,trial_id,nodes,parameters,val_accuracy
Model3,25,3010,148703,0.957972526550293
Model3,22,1202,85034,0.957940548658371
Model3,31,1227,184459,0.9579109251499176
Model3,02,1284,217255,0.9577526748180389
Model3,68,3037,150059,0.9577035307884216
Model3,62,3134,304235,0.9576084315776825
Model3,72,3147,305529,0.9575172066688538
Model3,64,3062,437359,0.9574860334396362
Model3,26,1112,78104,0.9574361145496368
Model3,27,2130,53378,0.957351952791214
Model3,63,1243,114857,0.9572661817073822
Model3,40,3188,598327,0.9571624994277954
Model3,32,3099,372465,0.9569598138332367
Model3,13,1235,87623,0.9569122493267059
Model3,29,3024,149415,0.9568842053413391
Model3,71,4149,504055,0.9566534161567688
Model3,08,3988,389567,0.9566394090652466
Model3,30,3019,221455,0.9566121101379395
Model3,10,4037,298049,0.9565785825252533
Model3,51,2097,52439,0.9565341472625732
Model3,07,3998,198287,0.9563922584056854
Model3,44,1163,56147,0.95628622174263
Model3,60,1220,86468,0.9560141265392303
Model3,17,2082,52034,0.9557178914546967
Model3,49,4007,295739,0.9553873538970947
Model3,15,2007,50009,0.9553413689136505
Model3,21,2997,74979,0.9549125730991364
Model3,37,1180,57063,0.9548969864845276
Model3,12,2198,259782,0.9547784924507141
Model3,42,1343,229157,0.9544307589530945
Model3,18,3967,196659,0.9532356560230255
Model3,39,3938,195167,0.9526197612285614
Model3,59,2125,250543,0.9520459771156311
Model3,48,1079,26745,0.9512929022312164
Model3,58,1099,77135,0.9510660469532013
Model3,20,1089,52315,0.9507635235786438
Model3,61,1088,52247,0.9504711925983429
Model3,11,2042,147954,0.9478501677513123
