trial_id,parameters,auc,primary_metric
854,595,0.9466733943515554,0.8382096564985895
833,281,0.944157375386754,0.8338833105058037
834,235,0.944958933992152,0.8300153292153074
829,199,0.9433686275502379,0.8248904732101554
831,155,0.9388890645906777,0.8225182242298354
840,121,0.937537838567093,0.8162919021228091
858,105,0.9362614266878203,0.8122282994850955
830,91,0.9214100097877284,0.7797826698232152
826,79,0.8880494867896274,0.6979975267656564
851,67,0.8394530598560263,0.6658754130875821
839,65,0.8351328839364829,0.6543609652265671
827,31,0.854693929802508,0.5189135909971851
832,25,0.5,0.0
