trial_id,parameters,auc,primary_metric,bkg_rej_@95%,bkg_rej_@98%,bkg_rej_@99%,model_name,val_accuracy,h5_file,output_dir,luts,luts_used,luts_available,luts_percent,registers,registers_used,registers_available,registers_percent,bram,bram_used,bram_available,bram_percent,dsp,dsp_used,dsp_available,dsp_percent,latency_min,latency_max,interval_min,interval_max,estimated_fmax,run_name,global_id,model_family,bit_width,luts_plus_ff
053,363,0.8364742264116292,0.6355129844803034,0.657626360203301,0.6370120426557336,0.6192095930047983,,,,,25680,25680,53200,48.0,24855,24855,106400,23.0,0,0,280,0.0,3,3,220,1.0,79,83,20,20,95.2653,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_053,Model 2.5,3,50535
019,683,0.5138307215119464,0.0696690159369416,0.1123053990887129,0.0685430593727418,0.0522916723357551,,,,,29792,29792,53200,56.0,30181,30181,106400,28.0,40,40,280,14.0,3,3,220,1.0,77,81,18,18,95.2653,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_019,Model 2.5,3,59973
123,405,0.4675750107409784,0.021359916067255,0.043054837471012,0.0243634747430768,0.0,,,,,26503,26503,53200,49.0,26333,26333,106400,24.0,0,0,280,0.0,3,3,220,1.0,78,82,16,16,95.2653,model2.5_quantizedinputs_3w0i_pareto_roc_selected,model2.5_quantizedinputs_3w0i_pareto_roc_selected_123,Model 2.5,3,52836
133,16805,0.9514512975307596,0.8497467807136098,0.8727191367263206,0.8524646173289674,0.8287481745535026,,,,,265007,265007,53200,498.0,278422,278422,106400,261.0,2332,2332,280,832.0,2,2,220,0.0,88,92,19,19,102.1138,model2.5_quantizedinputs_4w0i_pareto_roc_selected,model2.5_quantizedinputs_4w0i_pareto_roc_selected_133,Model 2.5,4,543429
039,10481,0.9555988011676366,0.849222503409012,0.8795855367190641,0.854233372941365,0.8165029433907498,,,,,158706,158706,53200,298.0,168413,168413,106400,158.0,620,620,280,221.0,1,1,220,0.0,90,94,16,16,99.691,model2.5_quantizedinputs_4w0i_pareto_roc_selected,model2.5_quantizedinputs_4w0i_pareto_roc_selected_039,Model 2.5,4,327119
146,2553,0.9521679185074552,0.8479674428026764,0.8778198046205339,0.8513459171980492,0.8212166015099428,,,,,61529,61529,53200,115.0,70978,70978,106400,66.0,144,144,280,51.0,2,2,220,0.0,70,74,15,15,102.1138,model2.5_quantizedinputs_4w0i_pareto_roc_selected,model2.5_quantizedinputs_4w0i_pareto_roc_selected_146,Model 2.5,4,132507
016,8607,0.9559019122608982,0.8472801981006285,0.8796913597044212,0.850069994346029,0.8213103304398306,,,,,412813,412813,53200,775.0,430512,430512,106400,404.0,2380,2380,280,850.0,1,1,220,0.0,91,95,20,20,98.0488,model2.5_quantizedinputs_4w0i_pareto_roc_selected,model2.5_quantizedinputs_4w0i_pareto_roc_selected_016,Model 2.5,4,843325
006,1589,0.9464649575019172,0.8447123277730914,0.8720962928696472,0.8474607018785092,0.821401035855851,,,,,48147,48147,53200,90.0,55051,55051,106400,51.0,96,96,280,34.0,2,2,220,0.0,70,74,16,16,102.1138,model2.5_quantizedinputs_4w0i_pareto_roc_selected,model2.5_quantizedinputs_4w0i_pareto_roc_selected_006,Model 2.5,4,103198
051,1897,0.9538385237736712,0.8440535041013966,0.8745967388379426,0.8474607018785092,0.8168566945132294,,,,,50645,50645,53200,95.0,59712,59712,106400,56.0,112,112,280,40.0,1,1,220,0.0,79,83,16,16,99.691,model2.5_quantizedinputs_4w0i_pareto_roc_selected,model2.5_quantizedinputs_4w0i_pareto_roc_selected_051,Model 2.5,4,110357
126,1753,0.949332980732238,0.8349330745205463,0.8688339214067805,0.8389978865638067,0.8037558089260176,,,,,46832,46832,53200,88.0,52584,52584,106400,49.0,92,92,280,32.0,1,1,220,0.0,80,84,20,20,99.691,model2.5_quantizedinputs_4w0i_pareto_roc_selected,model2.5_quantizedinputs_4w0i_pareto_roc_selected_126,Model 2.5,4,99416
