trial_id,hp_tag,parameters,auc,primary_metric,bkg_rej_@95%,bkg_rej_@98%,bkg_rej_@99%
hp4q_trial_008,hp4q,463,0.9476124579048766,0.8436030005351619,0.8685224994784438,0.846472012843887,0.8211017079829837
hp5q_trial_002,hp5q,415,0.9483657060807519,0.8434823623318548,0.8693962949861069,0.8463268841782543,0.8205695695423307
hp5q_trial_007,hp5q,595,0.9488002316394346,0.8434191708920273,0.869160460904454,0.8464085190526727,0.8200858073235553
hp4q_trial_000,hp4q,391,0.9475972966750856,0.8428921724249488,0.8684590056872296,0.8456556640997034,0.8204365349321675
hp5q_trial_004,hp5q,501,0.9474924589524139,0.842449832346156,0.8672737882512298,0.845574029225285,0.8191031653166677
hp5q_trial_000,hp5q,337,0.9470224804011429,0.8420963835750632,0.8665844270894748,0.8447365158840301,0.8206118987364736
hp4q_trial_005,hp4q,325,0.9470105130167542,0.8414523751213185,0.8671921533768114,0.8443585766506119,0.8184107806410454
hp5q_trial_006,hp5q,267,0.9476773113910494,0.8394523206980689,0.8647672952551997,0.842535397788602,0.8160040636026378
hp3q_trial_005,hp3q,281,0.946628167711278,0.8394517159952954,0.8651936107104955,0.8429012429665509,0.8145074242383012
hp3q_trial_001,hp3q,235,0.9464365090137458,0.8388349191663568,0.8646977544362507,0.8428468197169386,0.8118618496043732
hp3q_trial_007,hp3q,193,0.946732123352911,0.8383463193253937,0.8650817406974037,0.8432973232831733,0.8076500947871598
hp4q_trial_002,hp4q,265,0.9466370489935878,0.8380351997484436,0.8657771488868934,0.8418006839188368,0.8109850305828428
hp3q_trial_003,hp3q,331,0.9460529041873595,0.8378903734341977,0.86545060938922,0.8415376382123776,0.811344828733057
hp5q_trial_008,hp5q,205,0.943501508996859,0.8371320761562673,0.8637755827067101,0.841156675465092,0.8097242253001593
hp4q_trial_007,hp4q,211,0.946363102841373,0.8370540694984896,0.865556432374577,0.8416495082254695,0.806718852516017
hp4q_trial_003,hp4q,163,0.9448362312545451,0.8311261682101705,0.8622608022591696,0.8344535452211852,0.8039130316471197
hp3q_trial_002,hp3q,155,0.9447221468172311,0.8297256765868156,0.8603257533840679,0.8329720234261855,0.8030634242503953
hp5q_trial_005,hp5q,105,0.9375540576852974,0.8263097106194878,0.8567307953957931,0.8309674337321348,0.7947971373370704
hp3q_trial_000,hp3q,121,0.936984275564092,0.8226034873208946,0.8518206088752226,0.8275024868401559,0.7908484282263161
hp4q_trial_009,hp4q,121,0.9409482448445646,0.8204223244169908,0.853831245597008,0.8255946495898603,0.7856147257219395
hp2q_trial_009,hp2q,199,0.9410867912853766,0.8151202904992123,0.8503330400524882,0.8199497491995247,0.7806108102714813
hp5q_trial_001,hp5q,151,0.9263095351631518,0.800536673711454,0.8364006881517562,0.8052131426100786,0.7662370253461168
hp2q_trial_001,hp2q,145,0.9298248307952559,0.7894715200111265,0.8283279061259414,0.7926262543803158,0.7590017566615569
hp2q_trial_000,hp2q,171,0.9225969095270252,0.7752083956933069,0.8118920847430466,0.7777626602084411,0.7479266253654673
hp3q_trial_004,hp3q,65,0.9182796353638978,0.7450394719735381,0.7893608594035817,0.7481654829609876,0.7119377398024436
hp2q_trial_005,hp2q,99,0.9060104930497845,0.7401389606973432,0.7726710628558298,0.7434427543001926,0.7123096320081272
hp2q_trial_006,hp2q,79,0.9055471145449536,0.7359689303714991,0.7677699468768613,0.7383904626278568,0.7115930592215661
hp5q_trial_009,hp5q,67,0.8628558197754292,0.7176951149086445,0.7498919093792424,0.7256614692463287,0.673714477491451
hp2q_trial_004,hp2q,61,0.8907899117945108,0.7111207863554865,0.7379490296032243,0.7136036959433514,0.6890164811740909
hp2q_trial_003,hp2q,121,0.8941483971075714,0.7051442064939031,0.7362044621017654,0.7071636114059037,0.6825461614979698
hp5q_trial_003,hp5q,37,0.8331320924231139,0.6430880961235529,0.6759881599196955,0.6448157319473546,0.6205913388421755
hp4q_trial_001,hp4q,31,0.8332578157126982,0.6404567320048012,0.6816905070735106,0.6413114793751001,0.6168482286744008
hp2q_trial_002,hp2q,45,0.8622075434848769,0.6053885064143847,0.6550291617912505,0.6033935919647095,0.5875503792998147
hp2q_trial_007,hp2q,31,0.8501718455144682,0.559190726278266,0.6214711813775734,0.5596856754983507,0.5263181764583162
hp3q_trial_009,hp3q,25,0.8455442259329304,0.5510465893251819,0.6231552786016853,0.5526862408954438,0.5092534641910136
hp2q_trial_008,hp2q,19,0.8375222662251283,0.4278616802875967,0.5122920956276966,0.4343217200165689,0.36303633356614395
hp4q_trial_004,hp4q,85,0.5,0.0,0.0,0.0,0.0
hp4q_trial_006,hp4q,55,0.5,0.0,0.0,0.0,0.0
hp3q_trial_008,hp3q,43,0.5,0.0,0.0,0.0,0.0
