fpr,tpr,thresholds
0.0,0.0,inf
3.0235138673463526e-06,0.0,0.9609375
3.0235138673463526e-06,1.5117569336731762e-05,0.953125
3.0235138673463526e-06,3.9305680275502586e-05,0.9453125
3.0235138673463526e-06,6.047027734692705e-05,0.9375
6.047027734692705e-06,0.0001209405546938541,0.9296875
9.070541602039058e-06,0.00041724491369379667,0.921875
1.5117569336731762e-05,0.0011700998666630384,0.9140625
9.675244375508328e-05,0.003362147420489144,0.90625
0.00019350488751016656,0.006143780178447788,0.8984375
0.0003960803166223722,0.011595175681273263,0.890625
0.0006561025092141585,0.020082179106914472,0.8828125
0.0010914885061120332,0.03126918041609598,0.875
0.0016054858635609131,0.04556737749477688,0.8671875
0.0023462467610607697,0.06401081208558963,0.859375
0.003616122585346238,0.09480227731064489,0.8515625
0.005998651512815163,0.1471030201880021,0.84375
0.009436386779987966,0.20676299581848032,0.8359375
0.01348789536223208,0.26700953313922376,0.828125
0.017636156388231274,0.32217354364895795,0.8203125
0.02218956827245488,0.3791788741039061,0.8125
0.02663413365745402,0.433187902316314,0.8046875
0.03129336852703475,0.48291563489255945,0.796875
0.03561699335734003,0.5261156010292041,0.7890625
0.04010086442261467,0.5662315830211555,0.78125
0.04448193601639954,0.6035084854916687,0.7734375
0.04881463138830686,0.6368155142543561,0.765625
0.052672635083040806,0.6662947744609831,0.7578125
0.05629178118225439,0.6924995691492739,0.75
0.06013769082151895,0.7164941752005346,0.7421875
0.06390801261409985,0.7394819511339689,0.734375
0.06735179490900735,0.7594643542832609,0.7265625
0.07096791749435359,0.7780196588871655,0.71875
0.0744842641220774,0.7955409217484376,0.7109375
0.07797339912499508,0.8117409090496793,0.703125
0.08152300440525971,0.826525891861003,0.6953125
0.08507865671325901,0.8401196102085923,0.6875
0.08837126331479919,0.852540205175651,0.6796875
0.09168805802727814,0.8641081692321182,0.671875
0.09477808919970611,0.8747630321006468,0.6640625
0.09797394335749121,0.8842598891579816,0.65625
0.10104885696058245,0.8927771277222963,0.6484375
0.10426587571543897,0.9005082526811009,0.640625
0.10725613093024451,0.907728403796324,0.6328125
0.1104580321157643,0.9143468756519452,0.625
0.11338479353935557,0.9203183155399542,0.6171875
0.11624503765786522,0.9260478743185756,0.609375
0.11901155284648714,0.9307373443268298,0.6015625
0.12182342074311923,0.9352151683643697,0.59375
0.12445992483544525,0.9389522315044098,0.5859375
0.1270964289277713,0.9426288243671029,0.578125
0.12937313486988308,0.9458186314971534,0.5703125
0.13196730976806625,0.9487967926564895,0.5625
0.13444659113929025,0.9515602843312441,0.5546875
0.13676562627554492,0.954081894896611,0.546875
0.13902419113445263,0.9563072011029778,0.5390625
0.14113158029999304,0.9584659900042631,0.53125
0.14326013406260488,0.9604615091567118,0.5234375
