model_type,weight_bits,integer_bits,test_accuracy,test_loss,roc_auc,bkg_rej_90pct,bkg_rej_98pct,bkg_rej_99pct,model_path
quantized,8,0,0.7183294296264648,0.6466436386108398,0.7696077884341076,0.40866720485213504,0.1638956162072437,0.11816194544976277,results/Model1_results_20260810_160642/models/Model1_quantized_8bit.h5
quantized,4,0,0.6234697103500366,0.6706013679504395,0.6596295593265171,0.2518435875806144,0.14303337052255394,0.1255937425357001,results/Model1_results_20260810_160642/models/Model1_quantized_4bit.h5
quantized,6,0,0.6146214008331299,0.6596710681915283,0.6860124977677997,0.29199282822510664,0.12268512219531291,0.0869592823387485,results/Model1_results_20260810_160642/models/Model1_quantized_6bit.h5
non_quantized,N/A,N/A,0.6145367622375488,0.6560139060020447,0.6749183616638725,0.27846260366873177,0.09739947572269536,0.0661937890978137,results/Model1_results_20260810_160642/models/Model1_Unquantized.h5
quantized,16,0,0.5509325861930847,0.6816556453704834,0.5775934394848685,0.22980821851539424,0.08446790691205508,0.059463447229100685,results/Model1_results_20260810_160642/models/Model1_quantized_16bit.h5
quantized,2,0,0.5,0.689058780670166,0.564582329261903,0.19971820850756328,0.028569182532555693,0.0018292258897445457,results/Model1_results_20260810_160642/models/Model1_quantized_2bit.h5
quantized,3,0,0.47422152757644653,0.6957967281341553,0.515819882386805,0.16225384817727462,0.014694277395303268,0.008441650717631033,results/Model1_results_20260810_160642/models/Model1_quantized_3bit.h5
