trial_id,parameters,auc,primary_metric
013,57077,0.9799496081627286,0.9233775068709352
038,39719,0.979821058009582,0.9231740243876627
079,36473,0.9802913685805058,0.9228722777037016
009,20755,0.9787883080349812,0.9207585391590397
032,14241,0.977329465624439,0.9162117790053245
012,12343,0.9768790074007194,0.9151417574476705
064,9729,0.9768789870468664,0.91456124278514
014,9313,0.9750616096453916,0.9103110893418112
043,6909,0.9748949042045989,0.9091902727511859
050,6237,0.9740145647207208,0.9069492442727088
021,2221,0.9666395087827967,0.8962438887225956
084,1337,0.9687408300868138,0.891010186218219
024,1231,0.9674674345863612,0.8880495614393136
057,1145,0.95850773214996,0.856898298064044
