trial_id,parameters,auc,primary_metric
115,59269,0.9763266722839968,0.8964053443631119
004,40249,0.9755651587206902,0.8960667108099691
014,36393,0.9750640968651768,0.8933001956213472
016,23979,0.9752124206697532,0.8922842949619189
090,16901,0.9737366304611924,0.8881904571855319
101,16095,0.9729113486336183,0.8850369322218896
099,15541,0.9743188003952019,0.8828509316957982
106,12427,0.973142354176213,0.8822915816303392
100,11225,0.9721081390898769,0.8820406299793494
074,10115,0.9707501732442358,0.879262020735258
073,9839,0.9704583455078706,0.8763352593116669
023,5237,0.9669496793217085,0.8737773665798918
005,5161,0.9677387567279188,0.8665148862705259
097,3909,0.9683114812538253,0.8614414300011187
072,3095,0.950998710969605,0.8279197317538497
108,1211,0.9269994607432324,0.742136596309499
