fpr,tpr,thresholds
0.0,0.0,inf
2.7211624806117174e-05,0.0004656211355713383,0.99609375
4.535270801019529e-05,0.0013938398928466686,0.9921875
8.163487441835153e-05,0.003328888767948334,0.98828125
0.00020862245684689833,0.0068784940482129525,0.984375
0.00037793923341829407,0.011202118878518236,0.98046875
0.0005442324961223435,0.01661420870106821,0.9765625
0.0007165727865610855,0.02152137170777134,0.97265625
0.0009735714652855255,0.027704457566494627,0.96875
0.0011670763527956921,0.03385428477267711,0.96484375
0.00147547476726502,0.04241989955886933,0.9609375
0.0018987667086935093,0.05118808977417375,0.95703125
0.0023915994690709647,0.0628800178992021,0.953125
0.002926761423591269,0.07488639146643446,0.94921875
0.0036040285298768525,0.09106219065673744,0.9453125
0.0043568834828460945,0.10720170768063228,0.94140625
0.0052276554766418435,0.12756507357720998,0.9375
0.006180062344855945,0.14867827091288954,0.93359375
0.007474126280080183,0.175333569167415,0.9296875
0.008647249660610569,0.1997091379659613,0.92578125
0.01012877145561028,0.22657608219120098,0.921875
0.011468188098844716,0.24940663540353328,0.91796875
0.013037391795997472,0.274117814241355,0.9140625
0.01444030223044618,0.2950435537172591,0.91015625
0.015973223761190782,0.31797992991494856,0.90625
0.017312640404425216,0.33711272566751627,0.90234375
0.01870950381113923,0.3579175245887265,0.8984375
0.019997520718628776,0.3748945549538763,0.89453125
0.0213883370976081,0.3929751678806075,0.890625
0.02266123643576091,0.40837997103473717,0.88671875
0.024036935245403502,0.4246494991549279,0.8828125
0.02519191754272981,0.43869976809648636,0.87890625
0.026479934450219355,0.4537780317529426,0.875
0.027692363511025244,0.4672991857677155,0.87109375
0.02904689772359641,0.4826435186444983,0.8671875
0.030283514895341066,0.49594697966082224,0.86328125
0.031628978566310195,0.5114999349944519,0.859375
0.03300165386208544,0.524700596539286,0.85546875
0.034471081601615765,0.5396307080162424,0.8515625
0.03576514553684001,0.5527255465757194,0.84765625
0.03720433813769687,0.5670751433901452,0.84375
0.03850747261452315,0.5791994339982041,0.83984375
0.0398741008825637,0.5921037911840382,0.8359375
0.041077459401767547,0.6035447676580769,0.83203125
0.04261038093251215,0.6161014207491663,0.828125
0.04382583350718538,0.6266262725213989,0.82421875
0.045407131259807526,0.6386235755470292,0.8203125
0.04679190061105215,0.6487069942946293,0.81640625
0.04822504618417432,0.6601842529350761,0.8125
0.04952213363326591,0.6695510988961151,0.80859375
0.05104598462240847,0.6801152563486232,0.8046875
0.0523854012656429,0.6891283511871827,0.80078125
0.053776217644622225,0.6993236399478746,0.796875
0.05512168131559136,0.7080978771909138,0.79296875
0.05653668580550945,0.7176582280394629,0.7890625
0.05781260865752961,0.7258791622447777,0.78515625
0.05923063666131505,0.7348620219446637,0.78125
0.060530747624273976,0.7423391717386112,0.77734375
0.06199110482220227,0.7505359178329871,0.7734375
0.06326400416035508,0.7573206829513124,0.76953125
0.06465179702546706,0.764589210288413,0.765625
0.06584003797533418,0.7709597540069117,0.76171875
0.06725504246525227,0.7779168594156757,0.7578125
0.0684765420676602,0.7834680308761236,0.75390625
0.06980688816929259,0.7897508926924693,0.75
0.07093768235568013,0.7951357708902131,0.74609375
0.07243129820614923,0.801149539972365,0.7421875
0.0735590688786694,0.8063046311161907,0.73828125
0.07486825038323039,0.8119888371868017,0.734375
0.07609277349950566,0.8166994717921274,0.73046875
0.07732939067125032,0.8219694564629121,0.7265625
0.0783725029554848,0.8263777396815031,0.72265625
0.07981774258407637,0.8313121143130123,0.71875
0.0811450651718414,0.8355238691302258,0.71484375
0.08233632963557587,0.8402465977910207,0.7109375
0.08343084165555525,0.8444069528724893,0.70703125
0.08479746992359581,0.8487880244662742,0.703125
0.0859191935683813,0.8525825343697939,0.69921875
0.0871195285737178,0.8566824191739155,0.6953125
0.08821706410756452,0.8601382955242924,0.69140625
0.0894536812793092,0.8639025702891386,0.6875
0.09060564006276815,0.8672889058205665,0.68359375
0.09175759884622711,0.8706812883797291,0.6796875
0.09279466410272691,0.8738710955097796,0.67578125
0.09404639884380829,0.8771697491390544,0.671875
0.09505927598936932,0.8798757940503295,0.66796875
0.09613564692614462,0.8830504836110431,0.6640625
0.09728458219573624,0.8855962822873487,0.66015625
0.09839118827118501,0.8888042305006032,0.65625
0.09938290081967462,0.8912442061915516,0.65234375
0.10048648338125603,0.8941165443655308,0.6484375
0.10139353754145994,0.896677460611173,0.64453125
0.10260596660226583,0.8992897765925604,0.640625
0.10351906779020442,0.901766034449917,0.63671875
0.10474661442034704,0.9043148566400899,0.6328125
0.10574135048270399,0.9064131752640283,0.62890625
0.10694470900190783,0.9089438563709973,0.625
0.10783966910664236,0.911063339592007,0.62109375
0.10890696950181562,0.9134912212274862,0.6171875
0.10990775259190726,0.9155834928236898,0.61328125
0.11113529922204989,0.9178178695716588,0.609375
0.11222678772816191,0.9196803541139441,0.60546875
0.11333641731747802,0.9217907667933519,0.6015625
0.11434627094917171,0.9236320867385658,0.59765625
0.11540752431661028,0.9254915477669838,0.59375
0.11642342497603865,0.9272542563516467,0.58984375
0.11751188996828334,0.9292890811843708,0.5859375
0.11848546143356886,0.9308734024508604,0.58203125
0.11963439670316048,0.9327963572704926,0.578125
0.12059285059910928,0.9343383493428392,0.57421875
0.12175085641030292,0.9359287176370634,0.5703125
0.12270326327851702,0.9375281564728897,0.56640625
0.12371009339634337,0.939381570473573,0.5625
0.12461110052881258,0.940760292797083,0.55859375
0.12563607172984298,0.942253908647552,0.5546875
0.1267124426666183,0.9437354304425517,0.55078125
0.12780695468659767,0.9451988111543473,0.546875
0.12882285534602606,0.9466198626720002,0.54296875
0.129896202768934,0.9481013844669999,0.5390625
0.130821398012342,0.9493319546110098,0.53515625
0.13201870950381114,0.9506623007126422,0.53125
0.1330467042187089,0.9518807768011828,0.52734375
0.134077722447474,0.9531506526254683,0.5234375
0.13502710580182076,0.9542512116731824,0.51953125
0.13603091240577975,0.9553638647763658,0.515625
0.13704983657907546,0.9563646478664575,0.51171875
0.13803852561369773,0.9575528888163246,0.5078125
0.13902721464832,0.9585657659618856,0.50390625
0.1400461388216157,0.9596663250095997,0.5
0.14102878082850326,0.9606278024194158,0.49609375
0.14199328175218676,0.9616285855095075,0.4921875
0.14288521834305393,0.9625447102113134,0.48828125
0.14391321305795168,0.9634850230240581,0.484375
0.14488376100936987,0.9643981242119967,0.48046875
0.1459298968074717,0.9654382129823639,0.4765625
0.1468823036756858,0.966242467671078,0.47265625
0.14790727487671623,0.9671737099422206,0.46875
0.14885363471719562,0.967944705978394,0.46484375
0.14992698214010358,0.9687489606671081,0.4609375
0.15083101278644015,0.9694927450784753,0.45703125
0.1519950656253685,0.970257694086914,0.453125
0.15291723735490914,0.9709319376793322,0.44921875
0.15399058477781707,0.9716575810074953,0.4453125
0.15490670947962304,0.9722562367532299,0.44140625
0.1560193625828065,0.9730090917061991,0.4375
0.1569596753955512,0.9736289120490051,0.43359375
0.15802697579072447,0.9742094267115357,0.4296875
0.159079158616561,0.9748141294850049,0.42578125
0.16025832902482606,0.9755034906467599,0.421875
0.1611805007543667,0.9760840053092904,0.41796875
0.16222058952473387,0.9765768380696678,0.4140625
0.16313369071267245,0.9771422351628616,0.41015625
0.16432193166253958,0.9777015852283206,0.40625
0.16525317393368225,0.978167206363892,0.40234375
0.16637187406460038,0.978638874527198,0.3984375
0.16737568066855937,0.9790168137606163,0.39453125
0.16852763945201835,0.9794310351604427,0.390625
0.16944074063995695,0.9798573506157386,0.38671875
0.170541299687671,0.9803169247235752,0.3828125
0.17152998872229328,0.9806978874708608,0.37890625
0.1725942656035992,0.9811332734677588,0.375
0.17352248436087453,0.981502142159575,0.37109375
0.17464723151952735,0.9819496222119423,0.3671875
0.17554219162426188,0.9823063968482891,0.36328125
0.1765218101172821,0.9826692185123707,0.359375
0.17748328752709824,0.9830108755793808,0.35546875
0.17855965846387353,0.9833313680493195,0.3515625
0.17952415938755703,0.983648837005391,0.34765625
0.18063681249074048,0.9840056116417378,0.34375
0.18161945449762806,0.9842414457233908,0.33984375
0.18265651975412786,0.9845407735962581,0.3359375
0.18355450337272972,0.9848431249829928,0.33203125
0.18467320350364788,0.9851152412310539,0.328125
0.1855953752331885,0.9853964280207171,0.32421875
0.18666872265609646,0.9856534266994416,0.3203125
0.18767252926005545,0.9858983313226967,0.31640625
0.1887972764187083,0.9861583535152884,0.3125
0.18977084788399382,0.9863579054305333,0.30859375
0.1908593128762385,0.9866632803311353,0.3046875
0.19178753163351384,0.9868719027879821,0.30078125
0.19289716122282996,0.9870926193002985,0.296875
0.1937800272720951,0.9872679831046045,0.29296875
0.19488058631980915,0.9874463704227779,0.2890625
0.19580880507708448,0.987621734227084,0.28515625
0.1968216822226455,0.9878182626284615,0.28125
0.1977801361185943,0.9879966499466349,0.27734375
0.19891697733271654,0.9881780607786758,0.2734375
0.19989659582573677,0.988311095388839,0.26953125
0.2010546016369304,0.9884562240544716,0.265625
0.2020523612131547,0.9886194938033084,0.26171875
0.20317710837180755,0.9888039281492165,0.2578125
0.20415067983709306,0.9888946335652369,0.25390625
0.20531170916215408,0.9890216211476653,0.25
0.20610084628153147,0.9891486087300939,0.24609375
0.20721954641244963,0.9893209490205327,0.2421875
0.20819916490546983,0.9894509601168285,0.23828125
0.20924530070357167,0.9895356185051143,0.234375
0.2103095775848776,0.9896414414904714,0.23046875
0.21135571338297943,0.9897835466422367,0.2265625
0.21223555591837723,0.9899196047662673,0.22265625
0.21333611496609128,0.9900193807238897,0.21875
0.2143217804868462,0.9901312507369815,0.21484375
0.21539512790975415,0.990240097236206,0.2109375
0.21637172288890702,0.9903519672492977,0.20703125
0.21739669408993745,0.9904970959149304,0.203125
0.21836119501362092,0.9905878013309508,0.19921875
0.21939221324238603,0.9906815302608385,0.1953125
0.22038392579087565,0.9907813062184609,0.19140625
0.22146634375538563,0.9908931762315528,0.1875
0.22256387928923235,0.9909596935366344,0.18359375
0.22377933186390558,0.9910383048971854,0.1796875
0.22471964467665032,0.9911108692300017,0.17578125
0.22587462697397662,0.9912136687014915,0.171875
0.22698728007716007,0.9913013506036445,0.16796875
0.2282027326518333,0.9913678679087261,0.1640625
0.22921560979739433,0.9914162441306037,0.16015625
