trial_id,hp_tag,parameters,auc,primary_metric
hp5q_trial_007,hp5q,595,0.9488002316394346,0.8434191708920273
hp5q_trial_004,hp5q,501,0.9474924589524139,0.842449832346156
hp3q_trial_005,hp3q,281,0.946628167711278,0.8394517159952954
hp4q_trial_002,hp4q,265,0.9466370489935878,0.8380351997484436
hp5q_trial_008,hp5q,205,0.943501508996859,0.8371320761562673
hp3q_trial_000,hp3q,121,0.936984275564092,0.8226034873208946
hp2q_trial_005,hp2q,99,0.9060104930497845,0.7401389606973432
hp2q_trial_006,hp2q,79,0.9055471145449536,0.7359689303714991
hp5q_trial_009,hp5q,67,0.8628558197754292,0.7176951149086445
hp2q_trial_002,hp2q,45,0.8622075434848769,0.6053885064143847
hp2q_trial_007,hp2q,31,0.8501718455144682,0.559190726278266
