trial_id,hp_tag,parameters,auc,primary_metric
hp4q_trial_008,hp4q,463,0.9476124579048766,0.8436030005351619
hp5q_trial_002,hp5q,415,0.9483657060807519,0.8434823623318548
hp4q_trial_000,hp4q,391,0.9475972966750856,0.8428921724249488
hp5q_trial_000,hp5q,337,0.9470224804011429,0.8420963835750632
hp4q_trial_005,hp4q,325,0.9470105130167542,0.8414523751213185
hp5q_trial_006,hp5q,267,0.9476773113910494,0.8394523206980689
hp3q_trial_001,hp3q,235,0.9464365090137458,0.8388349191663568
hp3q_trial_007,hp3q,193,0.946732123352911,0.8383463193253937
hp4q_trial_003,hp4q,163,0.9448362312545451,0.8311261682101705
hp3q_trial_002,hp3q,155,0.9447221468172311,0.8297256765868156
hp5q_trial_005,hp5q,105,0.9375540576852974,0.8263097106194878
hp3q_trial_004,hp3q,65,0.9182796353638978,0.7450394719735381
hp2q_trial_004,hp2q,61,0.8907899117945108,0.7111207863554865
hp5q_trial_003,hp5q,37,0.8331320924231139,0.6430880961235529
hp4q_trial_001,hp4q,31,0.8332578157126982,0.6404567320048012
hp3q_trial_009,hp3q,25,0.8455442259329304,0.5510465893251819
hp2q_trial_008,hp2q,19,0.8375222662251283,0.4278616802875967
