trial_id,parameters,auc,primary_metric
1051,415,0.9480473284506226,0.8434164497295467
1041,391,0.9486723721460376,0.8412198669049195
1047,325,0.9464884405184633,0.8375774397489275
1052,595,0.947367087181592,0.837393307754406
1035,281,0.945596564897738,0.837303207041159
1050,501,0.9464288730782396,0.836791628494804
1044,265,0.9460698650579173,0.8362177655627817
1046,163,0.9403473735867532,0.8342533886031668
1031,235,0.94549325563834,0.8277138304594834
1020,171,0.9447650587906757,0.8271928790201396
1021,145,0.944256463623663,0.8262365415838979
1036,91,0.9431600066154733,0.8233073613492129
1023,121,0.9268219057618848,0.7603021699759025
1025,99,0.9173499791254822,0.7601373884701323
1043,85,0.8979957926146561,0.7168146676704733
1042,55,0.9041873906941273,0.7105874385092867
1038,65,0.8953947361990574,0.7060352360306101
1022,45,0.9022936762111858,0.7010316229315385
1027,31,0.8630395947991165,0.5674766660317287
1049,31,0.8298118711740275,0.3928448544329249
1028,19,0.5092906599222551,0.01999993952972262
1034,25,0.46728778174122265,0.009702153648927701
