model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_ff,dsp,bram,hls_source,fullPath
model1,model1_4w6i,hp3q_trial_006,235.0,0.9249380805820416,0.7170595722937283,6401,4993,11394,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp3q_model_trial_006.h5
model1,model1_4w6i,hp4q_trial_006,121.0,0.9123092667796532,0.6789481799958276,4728,3942,8670,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp4q_model_trial_006.h5
model1,model1_4w6i,hp4q_trial_003,163.0,0.905572355662672,0.6584517794890866,5214,4434,9648,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp4q_model_trial_003.h5
model1,model1_4w6i,hp3q_trial_008,121.0,0.9189085294798742,0.6710628558297882,4007,3476,7483,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp3q_model_trial_008.h5
model1,model1_4w6i,hp3q_trial_007,91.0,0.887792023784351,0.6679335189770848,3687,3117,6804,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp3q_model_trial_007.h5
model1,model1_4w6i,hp2q_trial_005,99.0,0.8978741739196837,0.6348472067267137,3413,2835,6248,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp2q_model_trial_005.h5
model1,model1_4w6i,hp4q_trial_009,85.0,0.8405670320104542,0.5694092960957365,3729,3301,7030,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp4q_model_trial_009.h5
model1,model1_4w6i,hp4q_trial_002,55.0,0.8161392349696828,0.5399481769723137,2954,2636,5590,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp4q_model_trial_002.h5
model1,model1_4w6i,hp2q_trial_006,79.0,0.8573291703378914,0.5076630958967894,2874,2517,5391,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp2q_model_trial_006.h5
model1,model1_4w6i,hp2q_trial_004,61.0,0.8584960926266938,0.4889324274885787,2674,2290,4964,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp2q_model_trial_004.h5
model1,model1_4w6i,hp2q_trial_002,45.0,0.8217202626205626,0.4172358431521946,2226,1962,4188,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp2q_model_trial_002.h5
model1,model1_4w6i,hp5q_trial_005,37.0,0.7815369484700827,0.3858940984032823,2505,2422,4927,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp5q_model_trial_005.h5
model1,model1_4w6i,hp2q_trial_007,31.0,0.8296201966523233,0.374831061162662,1677,1596,3273,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp2q_model_trial_007.h5
model1,model1_4w6i,hp2q_trial_008,19.0,0.8235910679074565,0.3050725492152469,1346,1298,2644,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp2q_model_trial_008.h5
model1,model1_4w6i,hp3q_trial_002,25.0,0.5,0.0,1766,1677,3443,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/4w0i_i6_sigmoid/hp3q_model_trial_002.h5
model1,model1_6w8i,hp5q_trial_000,501.0,0.9467375435660828,0.8126177280712098,10970,9697,20667,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp5q_model_trial_000.h5
model1,model1_6w8i,hp5q_trial_004,595.0,0.9466733943515554,0.8132012662476076,13632,9458,23090,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp5q_model_trial_004.h5
model1,model1_6w8i,hp5q_trial_005,267.0,0.942669570184164,0.8088867119589044,8739,6157,14896,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp5q_model_trial_005.h5
model1,model1_6w8i,hp3q_trial_003,281.0,0.944157375386754,0.8057815632171397,6907,6020,12927,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp3q_model_trial_003.h5
model1,model1_6w8i,hp3q_trial_008,193.0,0.9445982833523752,0.7989484218769369,5455,4964,10419,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp3q_model_trial_008.h5
model1,model1_6w8i,hp3q_trial_004,235.0,0.944958933992152,0.7997375589963143,6951,5077,12028,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp3q_model_trial_004.h5
model1,model1_6w8i,hp3q_trial_006,121.0,0.9388993287785602,0.7975938876643658,4149,3514,7663,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp3q_model_trial_006.h5
model1,model1_6w8i,hp2q_trial_009,199.0,0.943368627550238,0.7983679072144064,5130,4001,9131,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp2q_model_trial_009.h5
model1,model1_6w8i,hp3q_trial_001,155.0,0.9388890645906776,0.7920396926900506,5236,3891,9127,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp3q_model_trial_001.h5
model1,model1_6w8i,hp4q_trial_000,121.0,0.937537838567093,0.7729734142425644,4827,4007,8834,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp4q_model_trial_000.h5
model1,model1_6w8i,hp4q_trial_009,85.0,0.9354657172485852,0.7884175230769697,3778,3362,7140,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp4q_model_trial_009.h5
model1,model1_6w8i,hp5q_trial_008,105.0,0.9362614266878204,0.7746061117309314,4601,4018,8619,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp5q_model_trial_008.h5
model1,model1_6w8i,hp3q_trial_000,91.0,0.9214100097877284,0.7440897862678046,3855,3166,7021,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp3q_model_trial_000.h5
model1,model1_6w8i,hp2q_trial_004,61.0,0.8822279981596747,0.6729616225384818,2711,2348,5059,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp2q_model_trial_004.h5
model1,model1_6w8i,hp2q_trial_006,79.0,0.8880494867896274,0.6688133615124825,2958,2549,5507,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp2q_model_trial_006.h5
model1,model1_6w8i,hp5q_trial_001,67.0,0.8394530598560263,0.6410454101547737,3848,3217,7065,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp5q_model_trial_001.h5
model1,model1_6w8i,hp3q_trial_009,65.0,0.8351328839364829,0.6314638947091531,3022,2696,5718,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp3q_model_trial_009.h5
model1,model1_6w8i,hp2q_trial_002,45.0,0.8534839025694644,0.5528857928106887,2247,2018,4265,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp2q_model_trial_002.h5
model1,model1_6w8i,hp3q_trial_005,43.0,0.8392737985471621,0.5091415941779217,2602,2180,4782,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp3q_model_trial_005.h5
model1,model1_6w8i,hp2q_trial_008,19.0,0.7808397630276929,0.5144901902092573,1377,1340,2717,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp2q_model_trial_008.h5
model1,model1_6w8i,hp2q_trial_007,31.0,0.854693929802508,0.4904774430747927,1681,1637,3318,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp2q_model_trial_007.h5
model1,model1_6w8i,hp3q_trial_002,25.0,0.5,0.0,1847,1709,3556,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp3q_model_trial_002.h5
model1,model1_8w10i,hp4q_trial_007,391.0,0.9480106694019824,0.8216761756177795,9361,7770,17131,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp4q_model_trial_007.h5
model1,model1_8w10i,hp4q_trial_006,265.0,0.9483342619652744,0.8197864794506879,7538,6586,14124,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp4q_model_trial_006.h5
model1,model1_8w10i,hp5q_trial_002,337.0,0.9484628475742566,0.8191273534276065,9311,8082,17393,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp5q_model_trial_002.h5
model1,model1_8w10i,hp5q_trial_003,267.0,0.946192296362065,0.816983682095658,9518,6371,15889,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp5q_model_trial_003.h5
model1,model1_8w10i,hp4q_trial_002,211.0,0.9452101569303348,0.8128263505280566,7600,5211,12811,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp4q_model_trial_002.h5
