model,run_name,trial_id,parameters,auc,bkg_rej_@99%,luts,registers,luts_plus_ff,dsp,bram,hls_source,fullPath
model2_5,model25_6bit,033,489.0,0.9556920642031816,0.8420607061114286,30617,28845,59462,41,20,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model2.5_fin_results/model2.5_6bit_normalised_selected/model_trial_033.h5
model2_5,model25_10bit,033,489.0,0.9567331116523564,0.8377098696563172,28865,28601,57466,41,24,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model2.5_fin_results/model2.5_10bit_normalised_selected/model_trial_033.h5
model2_5,model25_8bit,051,391.0,0.9520147470303766,0.8280830015026864,27137,25894,53031,41,20,csynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model2.5_fin_results/model2.5_8bit_normalised_selected/model_trial_051.h5
model1,model1_8w10i,hp4q_trial_007,391.0,0.9480106694019824,0.8216761756177795,9361,7770,17131,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp4q_model_trial_007.h5
model1,model1_8w10i,hp4q_trial_006,265.0,0.9483342619652744,0.8197864794506879,7538,6586,14124,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp4q_model_trial_006.h5
model1,model1_10w12i,hp3q_trial_005,281.0,0.946628167711278,0.8145074242383012,7358,6447,13805,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/10w0i_i12_sigmoid/hp3q_model_trial_005.h5
model1,model1_8w10i,hp4q_trial_002,211.0,0.9452101569303348,0.8128263505280566,7600,5211,12811,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp4q_model_trial_002.h5
model1,model1_8w10i,hp5q_trial_001,205.0,0.9393380025374588,0.8116985798555365,6946,5546,12492,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp5q_model_trial_001.h5
model1,model1_8w10i,hp4q_trial_008,163.0,0.9452931797976464,0.809494438246241,5660,4581,10241,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/8w0i_i10_sigmoid/hp4q_model_trial_008.h5
model1,model1_6w8i,hp2q_trial_009,199.0,0.943368627550238,0.7983679072144064,5130,4001,9131,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp2q_model_trial_009.h5
model1,model1_6w8i,hp3q_trial_006,121.0,0.9388993287785602,0.7975938876643658,4149,3514,7663,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp3q_model_trial_006.h5
model1,model1_6w8i,hp4q_trial_009,85.0,0.9354657172485852,0.7884175230769697,3778,3362,7140,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp4q_model_trial_009.h5
model1,model1_6w8i,hp3q_trial_000,91.0,0.9214100097877284,0.7440897862678046,3855,3166,7021,0,0,vsynth,/home/dabadjiev/smartpixels_ml_dsabadjiev/Muon_Collider_Smart_Pixels/eric/Final_Results/model1_fin_results/6w0i_i8_sigmoid/hp3q_model_trial_000.h5
