model,trial_id,nodes,parameters,val_accuracy,xz_units,yl_units,merged_units1,merged_units2,merged_units3,dropout_rate,learning_rate
model2_hyperparameter_search,060,249,14417,0.9460742473602295,16,8,64,112,48,0.1,0.0018188525449890844
model2_hyperparameter_search,061,369,28529,0.9349470138549805,32,40,224,48,24,0.1,0.00011307631534561521
model2_hyperparameter_search,062,321,22497,0.9396573603153229,48,32,160,48,32,0.1,0.0001231642465909657
model2_hyperparameter_search,063,369,28689,0.9475391209125519,16,64,96,128,64,0.1,0.009729150140839459
model2_hyperparameter_search,064,177,4953,0.9442936480045319,56,24,32,32,32,0.1,0.0009596496158057221
model2_hyperparameter_search,065,241,8625,0.945308655500412,48,48,32,64,48,0.1,0.0009358636959100566
model2_hyperparameter_search,066,441,42529,0.9347552061080933,16,40,256,96,32,0.1,0.00012227914055837984
model2_hyperparameter_search,067,417,39713,0.9418971538543701,16,48,192,112,48,0.1,0.0002021868436609202
model2_hyperparameter_search,068,473,45697,0.948129266500473,48,8,256,96,64,0.1,0.001102804105585901
model2_hyperparameter_search,069,273,16257,0.9329940974712372,32,8,128,64,40,0.1,0.00010854128446585706
model2_hyperparameter_search,070,217,8569,0.9476973712444305,40,32,64,32,48,0.1,0.006756163745376442
model2_hyperparameter_search,071,329,24281,0.9487077295780182,40,32,160,64,32,0.1,0.009343666641584668
model2_hyperparameter_search,072,361,27921,0.9473948776721954,32,56,160,64,48,0.1,0.0009196308750140528
model2_hyperparameter_search,073,233,9121,0.9411160051822662,48,24,64,32,64,0.1,0.0002149952530703501
model2_hyperparameter_search,074,305,13697,0.933267742395401,48,56,32,112,56,0.1,0.00010846531729031228
model2_hyperparameter_search,075,305,21897,0.9479265809059143,8,40,128,96,32,0.1,0.0035224511253237733
model2_hyperparameter_search,076,193,8121,0.9378096759319305,40,16,64,48,24,0.1,0.0002026525193223223
model2_hyperparameter_search,077,393,29977,0.9481955468654633,40,40,256,32,24,0.1,0.0068764992685704076
model2_hyperparameter_search,078,393,35873,0.946994960308075,48,24,192,96,32,0.1,0.0007104416318148381
model2_hyperparameter_search,079,353,20681,0.9460828304290771,24,8,224,48,48,0.1,0.0006764133576864393
model2_hyperparameter_search,080,233,11137,0.9478338062763214,48,24,64,64,32,0.1,0.0033178639809267113
model2_hyperparameter_search,081,377,33913,0.947341114282608,24,56,160,112,24,0.1,0.0008286694843864185
model2_hyperparameter_search,082,145,3841,0.9451987445354462,32,24,32,32,24,0.1,0.0017443362129422114
model2_hyperparameter_search,083,297,19905,0.9454669058322906,64,8,96,112,16,0.1,0.0005785736732203009
model2_hyperparameter_search,084,241,11681,0.9425426423549652,64,8,64,64,40,0.1,0.00028752007894035673
model2_hyperparameter_search,085,209,8761,0.9434298276901245,8,40,64,48,48,0.1,0.0007338716918437444
model2_hyperparameter_search,086,329,22777,0.9479523003101349,40,56,96,96,40,0.1,0.002242865877928494
model2_hyperparameter_search,087,297,18393,0.9454794228076935,40,56,96,64,40,0.1,0.0006651786666538932
model2_hyperparameter_search,088,233,7577,0.9440963864326477,56,48,32,80,16,0.1,0.0009731468041505693
model2_hyperparameter_search,089,273,13793,0.9377434253692627,64,24,96,32,56,0.1,0.00011551879589796051
model2_hyperparameter_search,090,425,40289,0.9463042318820953,64,40,256,48,16,0.1,0.0005342767472521939
model2_hyperparameter_search,091,425,34337,0.9479452967643738,16,40,256,64,48,0.1,0.0012782268636310837
model2_hyperparameter_search,092,161,5625,0.9446966648101807,24,16,64,32,24,0.1,0.0013622225247846436
model2_hyperparameter_search,093,313,22073,0.9425005614757538,24,40,128,80,40,0.1,0.00025984235234273364
model2_hyperparameter_search,094,409,40505,0.9470518827438354,40,64,192,96,16,0.1,0.000601289485348837
model2_hyperparameter_search,095,441,41833,0.9482298493385315,56,8,224,96,56,0.1,0.00679451983050615
model2_hyperparameter_search,096,417,33025,0.9488231241703033,16,16,256,80,48,0.1,0.00511185911937983
model2_hyperparameter_search,097,305,18409,0.9454568028450012,40,40,96,64,64,0.1,0.0006358745983798522
model2_hyperparameter_search,098,241,13905,0.9460500776767731,32,16,96,80,16,0.1,0.0010153958908885
model2_hyperparameter_search,099,385,24113,0.9482384026050568,48,16,224,32,64,0.1,0.009864796448312292
model2_hyperparameter_search,100,281,16201,0.947634220123291,40,56,96,48,40,0.1,0.0018940250585117665
model2_hyperparameter_search,101,257,13305,0.9396129250526428,8,64,64,80,40,0.1,0.0002497682809800825
model2_hyperparameter_search,102,433,43273,0.9371969401836395,8,32,224,128,40,0.1,0.00012141079829793765
model2_hyperparameter_search,103,273,11217,0.9453156888484955,48,48,32,96,48,0.1,0.0017688739479635907
model2_hyperparameter_search,104,161,4385,0.9464032351970673,32,40,32,32,24,0.1,0.00520665224551133
model2_hyperparameter_search,105,409,39753,0.9477106332778931,56,48,160,128,16,0.1,0.0013495506592223672
model2_hyperparameter_search,106,393,35921,0.9488691091537476,64,48,192,64,24,0.1,0.004093011265804264
model2_hyperparameter_search,107,345,27753,0.946699470281601,40,40,128,112,24,0.1,0.0007909444466098171
model2_hyperparameter_search,108,353,26401,0.9461256861686707,64,24,96,128,40,0.1,0.0007425639515658108
model2_hyperparameter_search,109,273,15945,0.9341479241847992,8,16,160,64,24,0.1,0.00016941135790087819
model2_hyperparameter_search,110,353,27305,0.9460180997848511,8,16,192,96,40,0.1,0.0008905259819768822
model2_hyperparameter_search,111,361,27665,0.9364360570907593,32,48,96,128,56,0.1,0.0001164331764071064
model2_hyperparameter_search,112,385,32977,0.9437689781188965,64,56,128,112,24,0.1,0.0002043585258514261
model2_hyperparameter_search,113,481,49857,0.9476482570171356,64,32,224,96,64,0.1,0.0007147230409475165
model2_hyperparameter_search,114,441,45697,0.9490102231502533,64,40,192,112,32,0.1,0.0011628120158793586
model2_hyperparameter_search,115,457,41409,0.9490998685359955,64,56,224,48,64,0.1,0.007880010037605347
model2_hyperparameter_search,116,313,19537,0.9477308988571167,16,64,128,48,56,0.1,0.003920143237423156
model2_hyperparameter_search,117,313,22473,0.9473691582679749,40,32,128,80,32,0.1,0.0010955889746809093
model2_hyperparameter_search,118,289,16817,0.9372249841690063,16,48,96,64,64,0.1,0.0001612576798240689
model2_hyperparameter_search,119,233,12105,0.9364313781261444,24,32,128,32,16,0.1,0.00018401148507984577
