trial_id,parameters,auc,primary_metric,bkg_rej_@99%
112,10525,0.968636467290421,0.8645496022567507,0.8645496022567507
008,11737,0.9687678674948899,0.8616984286798431,0.8616984286798431
038,5803,0.9659241303372804,0.8544178072872731,0.8544178072872731
063,8833,0.965568665281443,0.8540882442757324,0.8540882442757324
026,8607,0.9655362352450821,0.8539763742626405,0.8539763742626405
077,8185,0.9654773521705917,0.8538524101940793,0.8538524101940793
042,8797,0.9639049845029038,0.8536679758481712,0.8536679758481712
044,13789,0.9655180733418018,0.8517571150840083,0.8517571150840083
118,11269,0.9654831575620302,0.8517057153482634,0.8517057153482634
065,5141,0.9627065244014245,0.8503209459970188,0.8503209459970188
102,7051,0.9640692147085963,0.8494108683229475,0.8494108683229475
013,5143,0.9650452824438867,0.8493050453375904,0.8493050453375904
104,6513,0.9618212776872844,0.8488243066326824,0.8488243066326824
079,5407,0.9646637667921661,0.8482437919701519,0.8482437919701519
024,4669,0.9616677745059397,0.846045697388591,0.846045697388591
092,8379,0.9615928473618641,0.8456193819332952,0.8456193819332952
099,5139,0.962962252292172,0.8446911631760199,0.8446911631760199
028,8085,0.9621787702711646,0.8445913872183974,0.8445913872183974
083,9477,0.9636433227213098,0.8443283415119384,0.8443283415119384
006,3261,0.9593304781470993,0.8433668641021221,0.8433668641021221
095,6097,0.9618283890025778,0.8430917243401936,0.8430917243401936
032,5821,0.9616734059960345,0.8421876936938572,0.8421876936938572
039,6645,0.9606366483098815,0.8411476049234899,0.8411476049234899
010,1589,0.9552845086147255,0.8406305840521737,0.8406305840521737
105,8475,0.9595124010661696,0.8405338316084187,0.8405338316084187
109,3917,0.9565056352383804,0.8403433502347759,0.8403433502347759
108,5305,0.9572092885208691,0.8402163626523473,0.8402163626523473
001,6365,0.9590822434269268,0.8400409988480412,0.8400409988480412
117,9515,0.9616863230455776,0.8400228577648372,0.8400228577648372
106,3061,0.9567752975559242,0.8400137872232352,0.8400137872232352
003,6161,0.9586545545779305,0.8399563404597555,0.8399563404597555
114,5845,0.9592870601749546,0.8397295769197045,0.8397295769197045
064,2965,0.9582842983320197,0.8392639557841333,0.8392639557841333
093,6271,0.9599278349669012,0.8389343927725925,0.8389343927725925
034,10021,0.9579798582048468,0.8388860165507149,0.8388860165507149
047,8475,0.9620762198224131,0.8387348408573476,0.8387348408573476
035,5185,0.9603372069801684,0.8387197232880108,0.8387197232880108
107,5567,0.9590349739783617,0.8383266664852558,0.8383266664852558
000,9175,0.9588059968825442,0.8381694437641538,0.8381694437641538
007,14399,0.9559173186145192,0.8379819859043783,0.8379819859043783
027,2957,0.9569892582894585,0.837368212589307,0.837368212589307
068,11631,0.9591747616202453,0.8369842263281541,0.8369842263281541
073,8373,0.959249525174743,0.8369691087588174,0.8369691087588174
050,9593,0.9597901793282486,0.8367665333297051,0.8367665333297051
055,7999,0.957874805118941,0.836415805721093,0.836415805721093
021,7727,0.9590762699939336,0.8356538802265217,0.8356538802265217
019,3261,0.9574633983008887,0.8352789645069707,0.8352789645069707
070,3325,0.9557612877205124,0.8350401069114504,0.8350401069114504
096,1171,0.9521871335500691,0.8348072963436647,0.8348072963436647
090,10363,0.9589890331797593,0.834408192513175,0.834408192513175
011,8957,0.9621439694611792,0.8342177111395321,0.8342177111395321
059,11125,0.9550487706436637,0.8342116641117975,0.8342116641117975
020,1527,0.9562217325371922,0.8339969946272159,0.8339969946272159
081,1563,0.9555997807442242,0.8336281259353996,0.8336281259353996
046,1729,0.9534366139865409,0.8335525380887159,0.8335525380887159
069,14381,0.9559443532983877,0.8330052820787263,0.8330052820787263
098,10621,0.9551993935422957,0.8329992350509916,0.8329992350509916
014,14399,0.9560875351429119,0.8329659763984507,0.8329659763984507
022,1311,0.9566358188419204,0.8327361893445324,0.8327361893445324
087,2637,0.9579918275135498,0.8319833343915632,0.8319833343915632
023,11515,0.9548987691020379,0.8316658654354918,0.8316658654354918
113,5413,0.956198384231796,0.8309492926489307,0.8309492926489307
091,6025,0.9565219244317961,0.8308162580387675,0.8308162580387675
048,4927,0.9554460060517164,0.830541118276839,0.830541118276839
076,7377,0.9566668068400352,0.8298819922537575,0.8298819922537575
