trial_id,parameters,auc,primary_metric
063,8833,0.9764015364376287,0.8928648096244494
074,8191,0.976550031172517,0.8918216973402149
102,7051,0.975445708261823,0.8857172228420426
013,5143,0.973721446765831,0.88340725824739
006,3261,0.9718354271179572,0.8670681893082502
064,2965,0.96943407061155,0.8630378453230776
009,2771,0.9657755136346834,0.8541245264421405
089,2107,0.9632853859316189,0.850898437145682
101,1853,0.9628096174199912,0.8465990004263154
078,1545,0.9605574065283918,0.8463843309417338
103,1401,0.9591296358350682,0.8436208392669793
056,1339,0.9605580389284947,0.8427923964673264
022,1311,0.9603732269964488,0.8413562273803369
096,1171,0.9593805857171515,0.8408633946199594
066,489,0.9559858383492817,0.82983361603188
015,405,0.9103427763670152,0.7798428377491753
017,391,0.890676500263889,0.7171744658206876
