target_sig_eff,threshold_ns,actual_sig_eff,fpr,bkg_rej,weighted_bkg_rej_weights,weighted_bkg_rej
0.95,0.06369909999999998,0.9500057809161253,0.08183395037789563,0.9181660496221044,"{0.95: 0, 0.98: 0, 0.99: 1}",0.8089915592294197
0.98,0.14294389999999998,0.9800010888921379,0.11736524258018982,0.8826347574198101,"{0.95: 0, 0.98: 0, 0.99: 1}",0.8089915592294197
0.99,0.3696402,0.990000544446069,0.19100844077058038,0.8089915592294197,"{0.95: 0, 0.98: 0, 0.99: 1}",0.8089915592294197
