trial_id,parameters,auc,primary_metric,bkg_rej_@95%,bkg_rej_@98%,bkg_rej_@99%
063,8833,0.9764015364376287,0.9098493987742675,0.9314690346827276,0.911613619115864,0.8928648096244494
077,8185,0.97645304169985,0.9094980664628818,0.9311455186989215,0.9111086923000172,0.8930371499148881
074,8191,0.976550031172517,0.9090424229230727,0.9316232338899623,0.9107368000943337,0.8918216973402149
118,11269,0.976108620714013,0.9089474845876381,0.9312604122258806,0.9108637876767622,0.8910839599565823
011,8957,0.9760755104850762,0.9077604530433178,0.9306587329662788,0.9097783461983848,0.8892486870391031
008,11737,0.9758719130347597,0.9071097928590649,0.9296670204177891,0.9089378093432625,0.8894331213850113
112,10525,0.9763240248341847,0.9069939922779455,0.9307403678406971,0.9091373612585074,0.8876190130646034
092,8379,0.9756768418284609,0.9062556501915395,0.9294583979609422,0.9083270595420586,0.8874043435800218
065,5141,0.9752097482998409,0.9057700738644437,0.9283971445935036,0.907640721894171,0.8879092703958686
099,5139,0.9753158525276328,0.905374295899208,0.9293072222675749,0.9073746526738444,0.8864065840037976
047,8475,0.975166098783766,0.9049915190436021,0.9283729564825649,0.9069362431630793,0.8864942659059506
117,9515,0.9749393924520741,0.9042150806824675,0.9278136064171059,0.9059233660175182,0.886436819142471
102,7051,0.975445708261823,0.9042051030867053,0.9280101348184834,0.906086635766355,0.8857172228420426
042,8797,0.9743615999402349,0.9030247232728933,0.9272512328377794,0.905170511064549,0.8834012112196552
013,5143,0.973721446765831,0.9027955409217484,0.9258573929449327,0.9050404999682531,0.88340725824739
083,9477,0.9741207391699902,0.9015942988622516,0.9252043139495859,0.9037010833250186,0.8824155456989003
093,6271,0.9743026196490151,0.9009478715974131,0.926392554899453,0.9032808148974575,0.8800602283962375
043,3975,0.9737060779477675,0.9006908729186887,0.925310136934943,0.9026579710407842,0.8814963974832271
026,8607,0.9744749717641602,0.9002355317302662,0.9255762061552695,0.9023556196540495,0.8801448867845232
044,13789,0.973813218663403,0.8997910751917664,0.9240160729997188,0.9018174341856618,0.8805863198091558
038,5803,0.9728851688801293,0.8993502468699072,0.923973743805576,0.9016481174090905,0.8789959515149316
104,6513,0.9733168163638042,0.8980640440707381,0.922960866660015,0.9003328888767949,0.8776746759549012
095,6097,0.9741216601441196,0.8977707632256056,0.9241521311237494,0.9000003023513867,0.8767766923362994
062,6021,0.9740538454214754,0.8976241228030392,0.9244242473718106,0.899749350700397,0.8767857628779014
050,9593,0.9730789529669186,0.8973093750094485,0.9232087947971374,0.8997644682697337,0.8757668387046057
114,5845,0.9730108761352837,0.8949434754082499,0.9224559398441681,0.8981075826704279,0.870112867772668
035,5185,0.9730016686474019,0.8908934785829395,0.918029515542373,0.8931943726359901,0.8692723309175457
039,6645,0.9716252272946544,0.8898204335114183,0.9168956978421181,0.8921542838656229,0.8681143251063521
049,3111,0.9697417748101734,0.8897451480161214,0.9161942426248938,0.8921633544072249,0.8680568783428725
027,2957,0.9719683136016197,0.8892656187167602,0.917391554116363,0.8915102754118782,0.8673463525840461
003,6161,0.9697685740283497,0.8890612291793276,0.9145736391919962,0.8911958299696742,0.8688339214067805
001,6365,0.9707067455408196,0.8889043088096124,0.9161821485694244,0.8907513734311743,0.8688006627542397
068,11631,0.9706239072888493,0.8886890346222572,0.9150362368137002,0.8907302088341028,0.8683713237850765
032,5821,0.9711088693153679,0.8883546339885288,0.9143740872767513,0.8900438711862152,0.8694325771525151
006,3261,0.9718354271179572,0.88787117412114,0.9157286214893224,0.8898352487293683,0.8670681893082502
028,8085,0.9719575426060023,0.8878309613867044,0.9150936835771797,0.890479257183113,0.8649305650040364
079,5407,0.9727841596335214,0.8875213535666882,0.9158404915024143,0.8891216994566745,0.8677605739838725
087,2637,0.9709529842213148,0.8860464835021965,0.9159221263768327,0.8883023271986237,0.8632132091273836
105,8475,0.9685856266571403,0.8858154870427313,0.9113868555758131,0.8879334585068075,0.865616902651924
024,4669,0.9707556130845005,0.8842078847194633,0.9129167535926903,0.8868177818897567,0.860718810186823
106,3061,0.9700296628853258,0.8840996429230124,0.9118827118500579,0.8861707499221445,0.8629592339625266
073,8373,0.9705134599840137,0.8840633607566042,0.9130316471196496,0.8864610072534098,0.8611874548362616
000,9175,0.969582948102171,0.8837963844821175,0.9103014140974357,0.8866061359190424,0.8607097396452209
064,2965,0.96943407061155,0.8833866983530919,0.9096543821298236,0.8854481301078487,0.8630378453230776
113,5413,0.9692474987271501,0.8831765641393114,0.9100776740712522,0.8851608962904508,0.8627808466443532
048,4927,0.9665612258172394,0.8794258951868683,0.905790331407355,0.8819348069939923,0.8574624857516909
019,3261,0.9693464382662063,0.8790663993880408,0.9037766711717024,0.8809219298484312,0.8602169068848434
054,3555,0.9685361586039545,0.8785390985695756,0.9083512476529974,0.8811305523052781,0.8545629359529058
075,2271,0.9667477536480951,0.8780898044088878,0.9046051139713552,0.8805832962952884,0.8561049280252524
